# reference_flux:        327.8119
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2769.90444      2769.89580        297.2659          1.7869         14.2571          0.0065         -2.9450         -4.3342       -3.210000        1.786923
     2769.91139      2769.90275        295.1754          1.7674         14.2648          0.0065         -7.1769         -4.3336       -3.835649        1.767442
     2769.91833      2769.90969        300.2850          1.7942         14.2462          0.0065         -2.0006         -4.3336        1.109756        1.794197
     2769.92528      2769.91664        301.3051          1.7810         14.2425          0.0064         -4.6593         -4.3342       -4.552394        1.781030
     2769.93222      2769.92358        301.6297          1.7767         14.2413          0.0064         -3.2057         -4.3342       -2.072806        1.776749
     2769.93917      2769.93053        296.7123          1.7803         14.2592          0.0065         -4.3640         -4.3336       -3.909555        1.780311
     2769.94611      2769.93747        295.0477          1.7673         14.2653          0.0065         -5.0544         -4.3336       -7.146965        1.767336
     2769.95306      2769.94441        301.5816          1.7276         14.2415          0.0062         -1.4593         -4.3336       -4.333582        1.727594
     2769.96000      2769.95136        298.3129          1.7726         14.2533          0.0065         -4.9581         -4.3336       -1.935796        1.772580
     2769.96695      2769.95830        295.6017          1.8289         14.2632          0.0067         -3.4127         -4.3336       -7.060940        1.828872
     2769.97389      2769.96525        298.2802          1.7317         14.2534          0.0063         -6.2200         -4.3342       -8.838893        1.731740
     2769.98084      2769.97219        298.7963          1.8033         14.2516          0.0066         -5.0025         -4.3342       -4.334177        1.803250
     2769.98778      2769.97914        299.5889          1.8612         14.2487          0.0067         -3.7032         -4.3342       -5.938719        1.861206
     2769.99473      2769.98608        302.2201          1.7701         14.2392          0.0064         -1.7258         -4.5524       -1.862974        1.770140
     2770.00167      2769.99303        305.2256          1.7666         14.2284          0.0063         -3.9629         -4.5524        3.322237        1.766566
     2770.00861      2769.99997        297.7484          1.7602         14.2554          0.0064         -0.3131         -4.5524       -6.857389        1.760235
     2770.01556      2770.00691        296.7850          1.8133         14.2589          0.0066         -1.5710         -4.5524       -7.215967        1.813254
     2770.02250      2770.01386        302.2713          1.7960         14.2390          0.0065         -0.0621         -4.5524       -5.126372        1.796012
     2770.02945      2770.02080        301.4090          1.7873         14.2421          0.0064         -5.4012         -4.5524       -4.252972        1.787293
     2770.03639      2770.02775        300.4696          1.7620         14.2455          0.0064         -4.1704         -4.5524       -8.329237        1.761981
     2770.04334      2770.03469        304.4288          1.7708         14.2313          0.0063         -6.4239         -4.5524       -4.589976        1.770825
     2770.05028      2770.04164        296.8138          1.7453         14.2588          0.0064         -1.8323         -4.5524       -1.916283        1.745299
     2770.05723      2770.04858        303.2390          1.7322         14.2355          0.0062         -1.4298         -4.5524       -2.118846        1.732211
     2770.06417      2770.05553        298.5450          1.7567         14.2525          0.0064         -4.4082         -4.5524       -8.725180        1.756662
     2770.07112      2770.06247        299.8338          1.7510         14.2478          0.0063         -5.1176         -4.5524       -4.197608        1.751040
     2770.07806      2770.06941        301.7144          1.7664         14.2410          0.0064         -2.9398         -4.5524       -0.228032        1.766449
     2770.08501      2770.07636        296.9598          1.7427         14.2583          0.0064         -4.1447         -4.5524       -9.267757        1.742704
     2770.09195      2770.08330        302.9128          1.7334         14.2367          0.0062         -3.1597         -4.5900       -5.279848        1.733394
     2770.09890      2770.09025        298.1097          1.7157         14.2541          0.0062          0.8378         -4.5900       -2.663649        1.715742
     2770.10584      2770.09719        298.3274          1.7322         14.2533          0.0063         -2.6929         -4.7712       -2.146834        1.732192
     2770.11279      2770.10414        293.1711          1.7108         14.2722          0.0063         -2.8700         -4.9762       -7.505884        1.710775
     2770.11973      2770.11108        300.1994          1.7561         14.2465          0.0064         -8.4538         -4.7712       -6.061710        1.756133
     2770.12668      2770.11803        298.1485          1.7140         14.2539          0.0062         -4.7644         -4.7712       -5.550157        1.714007
     2770.13362      2770.12497        294.1965          1.7246         14.2684          0.0064         -1.3826         -4.9762       -6.198870        1.724578
     2770.14056      2770.13191        302.4144          1.6996         14.2385          0.0061         -0.2627         -4.9762       -7.346615        1.699620
     2770.14751      2770.13886        302.3535          1.7164         14.2387          0.0062         -2.0155         -4.9762       -5.470975        1.716367
     2770.15445      2770.14580        303.5442          1.7290         14.2344          0.0062         -7.4987         -5.0297       -7.065352        1.729000
     2770.16140      2770.15275        300.3438          1.7060         14.2460          0.0062         -4.7598         -4.9762       -5.146625        1.706045
     2770.16834      2770.15969        294.0668          1.6709         14.2689          0.0062          0.7061         -5.0297       -4.976214        1.670920
     2770.17529      2770.16664        300.3950          1.7134         14.2458          0.0062          1.6327         -5.0297       -5.391652        1.713440
     2770.18223      2770.17358        307.3264          1.6914         14.2210          0.0060         -5.6343         -5.0297       -3.472848        1.691426
     2770.18918      2770.18053        300.7467          1.7033         14.2445          0.0061         -2.9604         -4.9762       -4.771197        1.703302
     2770.19612      2770.18747        304.5352          1.7035         14.2309          0.0061         -3.8064         -4.8834       -3.226864        1.703537
     2770.20307      2770.19441        304.9109          1.6699         14.2296          0.0059         -6.5811         -4.8834       -2.812339        1.669920
     2770.21001      2770.20136        305.6082          1.6929         14.2271          0.0060         -2.9968         -4.8834       -1.808814        1.692897
     2770.21696      2770.20830        307.1714          1.6631         14.2215          0.0059         -5.2501         -4.8834        0.259324        1.663114
     2770.22390      2770.21525        304.1850          1.7085         14.2322          0.0061         -6.2791         -4.9762       -4.088481        1.708481
     2770.23085      2770.22219        302.2334          1.6969         14.2391          0.0061         -5.7136         -5.0297       -3.553363        1.696860
     2770.23779      2770.22914        299.4672          1.6979         14.2491          0.0062         -3.6420         -4.9762       -2.141187        1.697903
     2770.24473      2770.23608        300.4186          1.6817         14.2457          0.0061         -5.1957         -4.9762       -3.477141        1.681739
     2770.25168      2770.24303        300.0069          1.6623         14.2472          0.0060         -0.9244         -4.9762       -5.760613        1.662316
     2770.25862      2770.24997        301.2275          1.6670         14.2428          0.0060         -1.5591         -4.8834       -2.782682        1.666982
     2770.26557      2770.25691        298.0049          1.7081         14.2544          0.0062         -6.2616         -4.7712       -6.643394        1.708077
     2770.27251      2770.26386        299.3390          1.6697         14.2496          0.0061         -1.3303         -4.8834       -5.727783        1.669716
     2770.27946      2770.27080        299.4580          1.6934         14.2492          0.0061         -2.7923         -4.8834       -4.538797        1.693400
     2770.28640      2770.27775        297.5306          1.6626         14.2562          0.0061          2.4329         -4.8834       -3.822548        1.662619
     2770.29335      2770.28469        297.0830          1.7032         14.2578          0.0062         -1.2507         -4.8834       -7.112780        1.703215
     2770.30029      2770.29164        304.6293          1.7032         14.2306          0.0061         -1.5777         -4.8834       -5.544452        1.703177
     2770.30724      2770.29858        300.5157          1.6545         14.2453          0.0060         -1.2661         -4.8834       -5.691966        1.654503
     2770.31418      2770.30553        299.4263          1.6816         14.2493          0.0061         -3.2038         -4.7712       -5.029695        1.681559
     2770.32113      2770.31247        298.8770          1.6768         14.2513          0.0061         -3.1824         -4.7712       -4.433237        1.676836
     2770.32807      2770.31941        302.1700          1.6861         14.2394          0.0061         -2.4237         -4.5388       -6.214114        1.686121
     2770.33502      2770.32636        303.6513          1.6968         14.2341          0.0061         -2.4017         -4.4332       -2.175859        1.696839
     2770.34196      2770.33330        299.7763          1.7081         14.2480          0.0062         -1.5891         -4.4332       -6.214676        1.708136
     2770.34891      2770.34025        301.1604          1.6887         14.2430          0.0061         -3.1163         -4.0885       -4.883434        1.688658
     2770.35585      2770.34719        300.7093          1.6701         14.2446          0.0060         -1.0865         -4.0885       -1.932870        1.670146
     2770.36279      2770.35414        302.8687          1.6558         14.2369          0.0059         -3.7656         -3.9781       -3.978085        1.655818
