# reference_flux:        168.3626
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2769.90459      2769.89580        166.3151          1.5701         14.8877          0.0102          0.5251         -0.0764        0.791538        1.570056
     2769.91154      2769.90275        169.7341          1.5974         14.8656          0.0102          0.3044         -0.0764        2.716582        1.597390
     2769.91848      2769.90969        166.5234          1.5869         14.8863          0.0103          1.3705         -0.0764        0.306027        1.586912
     2769.92542      2769.91664        166.9536          1.5981         14.8835          0.0104         -1.7159         -0.0764        1.352111        1.598148
     2769.93237      2769.92358        166.1619          1.5889         14.8887          0.0104          0.2241          0.3060        2.516411        1.588883
     2769.93931      2769.93053        167.9702          1.5812         14.8769          0.0102          0.0235          0.3060       -0.076355        1.581193
     2769.94626      2769.93747        165.9483          1.5662         14.8901          0.0102         -1.3518          0.3060       -0.090370        1.566205
     2769.95320      2769.94441        165.7830          1.5733         14.8911          0.0103          1.8050          0.3060       -1.014433        1.573280
     2769.96015      2769.95136        167.4621          1.5703         14.8802          0.0102         -2.8096          0.5251        1.803846        1.570324
     2769.96709      2769.95830        163.7076          1.6021         14.9048          0.0106         -3.6023          0.3060       -2.021690        1.602085
     2769.97404      2769.96525        168.4593          1.5693         14.8738          0.0101          0.7540          0.5251        0.715910        1.569327
     2769.98098      2769.97219        170.0350          1.5761         14.8637          0.0101         -1.5811          0.5251        1.876499        1.576150
     2769.98793      2769.97914        167.3550          1.5777         14.8809          0.0102          3.3725          0.3606        2.418930        1.577716
     2769.99487      2769.98608        166.7901          1.5822         14.8846          0.0103          0.6403          0.3060       -0.427475        1.582224
     2770.00182      2769.99303        165.3020          1.5731         14.8943          0.0103          0.1937          0.3060       -2.376164        1.573063
     2770.00876      2769.99997        170.2368          1.5691         14.8624          0.0100         -0.0962          0.3060        0.525136        1.569068
     2770.01571      2770.00691        167.2106          1.5654         14.8818          0.0102         -1.9090          0.3060       -0.929644        1.565401
     2770.02265      2770.01386        168.5471          1.5743         14.8732          0.0101          0.8105          0.3060        2.244711        1.574340
     2770.02960      2770.02080        168.1401          1.5808         14.8758          0.0102         -1.1050          0.3060       -1.358634        1.580812
     2770.03654      2770.02775        163.9440          1.5881         14.9033          0.0105          1.3692          0.3606       -0.264755        1.588070
     2770.04349      2770.03469        169.0245          1.5867         14.8701          0.0102         -0.2370          0.3606       -0.120559        1.586736
     2770.05043      2770.04164        164.3234          1.6030         14.9008          0.0106          1.5191          0.3606       -1.946656        1.603043
     2770.05738      2770.04858        166.0741          1.5925         14.8892          0.0104         -0.5290          0.5133       -3.081409        1.592465
     2770.06432      2770.05553        166.5281          1.5802         14.8863          0.0103          0.5525          0.5133        0.584517        1.580243
     2770.07126      2770.06247        172.1940          1.5843         14.8500          0.0100         -0.4130          0.5133        3.141857        1.584287
     2770.07821      2770.06941        164.1545          1.5966         14.9019          0.0106          0.9241          0.3606       -2.101896        1.596595
     2770.08515      2770.07636        162.7540          1.5949         14.9112          0.0106         -0.3738          0.3060       -2.274157        1.594933
     2770.09210      2770.08330        165.1544          1.5784         14.8953          0.0104          0.8012          0.2235        1.085894        1.578419
     2770.09904      2770.09025        171.6695          1.5984         14.8533          0.0101         -0.1381         -0.0385       -0.038519        1.598388
     2770.10599      2770.09719        164.7688          1.5917         14.8978          0.0105         -0.5411         -0.0385        1.351744        1.591717
     2770.11293      2770.10414        171.1020          1.5870         14.8569          0.0101         -1.9199          0.2235        1.515933        1.586981
     2770.11988      2770.11108        166.7444          1.5846         14.8849          0.0103          0.4653          0.3606        2.404856        1.584578
     2770.12682      2770.11803        169.6035          1.5752         14.8664          0.0101          2.8700          0.5133        0.223477        1.575177
     2770.13377      2770.12497        170.5639          1.5710         14.8603          0.0100         -0.9103          0.3606        0.894938        1.570972
     2770.14071      2770.13191        171.2370          1.5917         14.8560          0.0101         -1.8814          0.3606        0.360591        1.591734
     2770.14766      2770.13886        164.0215          1.5953         14.9027          0.0106         -2.8149          0.2235       -2.057141        1.595338
     2770.15460      2770.14580        160.2596          1.5723         14.9279          0.0107         -0.7599          0.2235       -2.170224        1.572302
     2770.16155      2770.15275        164.0422          1.5687         14.9026          0.0104          2.1728          0.0280       -0.615751        1.568687
     2770.16849      2770.15969        163.0409          1.5762         14.9093          0.0105          1.4684          0.0280       -2.411259        1.576217
     2770.17543      2770.16664        168.0763          1.5787         14.8762          0.0102          0.9958          0.1386        3.073297        1.578667
     2770.18238      2770.17358        169.3025          1.5732         14.8683          0.0101         -1.2449          0.0280        0.779417        1.573153
     2770.18932      2770.18053        169.0736          1.5798         14.8698          0.0101          0.1446          0.0280       -1.243354        1.579775
     2770.19627      2770.18747        171.7259          1.5909         14.8529          0.0101         -0.7579         -0.0385        1.109346        1.590863
     2770.20321      2770.19441        167.4115          1.5868         14.8805          0.0103          0.6649         -0.0385        0.513271        1.586787
     2770.21016      2770.20136        169.1608          1.5965         14.8693          0.0102          2.3497          0.0280        1.031851        1.596506
     2770.21710      2770.20830        169.9530          1.6090         14.8642          0.0103         -1.1298          0.0280        2.017726        1.608965
     2770.22405      2770.21525        167.5490          1.5954         14.8796          0.0103         -0.8341          0.1386        1.277731        1.595359
     2770.23099      2770.22219        166.5599          1.6036         14.8861          0.0105         -1.3284          0.1386        1.004477        1.603646
     2770.23794      2770.22914        167.2445          1.5983         14.8816          0.0104          0.9032          0.1386       -2.041463        1.598344
     2770.24488      2770.23608        167.8611          1.6133         14.8776          0.0104         -1.7745          0.1386       -0.885207        1.613290
     2770.25183      2770.24303        165.2350          1.6181         14.8947          0.0106          0.9575          0.2235       -1.373531        1.618071
     2770.25877      2770.24997        167.1889          1.6212         14.8820          0.0105         -1.4953          0.3606       -1.151770        1.621162
     2770.26572      2770.25691        175.4733          1.6283         14.8295          0.0101         -2.6638          0.3304        5.319851        1.628276
     2770.27266      2770.26386        172.6173          1.6155         14.8473          0.0102         -0.0856          0.3606        2.052435        1.615491
     2770.27961      2770.27080        167.4284          1.5584         14.8804          0.0101          0.1402          0.3304        1.642645        1.558391
     2770.28655      2770.27775        164.7683          1.6101         14.8978          0.0106         -0.1305          0.3304        1.449066        1.610137
     2770.29350      2770.28469        168.6369          1.6031         14.8726          0.0103         -1.6991          0.2695       -0.364785        1.603137
     2770.30044      2770.29164        168.8992          1.5927         14.8709          0.0102         -1.7764          0.2695        0.028050        1.592692
     2770.30738      2770.29858        169.4221          1.6263         14.8676          0.0104          2.8343          0.2695       -0.338190        1.626302
     2770.31433      2770.30553        169.5620          1.6107         14.8667          0.0103          0.7438          0.1386        1.947729        1.610686
     2770.32127      2770.31247        168.2855          1.5998         14.8749          0.0103         -2.1747          0.2695       -0.981265        1.599809
     2770.32822      2770.31941        168.0767          1.6031         14.8762          0.0104          1.6684          0.3304       -0.255179        1.603054
     2770.33516      2770.32636        167.5541          1.6002         14.8796          0.0104          0.6929          0.5073        0.138610        1.600162
     2770.34211      2770.33330        166.1292          1.5880         14.8889          0.0104         -0.7544          0.5133       -0.623215        1.587990
     2770.34905      2770.34025        168.2982          1.5868         14.8748          0.0102         -2.5074          0.5073       -1.947559        1.586833
     2770.35600      2770.34719        165.4712          1.5808         14.8932          0.0104          0.3572          0.3304       -2.497979        1.580794
     2770.36294      2770.35414        166.5933          1.6122         14.8859          0.0105          2.4307          0.3304       -0.379693        1.612199
     2770.36989      2770.36108        175.8893          1.6031         14.8269          0.0099          0.2989          0.3304        4.059045        1.603149
     2770.37683      2770.36803        167.3663          1.6055         14.8808          0.0104          0.9568          0.2695       -1.162742        1.605549
     2770.38378      2770.37497        166.1803          1.5689         14.8886          0.0103          1.8287          0.2695        0.507340        1.568909
     2770.39072      2770.38191        163.8322          1.6570         14.9040          0.0110          2.4826          0.2695       -1.966710        1.657022
     2770.39767      2770.38886        169.3828          1.6500         14.8678          0.0106          1.9292          0.1386        0.606339        1.649954
     2770.40461      2770.39580        169.5939          1.5908         14.8665          0.0102          1.8653          0.1386        2.564027        1.590808
     2770.41155      2770.40275        173.2097          1.6068         14.8436          0.0101         -1.3607          0.2695        1.707087        1.606849
     2770.41850      2770.40969        168.9369          1.5630         14.8707          0.0100          1.5229          0.2695        1.156836        1.562954
     2770.42544      2770.41664        166.6018          1.5648         14.8858          0.0102          0.9704          0.2695        0.330439        1.564837
     2770.43239      2770.42358        168.6950          1.5942         14.8722          0.0103         -3.0405          0.2695        0.797609        1.594208
     2770.43933      2770.43053        164.2956          1.5776         14.9009          0.0104          0.3206          0.2695        0.269532        1.577640
     2770.44628      2770.43747        166.1595          1.5983         14.8887          0.0104         -0.2173          0.2695        3.139932        1.598324
     2770.45322      2770.44441        167.2964          1.5566         14.8813          0.0101         -0.7759          0.2695       -2.391910        1.556553
     2770.46017      2770.45136        169.0182          1.5956         14.8702          0.0102          0.3815          0.1386       -0.133136        1.595558
     2770.46711      2770.45830        167.5070          1.5956         14.8799          0.0103          3.2145          0.2695        0.910362        1.595642
     2770.47406      2770.46525        168.2062          1.5897         14.8754          0.0103          2.5177          0.2695        0.045502        1.589658
     2770.48100      2770.47219        171.0925          1.5619         14.8569          0.0099          0.2955          0.2695        1.740551        1.561868
     2770.48795      2770.47914        168.3978          1.5637         14.8742          0.0101         -0.4290          0.1386        1.789874        1.563741
     2770.49489      2770.48608        170.0455          1.5570         14.8636          0.0099          3.1848          0.1386        0.719802        1.557048
     2770.50184      2770.49303        172.3238          1.5665         14.8491          0.0099          1.9612          0.1386        2.641535        1.566465
     2770.50878      2770.49997        164.8473          1.5544         14.8973          0.0102         -0.5594          0.1109       -4.513521        1.554414
     2770.51573      2770.50691        168.1428          1.5530         14.8758          0.0100         -1.1624          0.2695       -1.338481        1.553029
     2770.52267      2770.51386        166.1177          1.5736         14.8890          0.0103          0.1057          0.3074        0.055228        1.573605
     2770.52961      2770.52080        171.3956          1.5416         14.8550          0.0098          1.0235          0.3074        1.493802        1.541646
     2770.53656      2770.52775        161.5865          1.5561         14.9190          0.0105          0.3677          0.3074       -2.109711        1.556105
     2770.54350      2770.53469        169.2271          1.5812         14.8688          0.0101          0.6810          0.2695        4.269733        1.581241
     2770.55045      2770.54164        167.3269          1.5676         14.8811          0.0102          1.3147          0.3074        0.307414        1.567568
     2770.55739      2770.54858        169.1698          1.5505         14.8692          0.0100         -2.6150          0.3074       -0.215108        1.550509
     2770.56434      2770.55553        170.1425          1.5597         14.8630          0.0100         -0.7991          0.3253        2.766138        1.559730
     2770.57128      2770.56247        168.7041          1.5673         14.8722          0.0101          0.6359          0.3253        1.210271        1.567268
     2770.57823      2770.56941        162.8921          1.5497         14.9102          0.0103          2.0788          0.3253       -1.745213        1.549713
     2770.58517      2770.57636        169.6253          1.5658         14.8663          0.0100          0.3487          0.3074       -1.051669        1.565809
     2770.59212      2770.58330        166.8745          1.5630         14.8840          0.0102         -0.5883          0.2695       -0.818178        1.562972
     2770.59906      2770.59025        174.0614          1.5959         14.8382          0.0100         -0.5773          0.2151        2.714436        1.595851
