# reference_flux:        535.9262
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2769.90120      2769.89581        530.1595          1.4042         13.6290          0.0029          0.6527         -2.0878       -1.180500        1.404233
     2769.90814      2769.90275        531.3060          1.4189         13.6266          0.0029          1.6365         -2.0878       -2.572140        1.418909
     2769.91509      2769.90970        527.5910          1.4168         13.6343          0.0029         -1.3586         -2.0878       -4.784292        1.416802
     2769.92203      2769.91664        530.0139          1.4276         13.6293          0.0029         -1.1416         -2.0878       -1.223430        1.427576
     2769.92898      2769.92359        531.5632          1.4136         13.6261          0.0029          1.0049         -2.0878       -0.498673        1.413581
     2769.93592      2769.93053        532.3392          1.4136         13.6245          0.0029         -0.6005         -2.0878        1.514672        1.413608
     2769.94286      2769.93748        533.6997          1.4169         13.6218          0.0029         -0.5142         -2.0878       -1.481504        1.416945
     2769.94981      2769.94442        531.1671          1.4082         13.6269          0.0029          0.3041         -2.0878       -3.124862        1.408225
     2769.95675      2769.95136        533.4825          1.4200         13.6222          0.0029         -1.2274         -2.0878       -0.663703        1.419975
     2769.96370      2769.95831        526.5892          1.4096         13.6363          0.0029          0.9376         -2.0878       -4.523780        1.409586
     2769.97064      2769.96525        531.5228          1.4153         13.6262          0.0029          1.9711         -2.0878       -3.470207        1.415301
     2769.97759      2769.97220        531.1648          1.4119         13.6269          0.0029          1.6723         -2.0878       -1.905472        1.411918
     2769.98453      2769.97914        530.8037          1.4156         13.6277          0.0029          0.3682         -2.0878       -1.333187        1.415568
     2769.99147      2769.98609        529.3654          1.4207         13.6306          0.0029          1.0777         -2.0878       -2.087752        1.420668
     2769.99842      2769.99303        530.6411          1.4079         13.6280          0.0029          1.2064         -2.0878        1.273884        1.407896
     2770.00536      2769.99998        535.9819          1.4153         13.6171          0.0029          1.6291         -2.0878       -1.555811        1.415334
     2770.01231      2770.00692        528.4193          1.4224         13.6326          0.0029         -0.5273         -2.0878       -2.774179        1.422394
     2770.01925      2770.01386        532.3512          1.4097         13.6245          0.0029          2.0616         -2.0878       -1.823812        1.409737
     2770.02620      2770.02081        530.7639          1.4327         13.6277          0.0029          1.2091         -2.0878       -2.889061        1.432701
     2770.03314      2770.02775        526.1048          1.4145         13.6373          0.0029          1.4617         -2.0959       -5.041602        1.414479
     2770.04008      2770.03470        531.2544          1.4118         13.6267          0.0029          1.3968         -2.0959       -2.209068        1.411819
     2770.04703      2770.04164        531.0591          1.4154         13.6271          0.0029         -0.0840         -2.2090       -1.635959        1.415421
     2770.05397      2770.04859        531.4766          1.4160         13.6263          0.0029          0.2594         -2.2090       -3.485274        1.415972
     2770.06092      2770.05553        531.3719          1.4181         13.6265          0.0029          0.3988         -2.0959       -3.187296        1.418102
     2770.06786      2770.06248        526.7866          1.4158         13.6359          0.0029          1.3839         -2.0959       -3.658266        1.415759
     2770.07481      2770.06942        532.2336          1.4169         13.6247          0.0029         -0.8041         -2.0959       -2.209031        1.416858
     2770.08175      2770.07636        530.6962          1.4202         13.6279          0.0029          1.4887         -2.0959       -2.358887        1.420154
     2770.08870      2770.08331        531.4441          1.4236         13.6264          0.0029          0.9310         -2.0959       -2.896955        1.423586
     2770.09564      2770.09025        530.4211          1.4060         13.6284          0.0029         -0.4074         -2.2090       -1.450772        1.406045
     2770.10258      2770.09720        525.9300          1.4094         13.6377          0.0029          2.2046         -2.2090       -3.979568        1.409389
     2770.10953      2770.10414        529.9573          1.4150         13.6294          0.0029          0.8526         -2.2091       -2.237157        1.415040
     2770.11647      2770.11109        533.4934          1.4083         13.6222          0.0029         -2.9252         -2.2091       -0.918507        1.408305
     2770.12342      2770.11803        532.5666          1.4198         13.6241          0.0029         -0.6849         -2.2090       -1.464271        1.419772
     2770.13036      2770.12498        534.2558          1.4017         13.6206          0.0028          0.6720         -2.2090       -0.229182        1.401664
     2770.13731      2770.13192        527.1898          1.4083         13.6351          0.0029         -0.6629         -2.0959       -3.538305        1.408303
     2770.14425      2770.13886        536.2789          1.4086         13.6165          0.0029         -1.1490         -2.0878       -0.108769        1.408642
     2770.15120      2770.14581        534.1398          1.3968         13.6209          0.0028          0.4395         -2.0878        1.888044        1.396813
     2770.15814      2770.15275        527.4937          1.4079         13.6345          0.0029          1.4004         -2.0878       -3.140225        1.407858
     2770.16508      2770.15970        529.7640          1.4122         13.6298          0.0029         -1.1102         -1.9439       -4.355899        1.412215
     2770.17203      2770.16664        538.0571          1.4150         13.6129          0.0029         -1.8970         -1.9439       -0.510049        1.415022
     2770.17897      2770.17359        530.7089          1.4192         13.6279          0.0029         -2.2847         -2.0883       -2.095935        1.419239
     2770.18592      2770.18053        532.9584          1.4117         13.6233          0.0029         -0.1529         -1.9439       -0.691232        1.411685
     2770.19286      2770.18748        535.4749          1.4133         13.6182          0.0029         -0.8487         -1.9439       -2.448423        1.413271
     2770.19981      2770.19442        531.5592          1.4030         13.6261          0.0029         -1.4548         -1.8003       -0.889449        1.402966
     2770.20675      2770.20136        527.9719          1.3978         13.6335          0.0029         -0.2339         -1.8003       -3.602214        1.397840
     2770.21369      2770.20831        531.4731          1.4162         13.6263          0.0029          0.5652         -1.7179       -3.089524        1.416181
     2770.22064      2770.21525        533.1850          1.4059         13.6228          0.0029          0.1636         -1.8003       -1.717885        1.405886
     2770.22758      2770.22220        533.7198          1.4126         13.6217          0.0029         -3.0683         -1.7179       -0.443358        1.412584
     2770.23453      2770.22914        532.4089          1.4106         13.6244          0.0029         -1.6444         -1.7179       -1.232540        1.410605
     2770.24147      2770.23609        529.1161          1.4010         13.6311          0.0029          1.3235         -1.6686       -3.739454        1.400955
     2770.24842      2770.24303        529.1738          1.4115         13.6310          0.0029         -1.3746         -1.6686       -6.129796        1.411538
     2770.25536      2770.24998        530.4091          1.4010         13.6285          0.0029          1.3803         -1.6686       -2.747529        1.400999
     2770.26231      2770.25692        528.2834          1.4007         13.6328          0.0029          1.6405         -1.6686       -1.095468        1.400680
     2770.26925      2770.26386        531.6113          1.4009         13.6260          0.0029         -0.3866         -1.6908       -2.695733        1.400870
     2770.27619      2770.27081        531.1257          1.3943         13.6270          0.0029         -0.5675         -1.6908       -1.411697        1.394313
     2770.28314      2770.27775        529.4717          1.4038         13.6304          0.0029         -0.5422         -1.6686       -1.387731        1.403804
     2770.29008      2770.28470        535.3782          1.4021         13.6183          0.0028         -0.5175         -1.6686       -0.398525        1.402068
     2770.29703      2770.29164        535.1005          1.4105         13.6189          0.0029         -3.4113         -1.6908       -0.575694        1.410500
     2770.30397      2770.29859        529.3009          1.4112         13.6307          0.0029          0.0460         -1.6908       -0.077597        1.411227
     2770.31092      2770.30553        531.5153          1.4030         13.6262          0.0029         -0.4392         -1.6686       -1.943940        1.403033
     2770.31786      2770.31248        534.2392          1.4039         13.6207          0.0029         -0.9118         -1.6908       -1.303282        1.403923
     2770.32480      2770.31942        532.9005          1.4099         13.6234          0.0029          1.3484         -1.7179       -0.796009        1.409868
     2770.33175      2770.32636        532.8930          1.3988         13.6234          0.0029         -1.0648         -1.7179       -1.304920        1.398822
     2770.33869      2770.33331        530.7490          1.4046         13.6278          0.0029         -1.6927         -1.7179       -2.088282        1.404621
     2770.34564      2770.34025        532.7359          1.4132         13.6237          0.0029         -1.3223         -1.7179       -1.800329        1.413169
     2770.35258      2770.34720        529.8591          1.4025         13.6296          0.0029          2.2388         -1.7179       -0.668828        1.402528
     2770.35953      2770.35414        529.7851          1.4096         13.6298          0.0029          1.4160         -1.7357       -1.668612        1.409595
     2770.36647      2770.36109        530.0056          1.4209         13.6293          0.0029          0.2142         -1.7179       -2.447263        1.420879
     2770.37341      2770.36803        537.7973          1.4222         13.6135          0.0029         -0.5976         -1.7357       -0.197275        1.422198
     2770.38036      2770.37498        532.7831          1.4111         13.6236          0.0029         -0.5527         -1.7357       -2.539203        1.411086
     2770.38730      2770.38192        532.6550          1.3991         13.6239          0.0029          0.6891         -1.7179        0.104702        1.399067
     2770.39425      2770.38886        530.0207          1.4091         13.6293          0.0029          1.0244         -1.7021       -3.168786        1.409055
     2770.40119      2770.39581        533.0430          1.4098         13.6231          0.0029         -0.1094         -1.7021       -0.844144        1.409796
     2770.40814      2770.40275        535.0290          1.4013         13.6191          0.0028         -1.9208         -1.7021       -2.104923        1.401255
     2770.41508      2770.40970        529.0307          1.4076         13.6313          0.0029          0.6318         -1.7021       -2.274115        1.407586
     2770.42202      2770.41664        530.6170          1.4095         13.6280          0.0029         -0.3752         -1.6908       -1.690800        1.409469
     2770.42897      2770.42359        531.7716          1.4094         13.6257          0.0029          0.3523         -1.6700       -1.753470        1.409364
     2770.43591      2770.43053        529.5989          1.4128         13.6301          0.0029          2.1530         -1.6700       -2.621935        1.412760
     2770.44286      2770.43748        535.2161          1.4089         13.6187          0.0029         -1.0314         -1.6686       -0.012042        1.408940
     2770.44980      2770.44442        529.6163          1.4241         13.6301          0.0029          1.7071         -1.6686       -1.468860        1.424135
     2770.45675      2770.45136        531.9935          1.4073         13.6252          0.0029         -0.0804         -1.6686       -2.768393        1.407286
     2770.46369      2770.45831        530.0962          1.4063         13.6291          0.0029          1.3796         -1.6686       -1.385037        1.406330
     2770.47064      2770.46525        531.0476          1.4136         13.6272          0.0029          0.3115         -1.6700       -0.594155        1.413585
     2770.47758      2770.47220        528.9254          1.4074         13.6315          0.0029          0.0393         -1.6908       -3.105754        1.407382
     2770.48452      2770.47914        530.3473          1.4111         13.6286          0.0029         -1.6807         -1.6700       -2.195911        1.411145
     2770.49147      2770.48609        533.6449          1.4170         13.6219          0.0029         -1.6030         -1.6700       -1.735671        1.417037
     2770.49841      2770.49303        530.7170          1.4213         13.6278          0.0029         -1.0732         -1.6908       -2.689502        1.421313
     2770.50536      2770.49998        531.1126          1.3999         13.6270          0.0029          0.1495         -1.6908       -1.147948        1.399899
     2770.51230      2770.50692        529.9580          1.3929         13.6294          0.0029         -0.4911         -1.6700       -2.672362        1.392904
     2770.51925      2770.51386        530.9319          1.4008         13.6274          0.0029         -1.9787         -1.6686       -2.580845        1.400774
     2770.52619      2770.52081        532.7353          1.4180         13.6237          0.0029          1.8564         -1.6686       -1.669975        1.417972
     2770.53313      2770.52775        530.4917          1.4013         13.6283          0.0029          0.8865         -1.4689       -2.965951        1.401283
     2770.54008      2770.53470        532.5000          1.3918         13.6242          0.0028         -0.5324         -1.4073       -1.977836        1.391839
     2770.54702      2770.54164        531.0706          1.3942         13.6271          0.0029         -0.4665         -1.4689       -1.702063        1.394187
     2770.55397      2770.54859        536.7734          1.3972         13.6155          0.0028         -2.1202         -1.4073        0.710000        1.397173
     2770.56091      2770.55553        534.9225          1.4040         13.6193          0.0028         -2.9326         -1.4073        0.929981        1.404035
     2770.56786      2770.56248        536.0954          1.4141         13.6169          0.0029         -2.2959         -1.3850        1.216707        1.414145
