# reference_flux:          3.3825
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2769.90017      2769.89581          2.3560          1.1313         19.1133         99.9000          1.4022         -0.3350       -1.107162        1.131290
     2769.90711      2769.90276          1.4849          1.1315         19.1130         99.9000         -0.4046         -0.2430       -2.185706        1.131524
     2769.91406      2769.90970          0.8139          1.1335         19.1112         99.9000          0.0437         -0.2430       -0.625470        1.133457
     2769.92100      2769.91665          1.0952          1.1337         19.1110         99.9000          1.8157         -0.2430       -1.504000        1.133666
     2769.92795      2769.92359          4.3891          1.1313         18.8341          0.2798         -0.2922         -0.2430        0.577973        1.131279
     2769.93489      2769.93054          5.2368          1.1351         18.6423          0.2353         -0.8658         -0.3350        0.326415        1.135129
     2769.94184      2769.93748          4.1564          1.1335         18.8932          0.2961          1.5990         -0.3350        0.655267        1.133504
     2769.94878      2769.94443          5.5545          1.1336         18.5784          0.2216         -0.3288         -0.3350       -1.293027        1.133609
     2769.95572      2769.95137          0.2660          1.1299         19.1146         99.9000          0.2451         -0.3350       -0.818085        1.129931
     2769.96267      2769.95831          4.5832          1.1337         18.7871          0.2686          0.9554         -0.3350        2.420923        1.133672
     2769.96961      2769.96526          5.3263          1.1325         18.6239          0.2309         -1.5169         -0.5784        2.306250        1.132532
     2769.97656      2769.97220          3.0139          1.1319         19.1127         99.9000         -1.7723         -0.5784       -0.937756        1.131925
     2769.98350      2769.97915         -0.0354          1.1312         19.1133         99.9000          0.7560         -0.3350       -0.594965        1.131222
     2769.99045      2769.98609          3.8349          1.1318         18.9806          0.3204          0.6090         -0.3350       -0.335036        1.131806
     2769.99739      2769.99304          2.4982          1.1320         19.1126         99.9000         -0.3520         -0.4078        1.081700        1.131953
     2770.00434      2769.99998          2.2516          1.1318         19.1127         99.9000          0.5132         -0.4078        1.078476        1.131826
     2770.01128      2770.00693          3.9936          1.1301         18.9366          0.3072          0.3370         -0.4078        0.082312        1.130080
     2770.01823      2770.01387         -4.2965          1.1282         19.1162         99.9000          1.2747         -0.4078       -0.243041        1.128181
     2770.02517      2770.02081         -0.8335          1.1298         19.1147         99.9000          0.9544         -0.5784       -3.133097        1.129760
     2770.03211      2770.02776          1.5031          1.1302         19.1143         99.9000         -0.6617         -0.5950        0.204061        1.130182
     2770.03906      2770.03470          3.1422          1.1283         19.1161         99.9000          0.4993         -0.6084       -0.042700        1.128344
     2770.04600      2770.04165          2.1903          1.1293         19.1152         99.9000         -0.3771         -0.6084       -1.418533        1.129282
     2770.05295      2770.04859         -0.1127          1.1287         19.1158         99.9000         -0.7402         -0.6084        0.371342        1.128679
     2770.05989      2770.05554         -0.9049          1.1299         19.1146         99.9000          0.4307         -0.6084       -0.840286        1.129943
     2770.06684      2770.06248          0.9363          1.1295         19.1150         99.9000          1.5319         -0.5950        0.420573        1.129498
     2770.07378      2770.06943          3.6856          1.1289         19.0237          0.3325          0.2883         -0.5950        0.495779        1.128864
     2770.08073      2770.07637          0.6071          1.1284         19.1161         99.9000         -0.4720         -0.5950       -0.204841        1.128379
     2770.08767      2770.08331         -4.2327          1.1277         19.1167         99.9000          0.7486         -0.5950       -4.103054        1.127744
     2770.09462      2770.09026         -0.1099          1.1294         19.1151         99.9000         -1.6385         -0.5784       -1.329883        1.129393
     2770.10156      2770.09720          2.0806          1.1321         19.1124         99.9000          0.7636         -0.5784       -0.578408        1.132148
