# reference_flux:         62.5950
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2797.10599      2797.09718         62.6871          1.4432         15.9471          0.0250          0.3917          0.8402        3.375618        1.443224
     2797.11294      2797.10412         59.7325          1.3563         15.9995          0.0247         -1.2403          0.8689       -0.852148        1.356346
     2797.11988      2797.11107         63.5167          1.4371         15.9328          0.0246         -0.7345          0.8689        0.868859        1.437070
     2797.12683      2797.11801         61.3688          1.3522         15.9701          0.0239          0.2926          0.8689        2.031326        1.352233
     2797.13377      2797.12496         58.7475          1.3514         16.0175          0.0250          0.0823          0.8689       -1.384588        1.351390
     2797.14072      2797.13190         65.3579          1.3706         15.9018          0.0228         -3.7265          0.8689       -0.149490        1.370611
     2797.14766      2797.13885         62.3832          1.3726         15.9523          0.0239         -1.5209          0.8689        1.142677        1.372600
     2797.15461      2797.14579         63.1356          1.3726         15.9393          0.0236          1.2788          0.8689        1.866882        1.372627
     2797.16155      2797.15274         61.7440          1.3542         15.9635          0.0238          0.6597          1.0711       -0.338699        1.354157
     2797.16849      2797.15968         70.5732          1.3742         15.8184          0.0211         -1.3387          1.0711        6.966408        1.374162
     2797.17544      2797.16662         65.5736          1.3784         15.8982          0.0228         -3.3978          1.0711        1.788406        1.378365
     2797.18238      2797.17357         60.6378          1.4287         15.9831          0.0256         -0.4360          1.1419        0.039069        1.428658
     2797.18933      2797.18051         63.4158          1.3785         15.9345          0.0236         -0.3134          1.1419       -0.677523        1.378529
     2797.19627      2797.18746         61.2360          1.3913         15.9725          0.0247          0.5131          1.1419       -0.894566        1.391273
     2797.20322      2797.19440         64.5128          1.3779         15.9159          0.0232         -0.5300          1.0711        1.340671        1.377896
     2797.21016      2797.20135         65.4417          1.3611         15.9004          0.0226         -1.6331          1.0668        0.836176        1.361130
     2797.21711      2797.20829         62.7772          1.3597         15.9455          0.0235         -0.5053          1.0711       -1.819203        1.359703
     2797.22405      2797.21524         64.5971          1.3714         15.9145          0.0231          2.1305          1.0711        2.139305        1.371411
     2797.23100      2797.22218         67.2463          1.3707         15.8708          0.0221          0.8296          1.0668        2.619202        1.370720
     2797.23794      2797.22912         60.5759          1.3685         15.9843          0.0245         -1.1240          1.0668        0.436383        1.368456
     2797.24489      2797.23607         63.0113          1.3702         15.9415          0.0236         -0.1003          1.0668        1.141884        1.370168
     2797.25183      2797.24301         67.2591          1.3765         15.8706          0.0222          0.4413          1.0668       -0.194682        1.376481
     2797.25877      2797.24996         64.1927          1.3840         15.9213          0.0234          0.1511          1.0668        2.229531        1.384044
     2797.26572      2797.25690         58.7068          1.3592         16.0183          0.0251          0.2640          1.0668        0.840211        1.359201
     2797.27266      2797.26385         61.0247          1.3559         15.9762          0.0241          2.0590          1.0668        1.665814        1.355883
     2797.27961      2797.27079         66.6706          1.4203         15.8802          0.0231         -2.0847          0.8689        1.386317        1.420337
     2797.28655      2797.27774         66.4405          1.3583         15.8839          0.0222          0.7143          1.0668        1.071109        1.358272
     2797.29350      2797.28468         66.8945          1.3580         15.8765          0.0220          0.3484          1.0668        2.416835        1.358049
     2797.30044      2797.29162         62.4202          1.3609         15.9517          0.0237         -0.0107          1.0668       -1.065985        1.360892
     2797.30739      2797.29857         65.2744          1.3983         15.9031          0.0233          0.5877          1.0668        3.365123        1.398330
     2797.31433      2797.30551         65.5154          1.3629         15.8991          0.0226         -0.7547          1.0668        2.126722        1.362896
     2797.32128      2797.31246         63.8753          1.3643         15.9267          0.0232          1.6400          1.0512        3.210531        1.364277
     2797.32822      2797.31940         61.8631          1.3480         15.9614          0.0237          0.6184          1.0512       -0.275919        1.347982
     2797.33516      2797.32635         64.1192          1.3420         15.9225          0.0227         -0.9881          1.0668        1.358145        1.342001
     2797.34211      2797.33329         65.9251          1.3844         15.8924          0.0228         -0.1959          1.0573        4.690872        1.384399
     2797.34905      2797.34024         61.8901          1.3572         15.9609          0.0238          0.6860          1.0512        0.069182        1.357215
     2797.35600      2797.34718         61.4750          1.3613         15.9683          0.0240          0.3203          1.0512        0.552144        1.361297
