# reference_flux:        285.4178
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2797.10607      2797.09718        291.4592          1.6279         14.2786          0.0061         -1.4644          0.7005       -1.107428        1.627876
     2797.11301      2797.10412        290.8466          1.4888         14.2808          0.0056         -0.1199          0.7005       -0.225075        1.488848
     2797.11996      2797.11107        285.9933          1.6010         14.2991          0.0061          1.3625          0.7005       -0.840820        1.600964
     2797.12690      2797.11801        290.1184          1.4787         14.2836          0.0055         -0.4131          0.7005        2.148383        1.478692
     2797.13385      2797.12496        289.1787          1.4317         14.2871          0.0054         -1.4263          0.7005        1.204663        1.431740
     2797.14079      2797.13190        286.8614          1.4797         14.2958          0.0056          0.4752          0.7005        0.393335        1.479666
     2797.14774      2797.13885        291.7241          1.4925         14.2776          0.0056         -2.3107          0.7363       -1.128959        1.492493
     2797.15468      2797.14579        290.2139          1.5170         14.2832          0.0057         -1.3776          0.7363        3.362020        1.517021
     2797.16163      2797.15274        294.0325          1.4860         14.2690          0.0055         -1.1448          0.7363        5.045764        1.485962
     2797.16857      2797.15968        290.8974          1.5192         14.2807          0.0057         -1.3931          0.7005        2.616771        1.519214
     2797.17552      2797.16662        292.6315          1.5307         14.2742          0.0057         -0.1535          0.7363        1.946968        1.530691
     2797.18246      2797.17357        292.1467          1.5956         14.2760          0.0059         -1.1466          0.7363        0.700532        1.595618
     2797.18940      2797.18051        293.8432          1.5297         14.2697          0.0057         -0.4526          0.9513        0.736302        1.529719
     2797.19635      2797.18746        289.4157          1.5510         14.2862          0.0058          1.1676          0.9513        0.164079        1.551012
     2797.20329      2797.19440        292.0011          1.5255         14.2765          0.0057         -0.4032          0.7363        0.489914        1.525466
     2797.21024      2797.20135        295.9859          1.5006         14.2618          0.0055          1.4895          0.7005        4.077051        1.500606
     2797.21718      2797.20829        292.3095          1.4947         14.2754          0.0056         -1.3083          0.7005        0.951289        1.494664
     2797.22413      2797.21524        287.1221          1.5087         14.2948          0.0057         -1.3499          0.7005       -0.622962        1.508677
     2797.23107      2797.22218        283.5131          1.5156         14.3086          0.0058          0.1162          0.7005        0.489417        1.515587
     2797.23802      2797.22912        287.7756          1.5073         14.2924          0.0057         -0.9957          0.7005       -1.156777        1.507301
     2797.24496      2797.23607        289.7199          1.5096         14.2851          0.0057          1.5787          0.7005        1.014524        1.509561
     2797.25190      2797.24301        288.7159          1.5226         14.2888          0.0057         -1.8654          0.5271        0.477030        1.522555
     2797.25885      2797.24996        284.8776          1.5311         14.3034          0.0058          2.3735          0.5271        1.396642        1.531073
     2797.26579      2797.25690        286.7035          1.4920         14.2964          0.0057         -1.7290          0.7005        2.156908        1.491974
     2797.27274      2797.26385        290.2156          1.4886         14.2832          0.0056          3.1778          0.7005       -1.077175        1.488562
     2797.27968      2797.27079        290.0186          1.5739         14.2839          0.0059         -0.4974          0.7363        1.422228        1.573907
     2797.28663      2797.27774        282.1921          1.4831         14.3136          0.0057          0.5050          0.7363       -0.292025        1.483109
     2797.29357      2797.28468        287.4024          1.4861         14.2938          0.0056         -0.9453          0.7363        1.463250        1.486086
     2797.30052      2797.29162        291.4443          1.4997         14.2786          0.0056          0.4153          0.7005        1.506907        1.499678
     2797.30746      2797.29857        285.3593          1.5297         14.3015          0.0058         -1.6779          0.7005        1.564089        1.529717
     2797.31441      2797.30551        283.7078          1.4971         14.3078          0.0057          0.8627          0.7363       -0.831705        1.497110
     2797.32135      2797.31246        290.5426          1.4945         14.2820          0.0056         -1.9892          0.9513        2.373211        1.494535
     2797.32830      2797.31940        287.7245          1.4715         14.2926          0.0056          2.0598          0.9513        0.085738        1.471459
     2797.33524      2797.32635        285.5097          1.4581         14.3009          0.0055         -2.6975          0.7363        1.971434        1.458137
     2797.34218      2797.33329        287.6591          1.5145         14.2928          0.0057         -1.1102          0.7005        2.047227        1.514518
     2797.34913      2797.34024        291.7939          1.4907         14.2773          0.0055         -0.3267          0.7005        1.220459        1.490653
     2797.35607      2797.34718        290.8581          1.4980         14.2808          0.0056          0.8225          0.5271       -0.773897        1.497962
     2797.36302      2797.35412        290.9085          1.4308         14.2806          0.0053          1.3076          0.4899       -1.593281        1.430833
     2797.36996      2797.36107        283.2355          1.5077         14.3096          0.0058         -0.6450          0.4899       -1.302132        1.507739
     2797.37691      2797.36801        283.6775          1.5333         14.3079          0.0059          1.2258          0.4894        1.047735        1.533346
     2797.38385      2797.37496        286.1155          1.4983         14.2986          0.0057          0.9217          0.4770        1.464094        1.498324
     2797.39080      2797.38190        290.6972          1.4727         14.2814          0.0055         -1.5872          0.4335        0.433524        1.472708
     2797.39774      2797.38885        284.4218          1.4570         14.3051          0.0056          1.1771          0.4770       -2.866944        1.456974
