# reference_flux:        118.0630
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2797.10617      2797.09718        116.6734          1.3753         15.2726          0.0128          0.5511         -0.3656       -1.767966        1.375301
     2797.11311      2797.10412        114.1209          1.4648         15.2966          0.0139          1.0048         -0.3656       -1.520811        1.464765
     2797.12006      2797.11107        119.6303          1.3973         15.2454          0.0127          1.4776         -0.3656        0.239690        1.397335
     2797.12700      2797.11801        121.7326          1.3304         15.2265          0.0119          1.5221         -0.3656        0.961881        1.330436
     2797.13395      2797.12496        119.9100          1.3496         15.2429          0.0122         -0.2598         -0.3656        0.112484        1.349614
     2797.14089      2797.13190        119.9970          1.3756         15.2421          0.0124          0.1543         -0.3656       -0.747425        1.375612
     2797.14784      2797.13885        116.2246          1.3644         15.2768          0.0127         -0.8121         -0.3656       -1.780338        1.364445
     2797.15478      2797.14579        118.4752          1.3595         15.2559          0.0125         -0.4809         -0.3656       -0.075387        1.359541
     2797.16173      2797.15274        120.3388          1.4284         15.2390          0.0129         -0.8558         -0.3656        1.988839        1.428373
     2797.16867      2797.15968        110.8242          1.3821         15.3284          0.0135         -0.1053         -0.3656       -6.660249        1.382097
     2797.17561      2797.16662        119.6511          1.3904         15.2452          0.0126         -0.9767         -0.3654        0.916481        1.390377
     2797.18256      2797.17357        118.9926          1.3616         15.2512          0.0124          0.2737         -0.3654       -0.365551        1.361648
     2797.18950      2797.18051        118.7354          1.3535         15.2535          0.0124          3.2377         -0.3530       -0.875223        1.353508
     2797.19645      2797.18746        118.4348          1.3620         15.2563          0.0125         -1.7050         -0.2169        1.843422        1.362048
     2797.20339      2797.19440        113.0853          1.3745         15.3065          0.0132          0.3985         -0.3530       -1.988609        1.374540
     2797.21034      2797.20135        121.1312          1.3851         15.2319          0.0124          0.3942         -0.2169       -2.177293        1.385107
     2797.21728      2797.20829        123.2441          1.3901         15.2131          0.0122         -0.7709         -0.2169       -0.761878        1.390113
     2797.22423      2797.21524        120.0606          1.4272         15.2415          0.0129          0.4608         -0.2169        0.808378        1.427235
     2797.23117      2797.22218        123.6039          1.3703         15.2099          0.0120         -0.5544         -0.0791        4.646044        1.370322
     2797.23812      2797.22912        119.4481          1.3630         15.2471          0.0124          1.0621         -0.0791       -0.517000        1.363033
     2797.24506      2797.23607        117.9859          1.3783         15.2604          0.0127          0.5879         -0.2169       -0.352962        1.378348
     2797.25200      2797.24301        116.8256          1.3820         15.2712          0.0128          1.6090         -0.2169       -0.216948        1.381988
     2797.25895      2797.24996        118.0688          1.3881         15.2597          0.0128         -0.5254         -0.3530       -0.789446        1.388084
     2797.26589      2797.25690        118.3608          1.3789         15.2570          0.0126         -0.4403         -0.2169        0.105066        1.378900
     2797.27284      2797.26385        118.3374          1.3627         15.2572          0.0125         -1.1707         -0.2169       -0.515160        1.362714
     2797.27978      2797.27079        119.2830          1.3675         15.2486          0.0124         -0.0911         -0.2169        1.656719        1.367527
     2797.28673      2797.27774        121.2399          1.3498         15.2309          0.0121          0.4240         -0.2169        1.136766        1.349846
     2797.29367      2797.28468        118.7826          1.3554         15.2531          0.0124         -1.7454         -0.2169        0.776146        1.355429
     2797.30062      2797.29162        117.8649          1.3409         15.2615          0.0124         -0.0883         -0.3253       -0.666398        1.340859
     2797.30756      2797.29857        115.0370          1.3506         15.2879          0.0127         -0.3231         -0.3253       -1.559439        1.350615
     2797.31451      2797.30551        116.1916          1.3558         15.2771          0.0127         -0.8272         -0.3253       -0.365384        1.355820
     2797.32145      2797.31246        120.0164          1.4475         15.2419          0.0131          0.6876         -0.2169       -0.490750        1.447484
     2797.32840      2797.31940        116.8734          1.3647         15.2707          0.0127         -1.1133         -0.2169        0.435966        1.364660
     2797.33534      2797.32635        118.4678          1.3714         15.2560          0.0126          0.0317         -0.3253       -0.079059        1.371429
     2797.34228      2797.33329        119.6120          1.3975         15.2456          0.0127          0.3048         -0.3253        0.030015        1.397478
     2797.34923      2797.34024        117.9319          1.4019         15.2609          0.0129          0.8542         -0.3253        0.544504        1.401891
     2797.35617      2797.34718        119.0248          1.3791         15.2509          0.0126          0.3851         -0.2169        0.611689        1.379103
     2797.36312      2797.35412        116.2083          1.3383         15.2769          0.0125         -2.1405         -0.1796       -3.306591        1.338329
     2797.37006      2797.36107        115.5517          1.3533         15.2831          0.0127          1.4483         -0.1796        0.902147        1.353321
     2797.37701      2797.36801        116.0349          1.3710         15.2785          0.0128          1.7344         -0.0791        0.629936        1.371016
     2797.38395      2797.37496        109.7054          1.3743         15.3394          0.0136         -0.5361          0.0300        0.194462        1.374310
     2797.39090      2797.38190        117.7592          1.3586         15.2625          0.0125          1.3999          0.0300        1.013618        1.358606
     2797.39784      2797.38885        116.2901          1.3868         15.2761          0.0129         -0.4018         -0.0791       -3.271089        1.386781
     2797.40479      2797.39579        113.6632          1.4192         15.3010          0.0136          1.3854         -0.1796       -3.460409        1.419199
     2797.41173      2797.40274        117.5789          1.4492         15.2642          0.0134          1.5374         -0.1626        1.249938        1.449243
     2797.41867      2797.40968        119.6092          1.4133         15.2456          0.0128          0.8604         -0.0791       -1.760813        1.413263
     2797.42562      2797.41662        122.8135          1.4205         15.2169          0.0126         -0.7040          0.0300        2.543493        1.420467
     2797.43256      2797.42357        115.9339          1.4225         15.2795          0.0133          1.9691          0.0300       -2.242514        1.422458
     2797.43951      2797.43051        116.2801          1.4167         15.2762          0.0132          0.7491         -0.0791       -0.436928        1.416735
     2797.44645      2797.43746        116.4359          1.4288         15.2748          0.0133         -1.9430          0.0300       -0.325309        1.428834
     2797.45340      2797.44440        120.6262          1.4133         15.2364          0.0127         -0.6768          0.0300        0.564464        1.413324
     2797.46034      2797.45135        113.1356          1.4191         15.3060          0.0136          0.8745         -0.0791       -1.202714        1.419148
     2797.46729      2797.45829        119.1901          1.4184         15.2494          0.0129         -0.7210         -0.1626        0.582751        1.418387
     2797.47423      2797.46524        118.4240          1.3904         15.2564          0.0127         -2.0633         -0.0791       -1.161276        1.390437
     2797.48118      2797.47218        115.4805          1.4080         15.2837          0.0132         -1.8187         -0.0791        0.070154        1.408033
     2797.48812      2797.47912        118.9822          1.4082         15.2513          0.0129         -2.9203          0.0300        1.056483        1.408209
     2797.49507      2797.48607        116.5419          1.3928         15.2738          0.0130          0.9030          0.0702       -0.868717        1.392753
     2797.50201      2797.49301        113.5859          1.4199         15.3017          0.0136          3.2446          0.0702       -2.590781        1.419886
     2797.50895      2797.49996        118.7742          1.4032         15.2532          0.0128         -0.3463          0.1945        3.672994        1.403199
     2797.51590      2797.50690        119.3854          1.3902         15.2476          0.0126          0.5717          0.1945       -0.179553        1.390196
     2797.52284      2797.51385        116.8600          1.3656         15.2708          0.0127          1.5770          0.1598        1.654811        1.365582
     2797.52979      2797.52079        122.9128          1.3865         15.2160          0.0122         -0.5408          0.1598        1.191668        1.386485
     2797.53673      2797.52773        121.0729          1.3928         15.2324          0.0125          0.3169          0.1598        2.573880        1.392751
     2797.54368      2797.53468        124.7278          1.3681         15.2001          0.0119          0.4799          0.0726        3.783779        1.368115
     2797.55062      2797.54162        118.4515          1.3862         15.2561          0.0127          1.0545          0.0726       -1.782600        1.386197
     2797.55757      2797.54857        114.6944          1.3994         15.2911          0.0132          1.0630          0.0726       -1.300366        1.399398
     2797.56451      2797.55551        120.5312          1.4044         15.2373          0.0127          0.4321          0.0702       -0.766939        1.404423
     2797.57146      2797.56246        119.4851          1.4013         15.2467          0.0127         -0.4333          0.0726       -0.162576        1.401345
     2797.57840      2797.56940        118.8522          1.3819         15.2525          0.0126          1.0371          0.1598        2.607444        1.381878
     2797.58534      2797.57635        118.8752          1.3682         15.2523          0.0125         -0.5857          0.1598        0.462068        1.368164
     2797.59229      2797.58329        120.4006          1.3721         15.2384          0.0124          1.4697          0.1598       -0.472873        1.372141
     2797.59923      2797.59023        118.1581          1.3599         15.2588          0.0125         -0.2687          0.0726       -2.285713        1.359887
     2797.60618      2797.59718        118.6102          1.3693         15.2547          0.0125          1.6186          0.0726        1.551128        1.369312
     2797.61312      2797.60412        117.7768          1.3659         15.2624          0.0126          2.2911          0.0726        0.593273        1.365877
     2797.62007      2797.61107        117.5588          1.3640         15.2644          0.0126          0.2365          0.1598       -0.177001        1.363988
     2797.62701      2797.61801        114.4049          1.3631         15.2939          0.0129          2.2999          0.0726       -2.466705        1.363091
     2797.63396      2797.62496        121.3577          1.3595         15.2298          0.0122          1.9939          0.1598        1.385314        1.359472
     2797.64090      2797.63190        118.6728          1.3566         15.2541          0.0124          1.4298          0.1598       -0.867494        1.356613
     2797.64785      2797.63885        121.0702          1.3707         15.2324          0.0123          2.2602          0.1598        1.291483        1.370729
     2797.65479      2797.64579        116.3097          1.3688         15.2760          0.0128          1.5826          0.1598        1.335353        1.368792
     2797.66173      2797.65273        122.6846          1.3755         15.2180          0.0122         -0.4999          0.1598        2.569345        1.375458
     2797.66868      2797.65968        120.7316          1.3808         15.2354          0.0124          1.6779          0.4621        1.057613        1.380778
     2797.67562      2797.66662        117.4347          1.3836         15.2655          0.0128          2.5700          0.5313        0.159789        1.383565
     2797.68257      2797.67357        119.5768          1.3800         15.2459          0.0125          1.2440          0.4621       -0.418834        1.379958
     2797.68951      2797.68051        123.6869          1.3621         15.2092          0.0120         -1.0255          0.4621        2.875975        1.362076
     2797.69646      2797.68746        114.4094          1.3445         15.2938          0.0128          0.0562          0.3906       -2.012550        1.344533
     2797.70340      2797.69440        121.8469          1.3742         15.2255          0.0122         -1.6015          0.3906        0.072630        1.374223
     2797.71035      2797.70135        118.2098          1.3834         15.2584          0.0127         -0.8020          0.1598        1.964369        1.383393
     2797.71729      2797.70829        119.0851          1.3318         15.2504          0.0121          0.6805          0.0726        1.498328        1.331826
     2797.72424      2797.71523        114.4658          1.3625         15.2933          0.0129          1.7162          0.1598       -2.748924        1.362497
     2797.73118      2797.72218        118.4250          1.3842         15.2564          0.0127          0.0344          0.1598        2.177921        1.384178
     2797.73812      2797.72912        121.8038          1.3852         15.2258          0.0123          0.9974          0.1598        2.725305        1.385174
     2797.74507      2797.73607        116.1215          1.3721         15.2777          0.0128          0.1959          0.3906        2.407189        1.372096
     2797.75201      2797.74301        117.6476          1.3566         15.2635          0.0125          1.0709          0.3906       -0.305300        1.356633
     2797.75896      2797.74996        113.4036          1.3558         15.3034          0.0130          1.3151          0.1598       -1.154921        1.355799
     2797.76590      2797.75690        117.5406          1.3741         15.2645          0.0127          0.5822          0.3906       -2.390892        1.374130
     2797.77285      2797.76384        117.7872          1.3548         15.2623          0.0125         -0.2365          0.3906       -1.497045        1.354782
     2797.77979      2797.77079        122.2728          1.3770         15.2217          0.0122         -0.1690          0.3906        1.916124        1.376996
     2797.78674      2797.77773        119.4992          1.3709         15.2466          0.0125         -0.1076          0.1598       -2.097303        1.370864
     2797.79368      2797.78468        122.0908          1.3978         15.2233          0.0124         -0.1050          0.1598        1.034266        1.397773
     2797.80063      2797.79162        118.3412          1.3873         15.2572          0.0127          0.5151          0.1598        0.917643        1.387277
     2797.80757      2797.79857        116.5904          1.3968         15.2733          0.0130         -1.5611          0.0726       -0.947967        1.396801
     2797.81452      2797.80551        118.0276          1.3671         15.2600          0.0126         -0.3911          0.0726       -1.225043        1.367114
     2797.82146      2797.81246        117.4892          1.3755         15.2650          0.0127         -0.6520          0.0726        0.531283        1.375526
     2797.82840      2797.81940        120.5957          1.4380         15.2367          0.0129         -0.4239         -0.0940        2.106608        1.437963
     2797.83535      2797.82634        121.9311          1.4053         15.2247          0.0125          1.7951         -0.1755        1.521667        1.405318
     2797.84229      2797.83329        116.0822          1.3764         15.2781          0.0129          2.6403         -0.3053       -1.002218        1.376445
     2797.84924      2797.84023        117.7658          1.3879         15.2625          0.0128         -0.9940         -0.3053       -1.916606        1.387883
     2797.85618      2797.84718        121.3574          1.4128         15.2298          0.0126         -0.2954         -0.1755        0.390609        1.412816
