# reference_flux:        199.0460
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2797.10641      2797.09718        193.9512          1.5911         14.7208          0.0089         -1.2057         -1.3164       -1.142716        1.591144
     2797.11335      2797.10412        195.9863          1.5915         14.7094          0.0088          0.4787         -1.3164        0.631882        1.591461
     2797.12030      2797.11107        188.3898          1.5881         14.7524          0.0092          2.3858         -1.3164       -3.080004        1.588146
     2797.12724      2797.11801        195.7479          1.5908         14.7108          0.0088          1.6353         -1.3164        0.045058        1.590837
     2797.13418      2797.12496        189.7132          1.5888         14.7448          0.0091          2.4924         -1.3164       -3.160801        1.588787
     2797.14113      2797.13190        195.2177          1.5899         14.7137          0.0088          0.2007         -1.3164       -2.444974        1.589882
     2797.14807      2797.13885        189.3647          1.5864         14.7468          0.0091          1.0359         -1.3164       -3.822957        1.586433
     2797.15502      2797.14579        193.3954          1.5902         14.7239          0.0089          0.9742         -1.3164        0.228480        1.590162
     2797.16196      2797.15274        192.0826          1.5907         14.7313          0.0090          2.1572         -1.3164       -0.075106        1.590717
     2797.16891      2797.15968        195.2155          1.5918         14.7137          0.0089          0.7398         -1.3164        0.879927        1.591801
     2797.17585      2797.16662        196.6578          1.5914         14.7057          0.0088          0.8768         -1.3164        2.239267        1.591435
     2797.18280      2797.17357        191.9182          1.5911         14.7322          0.0090         -1.7207         -1.3164       -3.521912        1.591142
     2797.18974      2797.18051        192.4456          1.5896         14.7292          0.0090          0.4789         -1.1427       -2.833554        1.589566
     2797.19668      2797.18746        195.8648          1.5907         14.7101          0.0088          1.8416         -1.1427       -1.316416        1.590734
     2797.20363      2797.19440        198.7709          1.5921         14.6941          0.0087          1.4579         -1.1427        0.899798        1.592090
     2797.21057      2797.20135        187.3913          1.5885         14.7581          0.0092          2.2415         -1.1427       -1.521323        1.588506
     2797.21752      2797.20829        189.8296          1.5897         14.7441          0.0091          0.0264         -1.2043       -1.103390        1.589711
     2797.22446      2797.21524        190.1322          1.5905         14.7424          0.0091         -0.6134         -1.3164       -3.163624        1.590543
     2797.23141      2797.22218        189.2135          1.5929         14.7476          0.0091          3.7012         -1.2043       -2.519037        1.592907
     2797.23835      2797.22912        187.1102          1.5931         14.7598          0.0092          2.6310         -1.2043       -1.956742        1.593058
     2797.24530      2797.23607        191.6457          1.5918         14.7338          0.0090          0.9493         -1.1427       -0.021410        1.591806
     2797.25224      2797.24301        190.8724          1.5921         14.7381          0.0091          2.5421         -1.2043        0.139402        1.592137
     2797.25919      2797.24996        189.6088          1.5948         14.7454          0.0091          2.1069         -1.1427       -1.596839        1.594779
     2797.26613      2797.25690        194.4765          1.5942         14.7178          0.0089          1.3983         -1.1427        0.909092        1.594218
     2797.27307      2797.26385        195.9495          1.5937         14.7096          0.0088         -1.6451         -1.2043       -2.035699        1.593656
     2797.28002      2797.27079        187.8358          1.5905         14.7556          0.0092          1.9029         -1.2043       -1.863045        1.590550
     2797.28696      2797.27774        192.1843          1.5932         14.7307          0.0090          1.3817         -1.2043        0.681492        1.593183
     2797.29391      2797.28468        194.5434          1.5931         14.7175          0.0089          0.1809         -1.1034       -1.051811        1.593108
     2797.30085      2797.29162        194.3004          1.5926         14.7188          0.0089         -1.2180         -1.2043       -1.806107        1.592632
     2797.30780      2797.29857        194.3086          1.5940         14.7188          0.0089          1.0495         -1.1034       -1.850476        1.594000
     2797.31474      2797.30551        190.8744          1.5933         14.7381          0.0091          1.5519         -1.0837       -3.081548        1.593274
     2797.32169      2797.31246        190.6014          1.5942         14.7397          0.0091          3.3565         -1.0518       -0.659318        1.594207
     2797.32863      2797.31940        191.8115          1.5936         14.7328          0.0090         -0.1765         -1.0837       -2.904857        1.593569
     2797.33558      2797.32635        192.4573          1.5934         14.7292          0.0090          0.6206         -1.1034        1.018612        1.593393
     2797.34252      2797.33329        191.5057          1.5917         14.7345          0.0090          2.3266         -1.2043       -0.653378        1.591697
     2797.34946      2797.34024        191.5772          1.5893         14.7341          0.0090         -0.6647         -1.3164        2.530709        1.589322
     2797.35641      2797.34718        193.5263          1.5928         14.7231          0.0089         -0.7380         -1.2043       -1.518893        1.592839
     2797.36335      2797.35412        188.9754          1.5912         14.7490          0.0091          0.7034         -1.2043        0.474036        1.591211
     2797.37030      2797.36107        191.7600          1.5945         14.7331          0.0090          0.7481         -1.1972       -0.846732        1.594460
     2797.37724      2797.36801        192.9041          1.5916         14.7266          0.0090          0.1512         -1.2043       -1.204314        1.591586
     2797.38419      2797.37496        188.4007          1.5963         14.7523          0.0092         -1.5217         -1.1972       -2.219406        1.596303
     2797.39113      2797.38190        194.2931          1.5949         14.7189          0.0089          1.0154         -1.1972        0.473352        1.594897
     2797.39808      2797.38885        192.3294          1.5930         14.7299          0.0090          2.6540         -1.1972       -1.903449        1.593040
     2797.40502      2797.39579        191.1399          1.5968         14.7366          0.0091         -0.2413         -1.0837       -1.083716        1.596815
     2797.41196      2797.40274        191.4184          1.5944         14.7350          0.0090          1.0788         -1.0518       -3.006499        1.594428
     2797.41891      2797.40968        192.6349          1.5939         14.7282          0.0090          3.6952         -1.0518        2.578500        1.593943
     2797.42585      2797.41662        190.3823          1.5935         14.7409          0.0091          0.0499         -1.0837        0.759120        1.593506
     2797.43280      2797.42357        190.2229          1.5891         14.7418          0.0091          0.7684         -1.0518       -1.973611        1.589068
     2797.43974      2797.43051        193.2169          1.5932         14.7249          0.0090          0.3202         -1.0837       -0.216603        1.593185
     2797.44669      2797.43746        197.9190          1.5951         14.6988          0.0088         -0.3452         -1.0518       -0.473857        1.595066
     2797.45363      2797.44440        193.9756          1.5923         14.7206          0.0089          2.4275         -1.0518       -0.321019        1.592317
     2797.46058      2797.45135        191.4237          1.5937         14.7350          0.0090          0.7950         -1.0837       -2.289106        1.593721
     2797.46752      2797.45829        188.2885          1.5925         14.7529          0.0092          1.2724         -1.1972        0.240765        1.592521
     2797.47447      2797.46524        190.0546          1.5931         14.7428          0.0091          0.8757         -1.1972       -0.548480        1.593088
     2797.48141      2797.47218        191.7247          1.5940         14.7333          0.0090          1.2863         -1.0837       -0.320860        1.594013
     2797.48835      2797.47912        187.0888          1.5945         14.7599          0.0093          3.1513         -1.0837       -2.810265        1.594525
     2797.49530      2797.48607        189.5203          1.5929         14.7459          0.0091          1.6743         -1.1972       -2.741351        1.592938
     2797.50224      2797.49301        190.0689          1.5924         14.7427          0.0091          0.6827         -1.0837       -2.240263        1.592396
