# reference_flux:       -147.9239
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2797.10502      2797.09720         -4.6091          1.2546         19.0009         99.9000          1.0774             nan             nan             nan
     2797.11197      2797.10414          1.8486          1.2832         18.9765         99.9000         -2.4371             nan             nan             nan
     2797.11891      2797.11109         -0.9896          1.2737         18.9845         99.9000         -0.5378             nan             nan             nan
     2797.12586      2797.11803         -4.0834          1.2741         18.9842         99.9000         -0.7952             nan             nan             nan
     2797.13280      2797.12497         -0.1788          1.2551         19.0005         99.9000         -0.8079             nan             nan             nan
     2797.13974      2797.13192         -1.1325          1.2560         18.9997         99.9000          1.4605             nan             nan             nan
     2797.14669      2797.13886          0.8020          1.2496         19.0053         99.9000         -1.7772             nan             nan             nan
     2797.15363      2797.14581         -0.2612          1.2722         18.9858         99.9000         -0.6538             nan             nan             nan
     2797.16058      2797.15275         -0.9291          1.2762         18.9824         99.9000         -0.0309             nan             nan             nan
     2797.16752      2797.15970         -3.3843          1.2708         18.9870         99.9000         -2.0794             nan             nan             nan
     2797.17447      2797.16664         -2.9305          1.2692         18.9883         99.9000         -1.4147             nan             nan             nan
     2797.18141      2797.17359         -0.7047          1.2561         18.9996         99.9000          2.4051             nan             nan             nan
     2797.18836      2797.18053         -0.1060          1.2763         18.9823         99.9000          0.4874             nan             nan             nan
     2797.19530      2797.18747         -2.2144          1.2739         18.9844         99.9000          0.0910             nan             nan             nan
     2797.20225      2797.19442         -2.7915          1.2581         18.9979         99.9000         -0.9668             nan             nan             nan
     2797.20919      2797.20136         -2.8477          1.2508         19.0042         99.9000         -0.5049             nan             nan             nan
     2797.21614      2797.20831         -5.2014          1.2463         19.0081         99.9000          0.4711             nan             nan             nan
     2797.22308      2797.21525          0.2295          1.2709         18.9869         99.9000          0.4159             nan             nan             nan
     2797.23002      2797.22220         -0.4643          1.2563         18.9994         99.9000         -0.7931             nan             nan             nan
     2797.23697      2797.22914         -0.0254          1.2553         19.0003         99.9000          0.7044             nan             nan             nan
     2797.24391      2797.23609         -2.9171          1.2667         18.9905         99.9000          1.4383             nan             nan             nan
     2797.25086      2797.24303         -4.4837          1.2609         18.9955         99.9000          1.2952             nan             nan             nan
     2797.25780      2797.24997         -3.5601          1.2536         19.0018         99.9000          0.4379             nan             nan             nan
     2797.26475      2797.25692         -0.6511          1.2468         19.0077         99.9000          1.5606             nan             nan             nan
     2797.27169      2797.26386          0.7174          1.2500         19.0049         99.9000          0.1111             nan             nan             nan
     2797.27864      2797.27081         -4.9194          1.2436         19.0105         99.9000          1.5823             nan             nan             nan
     2797.28558      2797.27775         -4.1183          1.2503         19.0047         99.9000          1.2618             nan             nan             nan
     2797.29253      2797.28470         -1.2120          1.2632         18.9935         99.9000          1.0952             nan             nan             nan
     2797.29947      2797.29164         -1.4674          1.2524         19.0029         99.9000          1.2579             nan             nan             nan
