# reference_flux:        132.5650
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2797.10228      2797.09719        134.9282          1.6177         15.1147          0.0130          0.3480             nan             nan             nan
     2797.10923      2797.10413        133.0104          1.6144         15.1303          0.0132          3.1568             nan             nan             nan
     2797.11617      2797.11107        136.3639          1.6194         15.1033          0.0129         -1.0217             nan             nan             nan
     2797.12312      2797.11802        132.2129          1.6135         15.1368          0.0132         -0.4640             nan             nan             nan
     2797.13006      2797.12496        128.8836          1.6148         15.1645          0.0136          3.1236             nan             nan             nan
     2797.13701      2797.13191        134.8370          1.6194         15.1155          0.0130          1.4612             nan             nan             nan
     2797.14395      2797.13885        128.8324          1.6155         15.1649          0.0136          2.3350             nan             nan             nan
     2797.15089      2797.14580        133.6081          1.6117         15.1254          0.0131          3.1451             nan             nan             nan
     2797.15784      2797.15274        134.8415          1.6102         15.1154          0.0130          1.2786             nan             nan             nan
     2797.16478      2797.15969        129.2876          1.6149         15.1611          0.0136          2.7733             nan             nan             nan
     2797.17173      2797.16663        135.7715          1.6176         15.1080          0.0129          1.0351             nan             nan             nan
     2797.17867      2797.17357        136.0997          1.6165         15.1054          0.0129          1.4135             nan             nan             nan
     2797.18562      2797.18052        132.5852          1.6118         15.1338          0.0132          1.3653             nan             nan             nan
     2797.19256      2797.18746        133.4542          1.6234         15.1267          0.0132          3.0824             nan             nan             nan
     2797.19951      2797.19441        130.5178          1.6202         15.1508          0.0135          0.8621             nan             nan             nan
     2797.20645      2797.20135        131.1857          1.6146         15.1453          0.0134          5.6269             nan             nan             nan
     2797.21340      2797.20830        134.4846          1.6199         15.1183          0.0131          0.2336             nan             nan             nan
     2797.22034      2797.21524        131.3768          1.6169         15.1437          0.0134          0.9278             nan             nan             nan
     2797.22728      2797.22219        126.2531          1.6170         15.1869          0.0139          0.3796             nan             nan             nan
     2797.23423      2797.22913        132.0814          1.6153         15.1379          0.0133          0.3207             nan             nan             nan
     2797.24117      2797.23607        130.8063          1.6099         15.1484          0.0134         -0.1640             nan             nan             nan
     2797.24812      2797.24302        129.5832          1.6098         15.1586          0.0135          1.6743             nan             nan             nan
     2797.25506      2797.24996        133.4992          1.6151         15.1263          0.0131          1.8408             nan             nan             nan
     2797.26201      2797.25691        132.1638          1.6090         15.1372          0.0132          1.1345             nan             nan             nan
     2797.26895      2797.26385        131.9585          1.6096         15.1389          0.0132          1.5879             nan             nan             nan
     2797.27590      2797.27080        128.4316          1.6056         15.1683          0.0136          0.4502             nan             nan             nan
     2797.28284      2797.27774        133.1259          1.6166         15.1293          0.0132         -2.7011             nan             nan             nan
     2797.28979      2797.28469        130.9602          1.6134         15.1472          0.0134          0.8101             nan             nan             nan
