# reference_flux:      -3844.9420
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2797.10115      2797.09719         -8.8469          1.2086         19.0415         99.9000          0.1840             nan             nan             nan
     2797.10810      2797.10414         -9.3134          1.2015         19.0479         99.9000          2.5004             nan             nan             nan
     2797.11504      2797.11108         -8.3353          1.2035         19.0460         99.9000          0.9924             nan             nan             nan
     2797.12198      2797.11802         -7.5783          1.1986         19.0505         99.9000          2.1812             nan             nan             nan
     2797.12893      2797.12497         -5.8557          1.2105         19.0398         99.9000          0.2942             nan             nan             nan
     2797.13587      2797.13191        -10.7224          1.2067         19.0432         99.9000         -1.6422             nan             nan             nan
     2797.14282      2797.13886         -9.0335          1.2036         19.0460         99.9000         -0.0310             nan             nan             nan
     2797.14976      2797.14580         -7.5247          1.1986         19.0505         99.9000          1.3898             nan             nan             nan
     2797.15671      2797.15275         -6.2457          1.2004         19.0489         99.9000         -2.7053             nan             nan             nan
     2797.16365      2797.15969         -6.7727          1.2011         19.0483         99.9000          0.6964             nan             nan             nan
     2797.17060      2797.16664         -7.7240          1.2017         19.0477         99.9000         -1.2819             nan             nan             nan
     2797.17754      2797.17358         -2.6692          1.1989         19.0503         99.9000          0.6358             nan             nan             nan
     2797.18448      2797.18052         -8.7849          1.2059         19.0439         99.9000          0.9101             nan             nan             nan
     2797.19143      2797.18747         -2.8587          1.2069         19.0430         99.9000         -1.7967             nan             nan             nan
     2797.19837      2797.19441         -8.2644          1.1888         19.0594         99.9000          0.3135             nan             nan             nan
     2797.20532      2797.20136         -1.7761          1.2058         19.0440         99.9000         -0.2331             nan             nan             nan
     2797.21226      2797.20830         -5.8708          1.2024         19.0471         99.9000          2.6611             nan             nan             nan
     2797.21921      2797.21525         -4.7895          1.2057         19.0441         99.9000         -0.3426             nan             nan             nan
     2797.22615      2797.22219         -3.7250          1.2024         19.0471         99.9000         -1.7446             nan             nan             nan
     2797.23310      2797.22914        -11.1146          1.2017         19.0477         99.9000          1.2668             nan             nan             nan
     2797.24004      2797.23608         -4.9243          1.2073         19.0427         99.9000         -1.8290             nan             nan             nan
     2797.24698      2797.24302         -9.7639          1.2123         19.0382         99.9000          0.4243             nan             nan             nan
     2797.25393      2797.24997         -7.1087          1.2138         19.0368         99.9000          0.1816             nan             nan             nan
     2797.26087      2797.25691         -6.9350          1.2033         19.0462         99.9000          0.5582             nan             nan             nan
     2797.26782      2797.26386        -10.1010          1.2067         19.0432         99.9000         -2.7214             nan             nan             nan
     2797.27476      2797.27080         -6.2735          1.1998         19.0495         99.9000          0.8749             nan             nan             nan
     2797.28171      2797.27775         -6.2880          1.2062         19.0436         99.9000         -0.1089             nan             nan             nan
