# reference_flux:        107.0546
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2797.10021      2797.09719        105.1597          1.0643         15.3854          0.0110         -0.6337             nan             nan             nan
     2797.10715      2797.10414        102.7018          1.0770         15.4111          0.0114          0.8167             nan             nan             nan
     2797.11410      2797.11108        107.1756          1.0813         15.3648          0.0110         -0.0697             nan             nan             nan
     2797.12104      2797.11802        107.2076          1.0858         15.3644          0.0110         -0.5259             nan             nan             nan
     2797.12798      2797.12497        104.0463          1.0952         15.3969          0.0114          0.3366             nan             nan             nan
     2797.13493      2797.13191        102.7019          1.1063         15.4111          0.0117          2.6890             nan             nan             nan
     2797.14187      2797.13886        102.7660          1.0994         15.4104          0.0116         -1.5281             nan             nan             nan
     2797.14882      2797.14580        107.1177          1.1158         15.3653          0.0113          0.4380             nan             nan             nan
     2797.15576      2797.15275        102.4525          1.1081         15.4137          0.0117          0.0802             nan             nan             nan
     2797.16271      2797.15969        106.6001          1.1115         15.3706          0.0113          0.9638             nan             nan             nan
     2797.16965      2797.16664        104.7232          1.1195         15.3899          0.0116         -0.3602             nan             nan             nan
     2797.17660      2797.17358        107.4484          1.1414         15.3620          0.0115          1.1849             nan             nan             nan
     2797.18354      2797.18052        107.0229          1.1088         15.3663          0.0112         -0.8209             nan             nan             nan
     2797.19048      2797.18747        109.2805          1.0468         15.3436          0.0104          0.5577             nan             nan             nan
     2797.19743      2797.19441        106.7754          1.0022         15.3688          0.0102         -0.7669             nan             nan             nan
     2797.20437      2797.20136        102.1649          1.0390         15.4167          0.0110          1.3759             nan             nan             nan
     2797.21132      2797.20830        102.6705          1.0380         15.4114          0.0110          0.2270             nan             nan             nan
     2797.21826      2797.21525        108.9158          1.1470         15.3473          0.0114          1.7086             nan             nan             nan
     2797.22521      2797.22219        105.4062          1.1257         15.3828          0.0116          0.1381             nan             nan             nan
     2797.23215      2797.22914        103.5655          1.1097         15.4020          0.0116          0.2696             nan             nan             nan
     2797.23910      2797.23608        106.2285          1.1322         15.3744          0.0116          1.9291             nan             nan             nan
     2797.24604      2797.24302        106.3702          1.0943         15.3730          0.0112         -1.8672             nan             nan             nan
     2797.25298      2797.24997        107.6026          1.1062         15.3604          0.0112         -0.2714             nan             nan             nan
     2797.25993      2797.25691        106.9128          1.1008         15.3674          0.0112         -0.2553             nan             nan             nan
     2797.26687      2797.26386        108.3392          1.1039         15.3530          0.0111         -0.0247             nan             nan             nan
     2797.27382      2797.27080        108.7239          1.1291         15.3492          0.0113         -2.4786             nan             nan             nan
     2797.28076      2797.27775        103.5760          1.1236         15.4019          0.0118         -1.6909             nan             nan             nan
     2797.28771      2797.28469        106.6821          1.0949         15.3698          0.0111          1.6761             nan             nan             nan
     2797.29465      2797.29164        108.4171          1.1047         15.3523          0.0111          2.4045             nan             nan             nan
     2797.30159      2797.29858        107.3852          1.1337         15.3626          0.0115          0.2818             nan             nan             nan
     2797.30854      2797.30552        103.9243          1.1289         15.3982          0.0118         -0.6428             nan             nan             nan
     2797.31548      2797.31247        105.2877          1.0770         15.3841          0.0111          0.9593             nan             nan             nan
     2797.32243      2797.31941        105.9592          1.1120         15.3772          0.0114          1.5870             nan             nan             nan
     2797.32937      2797.32636        102.4138          1.0851         15.4141          0.0115          4.0543             nan             nan             nan
     2797.33632      2797.33330        108.3994          1.0776         15.3524          0.0108         -0.2820             nan             nan             nan
     2797.34326      2797.34025        106.4116          1.1094         15.3725          0.0113          0.4809             nan             nan             nan
     2797.35021      2797.34719        104.8406          1.0954         15.3887          0.0113          1.5683             nan             nan             nan
     2797.35715      2797.35414        104.3758          1.0529         15.3935          0.0110         -0.5075             nan             nan             nan
     2797.36409      2797.36108        107.2111          1.0879         15.3644          0.0110         -1.8673             nan             nan             nan
     2797.37104      2797.36802        104.6621          1.0880         15.3905          0.0113          2.0847             nan             nan             nan
     2797.37798      2797.37497        104.9183          1.0842         15.3879          0.0112         -1.8758             nan             nan             nan
     2797.38493      2797.38191        103.7643          1.1093         15.3999          0.0116         -1.0800             nan             nan             nan
     2797.39187      2797.38886        103.5001          1.0813         15.4026          0.0113         -0.5486             nan             nan             nan
     2797.39882      2797.39580         99.9778          1.0758         15.4402          0.0117          1.0861             nan             nan             nan
     2797.40576      2797.40275        109.5153          1.0902         15.3413          0.0108         -2.7050             nan             nan             nan
     2797.41271      2797.40969        108.2320          1.0617         15.3541          0.0107          1.1320             nan             nan             nan
     2797.41965      2797.41664        106.4068          1.0898         15.3726          0.0111          0.2758             nan             nan             nan
     2797.42659      2797.42358        106.9344          1.1274         15.3672          0.0114         -1.1879             nan             nan             nan
     2797.43354      2797.43052        103.8740          1.1040         15.3987          0.0115          0.2885             nan             nan             nan
     2797.44048      2797.43747        101.2986          1.1054         15.4260          0.0118         -1.4333             nan             nan             nan
     2797.44743      2797.44441        108.7859          1.0854         15.3486          0.0108         -1.3815             nan             nan             nan
     2797.45437      2797.45136        105.1869          1.1088         15.3851          0.0114         -0.0129             nan             nan             nan
     2797.46132      2797.45830        107.4836          1.0750         15.3616          0.0109         -3.2062             nan             nan             nan
     2797.46826      2797.46525        100.8584          1.0720         15.4307          0.0115         -0.9857             nan             nan             nan
     2797.47521      2797.47219        106.1111          1.1402         15.3756          0.0117          0.6031             nan             nan             nan
     2797.48215      2797.47914        105.5270          1.0606         15.3816          0.0109         -0.3206             nan             nan             nan
     2797.48909      2797.48608        111.1649          1.1425         15.3251          0.0112         -0.8316             nan             nan             nan
     2797.49604      2797.49302        107.1884          1.1200         15.3646          0.0113         -2.0339             nan             nan             nan
     2797.50298      2797.49997        105.6892          1.1053         15.3799          0.0114         -0.4178             nan             nan             nan
     2797.50993      2797.50691        106.5036          1.0954         15.3716          0.0112         -0.4473             nan             nan             nan
     2797.51687      2797.51386        108.1853          1.0451         15.3546          0.0105          1.0092             nan             nan             nan
     2797.52382      2797.52080        107.1216          1.1098         15.3653          0.0112          0.7870             nan             nan             nan
     2797.53076      2797.52775        106.0283          1.0502         15.3764          0.0108         -0.5905             nan             nan             nan
     2797.53770      2797.53469        103.0161          1.1484         15.4077          0.0121          2.3345             nan             nan             nan
     2797.54465      2797.54164        106.7955          1.0564         15.3686          0.0107          0.7918             nan             nan             nan
     2797.55159      2797.54858        104.9548          1.0848         15.3875          0.0112         -0.9563             nan             nan             nan
     2797.55854      2797.55552        108.3734          1.0705         15.3527          0.0107         -0.6929             nan             nan             nan
     2797.56548      2797.56247        107.3558          1.0826         15.3629          0.0109          0.9434             nan             nan             nan
     2797.57243      2797.56941        107.3999          1.0386         15.3625          0.0105         -0.4723             nan             nan             nan
     2797.57937      2797.57636        104.5318          1.0985         15.3919          0.0114          1.5399             nan             nan             nan
     2797.58632      2797.58330        103.7629          1.0124         15.3999          0.0106         -0.8073             nan             nan             nan
     2797.59326      2797.59025        102.1332          1.1215         15.4171          0.0119          1.2680             nan             nan             nan
     2797.60020      2797.59719        107.7353          1.1056         15.3591          0.0111         -0.0171             nan             nan             nan
     2797.60715      2797.60414        109.0314          1.0389         15.3461          0.0103         -0.5029             nan             nan             nan
     2797.61409      2797.61108        105.3075          1.0481         15.3839          0.0108          1.4330             nan             nan             nan
     2797.62104      2797.61802        106.5387          1.0240         15.3712          0.0104         -1.0390             nan             nan             nan
     2797.62798      2797.62497        106.1951          1.0556         15.3747          0.0108          0.7464             nan             nan             nan
     2797.63493      2797.63191        111.6421          1.0521         15.3204          0.0102         -0.3056             nan             nan             nan
     2797.64187      2797.63886        104.2978          1.0556         15.3943          0.0110          0.3147             nan             nan             nan
     2797.64882      2797.64580        105.4198          1.0172         15.3827          0.0105          1.0625             nan             nan             nan
     2797.65576      2797.65275        102.0619          1.0788         15.4178          0.0115          1.2443             nan             nan             nan
     2797.66270      2797.65969        109.3312          1.1011         15.3431          0.0109          1.2956             nan             nan             nan
     2797.66965      2797.66664        100.4112          1.0846         15.4355          0.0117          0.4174             nan             nan             nan
     2797.67659      2797.67358        107.6063          1.1109         15.3604          0.0112          0.9522             nan             nan             nan
     2797.68354      2797.68052        104.0726          1.0894         15.3967          0.0114         -2.0746             nan             nan             nan
     2797.69048      2797.68747        108.4033          1.0873         15.3524          0.0109          0.3877             nan             nan             nan
     2797.69743      2797.69441        104.7519          1.1332         15.3896          0.0117          0.0774             nan             nan             nan
     2797.70437      2797.70136        106.3499          1.1117         15.3732          0.0113         -0.3303             nan             nan             nan
     2797.71132      2797.70830        102.2914          1.1041         15.4154          0.0117          2.0326             nan             nan             nan
     2797.71826      2797.71525        104.2207          1.0595         15.3951          0.0110         -1.5869             nan             nan             nan
     2797.72520      2797.72219        104.6214          1.1037         15.3909          0.0115          0.6780             nan             nan             nan
     2797.73215      2797.72914        109.0097          1.0874         15.3463          0.0108          0.4027             nan             nan             nan
     2797.73909      2797.73608        100.7911          1.1032         15.4314          0.0119          0.9579             nan             nan             nan
     2797.74604      2797.74302        105.4636          1.0699         15.3822          0.0110          0.8546             nan             nan             nan
     2797.75298      2797.74997        105.7532          1.0947         15.3793          0.0112         -0.0878             nan             nan             nan
     2797.75993      2797.75691        106.3815          1.0496         15.3728          0.0107          1.1599             nan             nan             nan
     2797.76687      2797.76386        107.3462          1.0888         15.3630          0.0110          0.8946             nan             nan             nan
     2797.77381      2797.77080        105.2466          1.1248         15.3845          0.0116          0.2665             nan             nan             nan
     2797.78076      2797.77775        104.6807          1.0687         15.3903          0.0111          0.1875             nan             nan             nan
     2797.78770      2797.78469        106.0790          1.0673         15.3759          0.0109         -1.3724             nan             nan             nan
     2797.79465      2797.79164        106.4267          1.1367         15.3724          0.0116          0.3804             nan             nan             nan
     2797.80159      2797.79858        102.9608          1.1100         15.4083          0.0117          0.2705             nan             nan             nan
     2797.80854      2797.80552        106.3569          1.1008         15.3731          0.0112          1.7914             nan             nan             nan
     2797.81548      2797.81247        103.8158          1.1006         15.3993          0.0115          2.0346             nan             nan             nan
     2797.82243      2797.81941        100.7875          1.1067         15.4315          0.0119          0.1268             nan             nan             nan
     2797.82937      2797.82636        109.2605          1.1203         15.3438          0.0111         -1.7860             nan             nan             nan
     2797.83631      2797.83330        111.7615          1.1141         15.3193          0.0108         -0.5491             nan             nan             nan
     2797.84326      2797.84025        109.3984          1.0574         15.3425          0.0105         -0.7145             nan             nan             nan
     2797.85020      2797.84719        103.9484          1.1456         15.3980          0.0120          1.4930             nan             nan             nan
     2797.85715      2797.85414        103.9219          1.0838         15.3982          0.0113         -1.3955             nan             nan             nan
     2797.86409      2797.86108        105.1938          1.1203         15.3850          0.0116         -0.5865             nan             nan             nan
     2797.87104      2797.86802        103.4828          1.1350         15.4028          0.0119         -1.2045             nan             nan             nan
     2797.87798      2797.87497        102.3828          1.1357         15.4144          0.0120          2.7290             nan             nan             nan
     2797.88493      2797.88191        101.7752          1.0902         15.4209          0.0116          1.9641             nan             nan             nan
     2797.89187      2797.88886        104.9130          1.1250         15.3879          0.0116          1.7649             nan             nan             nan
     2797.89881      2797.89580        107.4180          1.1433         15.3623          0.0116          2.0112             nan             nan             nan
     2797.90576      2797.90275        105.7458          1.0733         15.3793          0.0110          0.2750             nan             nan             nan
     2797.91270      2797.90969        109.7148          1.0683         15.3393          0.0106         -0.7833             nan             nan             nan
     2797.91965      2797.91664        105.6420          1.1025         15.3804          0.0113         -0.1655             nan             nan             nan
     2797.92659      2797.92358        107.3561          1.1046         15.3629          0.0112          0.9545             nan             nan             nan
     2797.93354      2797.93052        107.9260          1.1101         15.3572          0.0112         -0.6252             nan             nan             nan
     2797.94048      2797.93747        104.2379          1.1069         15.3949          0.0115          1.8267             nan             nan             nan
     2797.94743      2797.94441        105.5365          1.0496         15.3815          0.0108          1.6300             nan             nan             nan
     2797.95437      2797.95136        107.1619          1.1302         15.3649          0.0115          1.5753             nan             nan             nan
     2797.96131      2797.95830        102.5231          1.0451         15.4129          0.0111          0.4587             nan             nan             nan
     2797.96826      2797.96525        103.8911          1.1247         15.3986          0.0118          1.4524             nan             nan             nan
     2797.97520      2797.97219        104.8745          1.1181         15.3883          0.0116          2.6003             nan             nan             nan
     2797.98215      2797.97914        102.6837          1.1245         15.4112          0.0119          5.5427             nan             nan             nan
     2797.98909      2797.98608        103.3906          1.1026         15.4038          0.0116          0.1408             nan             nan             nan
     2797.99604      2797.99302        105.4433          1.1144         15.3825          0.0115          2.7979             nan             nan             nan
     2798.00298      2797.99997        111.8057          1.1253         15.3188          0.0109         -0.5904             nan             nan             nan
     2798.00993      2798.00691        103.1215          1.1212         15.4066          0.0118         -0.8662             nan             nan             nan
     2798.01687      2798.01386        108.0356          1.1097         15.3561          0.0112          1.5027             nan             nan             nan
     2798.02381      2798.02080        105.1226          1.1075         15.3858          0.0114          2.5074             nan             nan             nan
     2798.03076      2798.02775        104.0735          1.1155         15.3966          0.0116          1.6917             nan             nan             nan
     2798.03770      2798.03469        109.6187          1.1169         15.3403          0.0111         -0.7822             nan             nan             nan
     2798.04465      2798.04164        108.5034          1.1334         15.3514          0.0113          1.2496             nan             nan             nan
     2798.05159      2798.04858        103.3567          1.0780         15.4042          0.0113          1.0751             nan             nan             nan
     2798.05854      2798.05552        103.9601          1.0460         15.3978          0.0109          1.4762             nan             nan             nan
     2798.06548      2798.06247        105.8926          1.1076         15.3778          0.0114         -0.2352             nan             nan             nan
     2798.07242      2798.06941        105.7164          1.0651         15.3796          0.0109          0.8341             nan             nan             nan
     2798.07937      2798.07636        108.7902          1.0709         15.3485          0.0107          0.2218             nan             nan             nan
     2798.08631      2798.08330        107.6117          1.0742         15.3604          0.0108         -2.8909             nan             nan             nan
     2798.09326      2798.09025        107.1244          1.0741         15.3653          0.0109          0.4619             nan             nan             nan
     2798.10020      2798.09719        102.9083          1.1249         15.4089          0.0119          0.2557             nan             nan             nan
     2798.10715      2798.10414        106.2899          1.1279         15.3738          0.0115         -0.8722             nan             nan             nan
     2798.11409      2798.11108        104.3075          1.1018         15.3942          0.0115          3.3258             nan             nan             nan
     2798.12104      2798.11802        101.1362          1.1274         15.4277          0.0121          1.6592             nan             nan             nan
     2798.12798      2798.12497        106.2616          1.0717         15.3741          0.0110          2.2847             nan             nan             nan
     2798.13492      2798.13191        106.0029          1.1064         15.3767          0.0113          2.0416             nan             nan             nan
     2798.14187      2798.13886        107.5928          1.1201         15.3605          0.0113          3.1790             nan             nan             nan
     2798.14881      2798.14580        108.9296          1.1174         15.3471          0.0111          0.5152             nan             nan             nan
     2798.15576      2798.15275        105.8592          1.0816         15.3782          0.0111          2.1535             nan             nan             nan
     2798.16270      2798.15969        108.7151          1.1165         15.3493          0.0112          1.2845             nan             nan             nan
