# reference_flux:        825.0453
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2825.25820      2825.25226        824.5114          3.3508         13.1495          0.0044          2.5756         -0.3691       -0.911616        3.350830
     2825.26052      2825.25457        812.8355          3.3441         13.1650          0.0045          1.3591         -0.3691       -0.755924        3.344113
     2825.26283      2825.25689        823.8620          3.3628         13.1504          0.0044          3.6280         -0.3691       -1.499435        3.362810
     2825.26515      2825.25920        813.2861          3.3506         13.1644          0.0045          1.3679         -0.3691       -6.559301        3.350620
     2825.26746      2825.26152        827.7434          3.3267         13.1453          0.0044          2.0270         -0.4364        0.854791        3.326669
     2825.26978      2825.26383        828.8912          3.3439         13.1438          0.0044          5.6766         -0.3691        6.095799        3.343854
     2825.27209      2825.26615        823.5216          3.3289         13.1508          0.0044          1.5741         -0.3691       -0.197828        3.328862
     2825.27441      2825.26846        823.3400          3.3356         13.1511          0.0044          3.0307         -0.3691       -0.472534        3.335636
     2825.27672      2825.27078        823.1192          3.3557         13.1513          0.0044          0.4733         -0.4364        0.637152        3.355700
     2825.27904      2825.27309        833.3801          3.3622         13.1379          0.0044          4.1345         -0.3691       -1.149640        3.362240
     2825.28135      2825.27541        822.6503          3.3596         13.1520          0.0044          2.9618         -0.4364        1.231244        3.359613
     2825.28367      2825.27772        830.8219          3.3335         13.1412          0.0044         -2.0376         -0.4364       -0.158107        3.333521
     2825.28598      2825.28004        819.1196          3.3363         13.1566          0.0044         -0.1497         -0.4364        0.545556        3.336307
     2825.28830      2825.28235        834.2140          3.3246         13.1368          0.0043          2.5335         -0.4364        6.446975        3.324554
     2825.29061      2825.28467        832.6234          3.3623         13.1389          0.0044         -0.3348         -0.4364        0.473299        3.362254
     2825.29293      2825.28698        824.4235          3.3389         13.1496          0.0044          1.2827         -0.4364        0.150650        3.338859
     2825.29524      2825.28930        831.2524          3.3204         13.1407          0.0043         -3.3552         -0.4364        0.790261        3.320397
     2825.29756      2825.29161        826.6073          3.3413         13.1468          0.0044          2.8663         -0.4364        0.547738        3.341258
     2825.29987      2825.29392        819.1413          3.3306         13.1566          0.0044          2.8861         -0.3691       -1.158758        3.330557
     2825.30219      2825.29624        818.8923          3.3122         13.1569          0.0044          1.4692         -0.3691       -0.636755        3.312178
     2825.30450      2825.29855        813.1582          3.3989         13.1646          0.0045          2.8919         -0.3691       -7.046371        3.398890
     2825.30682      2825.30087        823.1264          3.3447         13.1513          0.0044          3.7093         -0.3691        1.615207        3.344722
     2825.30913      2825.30319        831.4210          3.3348         13.1404          0.0044          4.0091         -0.3691        0.998359        3.334772
     2825.31145      2825.30550        829.0704          3.3425         13.1435          0.0044          3.2221         -0.4364        4.042162        3.342520
     2825.31376      2825.30781        831.5526          3.3602         13.1403          0.0044          1.9729         -0.4364        3.143993        3.360206
     2825.31607      2825.31013        825.6419          3.3226         13.1480          0.0044         -0.4014         -0.3691       -2.031715        3.322595
     2825.31839      2825.31244        832.4089          3.3171         13.1392          0.0043         -0.6758         -0.1978        3.157459        3.317141
     2825.32071      2825.31476        814.9498          3.3080         13.1622          0.0044         -1.2650         -0.1978       -4.275342        3.307994
     2825.32302      2825.31707        817.6681          3.3301         13.1586          0.0044          1.5989         -0.1978       -3.032485        3.330143
     2825.32533      2825.31939        813.2995          3.3286         13.1644          0.0044          1.3496         -0.1978       -3.571849        3.328622
     2825.32765      2825.32170        826.8391          3.3361         13.1464          0.0044         -0.4191         -0.1978        0.351605        3.336092
     2825.32996      2825.32402        829.4481          3.3515         13.1430          0.0044          2.6786         -0.3691        0.796374        3.351496
     2825.33228      2825.32633        819.9847          3.3159         13.1555          0.0044          3.9297         -0.4274       -1.935246        3.315945
     2825.33459      2825.32865        822.4637          3.3184         13.1522          0.0044         -4.8887         -0.4364       -2.825524        3.318416
     2825.33691      2825.33096        829.8976          3.3359         13.1424          0.0044          0.9989         -0.4274       -0.793194        3.335888
     2825.33922      2825.33328        822.8067          3.3338         13.1518          0.0044         -3.6371         -0.3691        0.485237        3.333787
     2825.34154      2825.33559        823.7860          3.3259         13.1505          0.0044          0.0647         -0.3691       -2.291239        3.325944
     2825.34385      2825.33791        822.3875          3.3319         13.1523          0.0044          2.4140         -0.4274       -2.526554        3.331937
     2825.34617      2825.34022        830.2957          3.3256         13.1419          0.0043         -0.4887         -0.4274        1.666670        3.325626
     2825.34848      2825.34254        830.7136          3.4065         13.1414          0.0045          1.5867         -0.4274        0.500437        3.406520
     2825.35080      2825.34485        828.7541          3.3225         13.1439          0.0044         -0.6513         -0.4274       -0.436375        3.322467
     2825.35311      2825.34717        824.3004          3.3373         13.1498          0.0044         -2.7818         -0.4274        1.863152        3.337266
     2825.35543      2825.34948        825.9111          3.3187         13.1477          0.0044         -1.5266         -0.4274       -0.369111        3.318702
     2825.35774      2825.35180        824.1423          3.3285         13.1500          0.0044         -1.2511         -0.4274       -2.686706        3.328496
     2825.36006      2825.35411        834.1865          3.3618         13.1368          0.0044         -4.2013         -0.4274        5.241092        3.361768
     2825.36237      2825.35642        829.1824          3.3281         13.1434          0.0044          0.0130         -0.4274       -2.985232        3.328069
     2825.36469      2825.35874        832.2216          3.3222         13.1394          0.0043         -1.6397         -0.4364        1.380785        3.322177
     2825.36700      2825.36105        825.4973          3.3473         13.1482          0.0044         -0.7509         -0.4274       -0.692657        3.347342
     2825.36932      2825.36337        817.6274          3.3239         13.1586          0.0044         -3.7076         -0.4364       -2.072153        3.323871
     2825.37163      2825.36569        817.1571          3.3274         13.1592          0.0044          1.1742         -0.4404       -3.410479        3.327350
     2825.37395      2825.36800        829.1234          3.3204         13.1435          0.0043          1.5246         -0.4725        2.253319        3.320395
     2825.37626      2825.37031        812.5980          3.3267         13.1653          0.0044         -0.0486         -0.4404       -2.652071        3.326694
     2825.37858      2825.37263        827.1537          3.3167         13.1460          0.0044         -1.0767         -0.4364        2.474463        3.316748
     2825.38089      2825.37494        827.7974          3.3192         13.1452          0.0044          1.9113         -0.4364       -1.830997        3.319218
     2825.38321      2825.37726        811.0184          3.3226         13.1674          0.0044          3.7146         -0.4274       -0.490073        3.322597
     2825.38552      2825.37957        823.2817          3.3100         13.1511          0.0044          5.1145         -0.3691       -2.108775        3.310018
     2825.38784      2825.38189        824.0592          3.3311         13.1501          0.0044          1.1395         -0.3691       -0.967747        3.331059
     2825.39015      2825.38420        823.0163          3.3392         13.1515          0.0044          0.0607         -0.3691       -1.228693        3.339244
     2825.39247      2825.38652        825.2246          3.3115         13.1486          0.0044          0.9320         -0.1978        0.283119        3.311465
     2825.39478      2825.38883        819.7430          3.3414         13.1558          0.0044          1.5611         -0.1978       -4.557069        3.341393
     2825.39710      2825.39115        817.7368          3.3055         13.1585          0.0044          3.6621         -0.1978       -2.448631        3.305542
