# reference_flux:        179.1832
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2825.25853      2825.25226        179.2298          2.4679         14.8065          0.0149          0.0167         -0.7405       -2.048312        2.467890
     2825.26085      2825.25457        179.1923          2.4569         14.8067          0.0149          1.3496         -0.7405        0.279648        2.456910
     2825.26316      2825.25689        177.0320          2.4625         14.8199          0.0151          2.5222         -0.7405       -3.824532        2.462496
     2825.26548      2825.25920        177.5360          2.4623         14.8168          0.0151          2.2083         -0.9041       -1.474806        2.462301
     2825.26779      2825.26152        180.6236          2.4646         14.7981          0.0148         -1.0468         -0.9041       -1.325350        2.464636
     2825.27011      2825.26383        183.1763          2.4624         14.7828          0.0146         -3.0754         -0.9041       -1.251362        2.462376
     2825.27242      2825.26615        184.4247          2.4666         14.7755          0.0145          3.7945         -0.9041        0.302042        2.466588
     2825.27474      2825.26846        177.7233          2.4653         14.8156          0.0151         -2.1544         -0.9041       -2.278003        2.465264
     2825.27705      2825.27078        178.8767          2.4592         14.8086          0.0149         -2.4324         -0.9041       -3.578528        2.459158
     2825.27937      2825.27309        174.4165          2.4670         14.8360          0.0154          2.4926         -0.9041        0.497556        2.466972
     2825.28168      2825.27541        182.8871          2.4664         14.7845          0.0146         -0.7241         -0.9041        2.894798        2.466444
     2825.28400      2825.27772        176.9583          2.4716         14.8203          0.0152          0.3132         -0.9041        1.275258        2.471628
     2825.28631      2825.28004        176.1187          2.4642         14.8255          0.0152          1.4837         -0.9041       -0.669609        2.464191
     2825.28863      2825.28235        176.6230          2.4682         14.8224          0.0152          0.3813         -1.1317       -0.324541        2.468210
     2825.29094      2825.28467        178.0384          2.4651         14.8137          0.0150          2.9771         -1.1409        1.046223        2.465054
     2825.29326      2825.28698        184.1117          2.4681         14.7773          0.0146          1.5793         -1.1317       -0.740513        2.468080
     2825.29557      2825.28930        173.2024          2.4652         14.8436          0.0155          0.2585         -0.9041       -4.404473        2.465186
     2825.29789      2825.29161        178.7587          2.4678         14.8093          0.0150          0.2361         -0.9041        2.941920        2.467804
     2825.30020      2825.29392        175.7842          2.4622         14.8276          0.0152         -1.4951         -0.9041        0.476281        2.462170
     2825.30251      2825.29624        173.1405          2.4653         14.8440          0.0155          3.5457         -0.7405        0.252123        2.465345
     2825.30483      2825.29855        175.8193          2.4646         14.8273          0.0152         -0.0127         -0.9041        1.079331        2.464578
     2825.30714      2825.30087        172.6181          2.4611         14.8473          0.0155         -0.3039         -0.9041       -1.729185        2.461051
     2825.30946      2825.30319        178.3949          2.4603         14.8115          0.0150         -0.4484         -1.1317       -3.078556        2.460297
     2825.31177      2825.30550        170.7761          2.4617         14.8589          0.0157          2.2917         -1.1317       -6.281088        2.461741
     2825.31409      2825.30781        175.9478          2.4641         14.8265          0.0152         -1.0623         -0.9041       -0.535242        2.464089
     2825.31640      2825.31013        170.7124          2.4553         14.8593          0.0156          0.5934         -0.9041       -1.140854        2.455268
     2825.31872      2825.31244        186.6047          2.4650         14.7627          0.0143         -1.2398         -0.9041        4.218003        2.464967
     2825.32103      2825.31476        175.7011          2.4637         14.8281          0.0152          2.3074         -0.9041       -0.456752        2.463703
     2825.32335      2825.31707        174.3146          2.4647         14.8367          0.0154          1.6773         -0.9041       -3.605402        2.464687
     2825.32566      2825.31939        176.8460          2.4662         14.8210          0.0151         -0.5524         -0.9041       -3.163994        2.466227
     2825.32798      2825.32170        179.4125          2.4614         14.8054          0.0149         -0.1158         -1.1317       -2.101867        2.461360
     2825.33029      2825.32402        182.0526          2.4665         14.7895          0.0147         -1.6518         -0.9041       -2.810903        2.466542
     2825.33261      2825.32633        184.9954          2.4583         14.7721          0.0144         -4.5417         -0.9041        3.752419        2.458312
