# reference_flux:       -223.2953
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2825.25862      2825.25226          2.8529          2.5833         18.2167         99.9000          2.9788          0.4889        1.202263        2.583332
     2825.26094      2825.25457          8.6909          2.5614         18.0923          0.3200         -3.1455          0.4889        1.412188        2.561406
     2825.26325      2825.25689          2.4378          2.5598         18.2267         99.9000         -0.2433          0.4889        0.965860        2.559830
     2825.26557      2825.25920         -3.5652          2.5821         18.2173         99.9000          3.8676          0.4889       -1.075417        2.582091
     2825.26788      2825.26152         -5.5930          2.5758         18.2199         99.9000          1.8273          0.4586       -1.325991        2.575833
     2825.27020      2825.26383         -5.5107          2.5832         18.2168         99.9000          1.1997          0.4586        2.003855        2.583239
     2825.27251      2825.26615          4.6072          2.5383         18.2358         99.9000          0.9276          0.4586        1.847985        2.538300
     2825.27483      2825.26846         -3.4582          2.5392         18.2355         99.9000          1.8560          0.4586       -0.763032        2.539209
     2825.27714      2825.27078          1.4421          2.5870         18.2152         99.9000          3.8139          0.4586        3.425228        2.587013
     2825.27946      2825.27309         -7.7219          2.5715         18.2218         99.9000          4.3846          0.4586        2.205172        2.571453
     2825.28177      2825.27541          2.7354          2.5910         18.2135         99.9000          0.7828          0.4586        3.373128        2.590970
     2825.28409      2825.27772         -0.3546          2.5843         18.2163         99.9000         -1.4688          0.4586        1.576468        2.584330
     2825.28640      2825.28004          3.8094          2.5402         18.2350         99.9000         -0.5529          0.4586        2.140819        2.540182
     2825.28871      2825.28235         -7.7511          2.5339         18.2377         99.9000          2.0913          0.3955       -3.127137        2.533889
     2825.29103      2825.28467         -4.5238          2.5823         18.2172         99.9000         -1.3618          0.4586       -3.641414        2.582328
     2825.29334      2825.28698          0.2219          2.5822         18.2172         99.9000         -3.5077          0.4586        0.033297        2.582248
     2825.29566      2825.28930          1.4945          2.5758         18.2199         99.9000         -1.7036          0.4586       -0.749948        2.575787
     2825.29797      2825.29161          2.1407          2.6002         18.2097         99.9000         -1.0971          0.4586       -0.577948        2.600184
     2825.30029      2825.29392         -6.3005          2.5609         18.2262         99.9000         -2.1483          0.4586       -0.601333        2.560881
     2825.30260      2825.29624          3.4703          2.5615         18.2260         99.9000          2.2276          0.4586        2.699581        2.561480
     2825.30492      2825.29855          0.0673          2.5961         18.2114         99.9000         -1.0492          0.3955        0.458641        2.596129
     2825.30723      2825.30087          0.6401          2.6028         18.2086         99.9000          0.6340          0.0678        0.515448        2.602775
     2825.30955      2825.30319         -6.6025          2.6079         18.2064         99.9000         -1.8967          0.3955       -1.280404        2.607949
     2825.31186      2825.30550          1.6333          2.5581         18.2274         99.9000         -0.3845          0.3955        1.665131        2.558086
     2825.31418      2825.30781          5.3525          2.5479         18.2317         99.9000         -5.5778          0.0678        1.357088        2.547943
     2825.31649      2825.31013         -3.4876          2.5607         18.2263         99.9000          0.6060          0.0678       -0.154047        2.560691
     2825.31881      2825.31244         -3.0870          2.6148         18.2036         99.9000         -0.7143          0.2356       -1.140700        2.614756
     2825.32112      2825.31476         -5.8890          2.6042         18.2080         99.9000          1.0991          0.2356       -1.531130        2.604176
     2825.32344      2825.31707         -6.1913          2.5637         18.2250         99.9000          1.9451          0.2356       -1.396446        2.563723
     2825.32575      2825.31939          0.2864          2.5640         18.2249         99.9000          0.3856          0.2356       -0.242239        2.564037
