# reference_flux:       4108.2836
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2825.25709      2825.25228       4114.6223          5.9414         11.4042          0.0016          3.3529         -0.2278        3.830997        5.941403
     2825.25940      2825.25459       4109.1057          5.9359         11.4056          0.0016          0.1127         -0.2278        0.367563        5.935883
     2825.26172      2825.25691       4113.2738          5.9286         11.4045          0.0016          1.6351         -0.2278        1.206558        5.928551
     2825.26403      2825.25922       4119.2789          5.9528         11.4029          0.0016         -2.0192          0.0536        8.669414        5.952793
     2825.26635      2825.26154       4109.2860          5.9529         11.4056          0.0016          0.4818          0.0536        5.085212        5.952896
     2825.26866      2825.26385       4109.7597          5.9464         11.4055          0.0016         -2.8708          0.0536        2.422490        5.946415
     2825.27098      2825.26617       4125.0951          5.9089         11.4014          0.0016         -0.8685          0.0536        4.366415        5.908902
     2825.27329      2825.26848       4119.8433          5.9365         11.4028          0.0016         -0.8638          0.0536        1.388830        5.936540
     2825.27561      2825.27079       4118.3008          5.9395         11.4032          0.0016          2.5959          0.0536       -0.905797        5.939543
     2825.27792      2825.27311       4112.6666          5.9540         11.4047          0.0016          8.6452          0.1171        4.846402        5.954023
     2825.28024      2825.27542       4111.7221          5.9381         11.4049          0.0016          2.5989          0.0536       -0.341842        5.938129
     2825.28255      2825.27774       4110.1222          5.9381         11.4054          0.0016         -8.3568          0.1171       -4.540190        5.938098
     2825.28487      2825.28005       4109.2273          5.9297         11.4056          0.0016          0.5648          0.0536        4.029549        5.929699
     2825.28718      2825.28237       4118.7496          5.9781         11.4031          0.0016         -7.6387          0.1171        5.570616        5.978121
     2825.28950      2825.28468       4099.5517          5.9362         11.4082          0.0016         -3.7609          0.2923      -11.942548        5.936167
     2825.29181      2825.28700       4096.3260          5.9508         11.4090          0.0016          4.5698          0.2923       -5.683262        5.950761
     2825.29413      2825.28931       4120.5708          5.9256         11.4026          0.0016          1.2351          0.2923        6.808865        5.925588
     2825.29644      2825.29163       4105.3589          5.9258         11.4066          0.0016         -0.6884          0.3676       -6.561381        5.925807
     2825.29876      2825.29394       4119.1052          5.9453         11.4030          0.0016          4.0770          0.3676       -0.832777        5.945268
     2825.30107      2825.29626       4107.7961          5.8804         11.4060          0.0016          4.0830          0.3676       -0.393515        5.880416
     2825.30339      2825.29857       4108.7319          5.8596         11.4057          0.0015          5.4387          0.3676       -5.945517        5.859552
     2825.30570      2825.30089       4101.9558          5.9064         11.4075          0.0016         -2.3626          0.4067       -2.945383        5.906429
     2825.30802      2825.30320       4127.6759          5.9065         11.4007          0.0016          6.0711          0.4067        1.305814        5.906539
     2825.31033      2825.30552       4112.9945          5.9057         11.4046          0.0016          0.3283          0.4105       -0.950774        5.905739
