# reference_flux:        111.3084
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2825.25816      2825.25228        115.9120          2.1592         15.2797          0.0202         -1.7240          0.2761        2.706985        2.159212
     2825.26048      2825.25459        107.5765          2.1910         15.3607          0.0221         -1.3719          0.2761       -2.205840        2.191047
     2825.26279      2825.25691        118.0595          2.1527         15.2597          0.0198         -1.8781          0.2761        4.097297        2.152690
     2825.26511      2825.25922        112.1470          2.1690         15.3155          0.0210         -0.1410          0.2761        1.912987        2.168966
     2825.26742      2825.26154        110.4621          2.1589         15.3320          0.0212          3.1058          0.2761       -2.158838        2.158940
     2825.26974      2825.26385        108.5250          2.1849         15.3512          0.0219          1.0250          0.2761       -0.584191        2.184931
     2825.27205      2825.26617        109.3031          2.1605         15.3434          0.0215         -0.9952          0.2761        0.560369        2.160520
     2825.27437      2825.26848        115.7777          2.1745         15.2809          0.0204          2.4803          0.2761        3.423813        2.174467
     2825.27668      2825.27079        110.2449          2.1755         15.3341          0.0214         -5.8037          0.2761       -0.857838        2.175455
     2825.27900      2825.27311        102.6940          2.1805         15.4111          0.0231         -1.7861          0.2761       -2.987696        2.180522
     2825.28131      2825.27542        114.9020          2.1777         15.2892          0.0206         -0.1921          0.2761        0.034296        2.177711
     2825.28363      2825.27774        110.0236          2.1697         15.3363          0.0214          2.5316          0.2761        3.208838        2.169659
     2825.28594      2825.28005        119.3794          2.1894         15.2477          0.0199         -4.2750          0.2761        7.802585        2.189398
     2825.28826      2825.28237        114.5265          2.1816         15.2927          0.0207         -1.6081          0.2761       -1.531200        2.181628
     2825.29057      2825.28468        112.9725          2.1537         15.3076          0.0207          0.2937          0.2761        2.322737        2.153677
     2825.29289      2825.28700        113.8682          2.1730         15.2990          0.0207          1.6099          0.2761        0.538301        2.172989
     2825.29520      2825.28931        119.7754          2.1683         15.2441          0.0197          3.1061          0.2761       -0.543282        2.168327
     2825.29752      2825.29163        110.9086          2.1673         15.3276          0.0212         -2.7066          0.2761       -0.860917        2.167259
     2825.29983      2825.29394        105.1691          2.1609         15.3853          0.0223         -2.6677          0.5383       -2.738175        2.160949
