# reference_flux:         38.0977
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2825.25796      2825.25228         35.4792          2.0273         16.5651          0.0620          2.7653         -0.8386       -0.502947        2.027257
     2825.26027      2825.25459         41.3391          2.0406         16.3991          0.0536          1.3166         -0.5029        2.098005        2.040596
     2825.26259      2825.25691         40.4836          2.0391         16.4218          0.0547         -1.0301         -0.5029        1.927086        2.039115
     2825.26490      2825.25922         34.9116          2.0319         16.5826          0.0632          1.1988         -0.4841       -3.348199        2.031915
     2825.26722      2825.26154         35.2220          2.0300         16.5730          0.0626          1.4820         -0.4841       -1.008583        2.030030
     2825.26953      2825.26385         34.0396          2.0303         16.6100          0.0648          2.9191         -0.5029       -0.127194        2.030292
     2825.27185      2825.26617         34.7126          2.0330         16.5888          0.0636          1.3034         -0.5029        0.249434        2.033013
     2825.27416      2825.26848         34.8566          2.0324         16.5843          0.0633         -2.5409         -0.5029       -2.207182        2.032414
     2825.27648      2825.27079         43.9050          2.0316         16.3337          0.0502          0.8397         -0.5029        0.736551        2.031597
     2825.27879      2825.27311         36.3521          2.0231         16.5387          0.0604          0.5310         -0.4841       -1.020848        2.023099
     2825.28111      2825.27542         39.4669          2.0384         16.4494          0.0561          1.0742         -0.5029        2.394421        2.038355
     2825.28342      2825.27774         34.4310          2.0227         16.5976          0.0638          0.3725         -0.4841       -2.676293        2.022690
     2825.28574      2825.28005         38.2828          2.0324         16.4825          0.0576         -0.4205         -0.5029       -3.123942        2.032356
     2825.28805      2825.28237         39.5060          2.0250         16.4483          0.0557          0.5034         -0.5029        0.986140        2.024998
     2825.29037      2825.28468         34.6988          2.0182         16.5892          0.0632          0.9512         -0.4841       -1.468889        2.018246
     2825.29268      2825.28700         31.5415          2.0452         16.6928          0.0704          2.9306         -0.5029       -2.850235        2.045150
     2825.29499      2825.28931         30.9458          2.0256         16.7135          0.0711          3.1032         -0.4841       -5.166385        2.025578
     2825.29731      2825.29163         41.9011          2.0393         16.3844          0.0528          1.0167         -0.4841        2.625076        2.039318
     2825.29962      2825.29394         38.6040          2.0334         16.4734          0.0572         -2.7480         -0.5029        0.734075        2.033376
     2825.30194      2825.29626         36.5295          2.0311         16.5334          0.0604         -0.2251         -0.5029        0.726093        2.031076
     2825.30425      2825.29857         44.9275          2.0397         16.3087          0.0493         -1.1899         -0.5029       -0.282451        2.039739
     2825.30657      2825.30089         44.1354          2.0496         16.3280          0.0504         -2.5705         -0.5029        2.735463        2.049622
