# reference_flux:         43.1977
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2825.25364      2825.25227         44.0133          1.9046         16.3310          0.0470         -1.6985          0.1724        0.310045        1.904607
     2825.25595      2825.25459         49.1800          1.9742         16.2105          0.0436         -1.5384          0.1724        5.867069        1.974160
     2825.25827      2825.25690         42.3831          1.9834         16.3720          0.0508          3.2997          0.1724        1.450371        1.983372
     2825.26058      2825.25922         42.1209          1.9432         16.3788          0.0501          4.3668          0.1724       -3.091189        1.943176
     2825.26290      2825.26153         43.3670          1.9358         16.3471          0.0485         -2.8350          0.1250       -3.754619        1.935818
     2825.26521      2825.26384         46.8496          1.9447         16.2632          0.0451          2.5363          0.1250        6.101194        1.944693
     2825.26753      2825.26616         41.2917          1.9265         16.4003          0.0507          0.8784          0.1250       -2.652436        1.926526
     2825.26984      2825.26847         45.7178          1.9390         16.2898          0.0460         -2.0970          0.1250        1.468812        1.939050
     2825.27216      2825.27079         45.6704          1.9355         16.2909          0.0460          0.3162          0.1724        2.413567        1.935498
     2825.27447      2825.27310         43.6970          1.9297         16.3389          0.0479          1.4810          0.1250        2.615265        1.929692
     2825.27679      2825.27542         44.9030          1.9172         16.3093          0.0464          0.8694          0.1250        2.225894        1.917186
     2825.27910      2825.27773         44.2312          1.9657         16.3257          0.0483         -0.6882          0.1724        0.620129        1.965653
     2825.28141      2825.28005         43.2317          1.9701         16.3505          0.0495          1.1208          0.1724        1.438261        1.970054
     2825.28373      2825.28236         43.5822          1.9273         16.3417          0.0480         -1.3911          0.1724        0.101648        1.927350
     2825.28604      2825.28468         38.0925          1.9324         16.4879          0.0551         -0.0153          0.1724       -2.051738        1.932354
     2825.28836      2825.28699         46.8061          1.9594         16.2642          0.0454          1.7971          0.1724        0.172402        1.959352
     2825.29067      2825.28931         43.7371          1.9981         16.3379          0.0496         -0.4315          0.1724        1.179947        1.998093
     2825.29299      2825.29162         33.9961          1.9559         16.6114          0.0625          1.9587          0.1724        0.718886        1.955934
     2825.29530      2825.29394         41.8728          1.9380         16.3852          0.0502         -2.4928          0.1724        0.124984        1.937951
     2825.29762      2825.29625         41.9350          1.9138         16.3836          0.0496          0.5814          0.1724        1.362387        1.913837
     2825.29993      2825.29857         43.7128          1.9731         16.3385          0.0490         -0.4026          0.1724       -0.498293        1.973097
     2825.30225      2825.30088         35.7044          1.9221         16.5582          0.0584          0.2250          0.1724       -3.536916        1.922076
     2825.30456      2825.30320         44.7267          1.9497         16.3136          0.0473         -1.5899          0.1724       -1.885598        1.949710
     2825.30688      2825.30551         50.0909          1.9540         16.1906          0.0424         -2.8849          0.1724       -1.396048        1.953983
     2825.30919      2825.30783         40.3250          1.9252         16.4261          0.0518         -0.7068          0.2245       -0.572552        1.925247
     2825.31151      2825.31014         49.2295          1.9343         16.2094          0.0427          2.2907          0.2620       -0.512532        1.934270
     2825.31382      2825.31246         38.8874          1.9147         16.4655          0.0535          6.9934          0.2620        1.639888        1.914697
     2825.31614      2825.31477         36.4629          1.9575         16.5354          0.0583          0.4849          0.2620       -1.832124        1.957520
     2825.31845      2825.31709         40.5281          1.9367         16.4206          0.0519          0.7811          0.2245       -0.077824        1.936664
     2825.32077      2825.31940         45.8949          1.9611         16.2856          0.0464         -0.9118          0.2620       -1.239177        1.961102
     2825.32308      2825.32172         44.6466          1.9375         16.3155          0.0471         -2.1273          0.3100       -2.834456        1.937456
     2825.32540      2825.32403         52.0795          1.9434         16.1483          0.0405         -6.0541          0.3100        2.277881        1.943431
     2825.32771      2825.32634         40.1095          1.9577         16.4319          0.0530         -1.0112          0.3551        2.961436        1.957651
     2825.33003      2825.32866         45.0808          1.9552         16.3050          0.0471         -0.4733          0.3551       -1.642350        1.955200
     2825.33234      2825.33097         45.0721          1.9378         16.3052          0.0467         -0.1761          0.3551        1.358238        1.937792
     2825.33466      2825.33329         47.9201          1.9417         16.2387          0.0440         -2.4346          0.3551       -0.104713        1.941678
     2825.33697      2825.33560         44.4454          1.9698         16.3204          0.0481         -0.1201          0.3551       -0.387140        1.969751
     2825.33929      2825.33792         46.6518          1.9553         16.2678          0.0455          0.7767          0.3100        3.961023        1.955337
     2825.34160      2825.34023         45.7445          1.9532         16.2892          0.0464         -0.7400          0.3100       -0.315244        1.953169
     2825.34392      2825.34255         42.8839          1.9731         16.3593          0.0500          0.2656          0.3100        3.252578        1.973128
     2825.34623      2825.34486         43.2352          1.9035         16.3504          0.0478         -1.9526          0.3100       -0.190258        1.903487
     2825.34855      2825.34718         43.3199          1.9299         16.3483          0.0484          0.2968          0.3100       -1.326582        1.929859
     2825.35086      2825.34949         42.4220          1.9629         16.3710          0.0502          1.6014          0.3100        1.272006        1.962908
     2825.35317      2825.35181         37.8115          1.9322         16.4959          0.0555         -0.9439          0.3100       -5.169945        1.932238
     2825.35549      2825.35412         40.5800          1.9524         16.4192          0.0522         -1.1640          0.3100        1.350809        1.952415
     2825.35780      2825.35644         46.2594          1.9393         16.2770          0.0455         -0.7229          0.3100        1.945526        1.939288
     2825.36012      2825.35875         41.2010          1.9347         16.4027          0.0510         -1.4956          0.2620       -0.596064        1.934700
     2825.36243      2825.36107         43.9546          1.9429         16.3325          0.0480          0.4333          0.2620        3.074063        1.942864
     2825.36475      2825.36338         41.3894          1.9309         16.3978          0.0507         -1.2865          0.3100       -4.359234        1.930873
