# reference_flux:        -87.1235
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2825.25301      2825.25227          4.7617          2.2830         18.3509         99.9000         -0.9497         -0.1017        2.907037        2.283002
     2825.25533      2825.25459          0.1914          2.2409         18.3712         99.9000         -0.7227         -0.1017       -1.920448        2.240878
     2825.25764      2825.25690          0.6146          2.2789         18.3529         99.9000          0.8697         -0.1017        2.396483        2.278931
     2825.25996      2825.25922         -1.9040          2.2138         18.3844         99.9000         -0.4554         -0.1017       -2.560472        2.213770
     2825.26227      2825.26153          2.3444          2.2800         18.3523         99.9000         -2.9544         -0.1017       -0.862393        2.280027
     2825.26459      2825.26384         -2.3193          2.2136         18.3844         99.9000          1.5284          0.0156       -0.101657        2.213608
     2825.26690      2825.26616          4.0403          2.2338         18.3746         99.9000          1.1461         -0.1017        0.486795        2.233840
     2825.26922      2825.26847          1.9964          2.2586         18.3626         99.9000          0.5453          0.0156        2.735182        2.258619
     2825.27153      2825.27079          4.6944          2.2658         18.3591         99.9000         -2.1212          0.1956        7.267997        2.265815
     2825.27385      2825.27310          6.4469          2.2575         18.3631         99.9000          0.5560          0.1956       -1.898032        2.257459
     2825.27616      2825.27542          4.8431          2.2722         18.3561         99.9000         -1.7876          0.0156        2.987283        2.272236
     2825.27847      2825.27773          3.6264          2.2377         18.3727         99.9000          0.2709          0.1956        1.576011        2.237668
     2825.28079      2825.28005          6.2697          2.2323         18.3753         99.9000         -2.7968          0.1956        0.195630        2.232323
     2825.28310      2825.28236          2.1736          2.2210         18.3808         99.9000         -3.4270          0.4868       -2.057841        2.221008
     2825.28542      2825.28468          7.0066          2.2460         18.3262          0.3480         -0.7954          0.4868        5.039893        2.245953
     2825.28773      2825.28699         -1.2513          2.2211         18.3808         99.9000         -0.3956          0.4868        2.800678        2.221121
     2825.29005      2825.28931          8.2270          2.2100         18.1519          0.2917         -5.1835          0.6684        4.167170        2.210008
     2825.29236      2825.29162         -3.4051          2.1701         18.4060         99.9000         -0.2397          0.6684        0.668362        2.170067
     2825.29468      2825.29394         -0.1571          2.2394         18.3719         99.9000         -0.7353          0.6684       -3.526039        2.239362
     2825.29699      2825.29625         10.0165          2.2361         17.9382          0.2424         -2.1808          0.6684        2.875371        2.236078
     2825.29931      2825.29857         -4.3311          2.2411         18.3710         99.9000          0.1643          0.6684       -1.115918        2.241128
     2825.30162      2825.30088         -2.7299          2.2154         18.3836         99.9000          0.4003          0.6684       -2.133375        2.215388
     2825.30394      2825.30320         -0.3599          2.2556         18.3640         99.9000         -1.8922          0.6684        1.426645        2.255630
     2825.30625      2825.30551          9.6071          2.2538         17.9835          0.2547          1.3364          0.7544        6.134062        2.253821
     2825.30857      2825.30783          0.7998          2.3500         18.3195         99.9000         -1.4259          0.6684        1.546872        2.350045
     2825.31088      2825.31014         -6.9331          2.3406         18.3239         99.9000         -0.7602          0.7544       -0.248300        2.340607
     2825.31320      2825.31246         -1.7483          2.2420         18.3706         99.9000          0.6278          0.7544        2.010642        2.241966
     2825.31551      2825.31477         -1.8710          2.1238         18.4294         99.9000          1.8042          0.7544       -1.630172        2.123785
     2825.31783      2825.31709          5.5257          2.2445         18.3694         99.9000         -0.1569          0.6684        1.014729        2.244456
     2825.32014      2825.31940         -0.7916          2.2165         18.3830         99.9000         -6.2438          0.7544       -1.567526        2.216523
     2825.32246      2825.32172          1.7186          2.2168         18.3829         99.9000          0.0954          0.7544        1.342248        2.216836
     2825.32477      2825.32403         -3.9988          2.2537         18.3650         99.9000          3.5016          0.6684       -2.983210        2.253656
     2825.32709      2825.32634          3.5849          2.2840         18.3504         99.9000         -1.5442          0.6684        4.382449        2.284015
     2825.32940      2825.32866          4.7638          2.2612         18.3613         99.9000          0.4487          0.7544       -2.318004        2.261227
     2825.33172      2825.33097          6.2246          2.2737         18.3554         99.9000         -1.0667          0.8330        1.675390        2.273682
     2825.33403      2825.33329         -6.1896          2.2347         18.3742         99.9000         -2.8190          0.8330       -4.945205        2.234684
     2825.33635      2825.33560          1.2771          2.2205         18.3811         99.9000          0.1255          1.0147        3.877801        2.220501
     2825.33866      2825.33792          1.0453          2.2460         18.3687         99.9000          1.6087          1.0147       -0.170218        2.246006
     2825.34097      2825.34023          4.1817          2.2083         18.3871         99.9000          0.8713          0.8330       -0.302557        2.208276
     2825.34329      2825.34255         -0.5715          2.1686         18.4068         99.9000         -2.0466          0.8330        1.511167        2.168575
     2825.34560      2825.34486          3.8571          2.2855         18.3498         99.9000         -3.9971          0.8330       -1.362018        2.285484
     2825.34792      2825.34718         -5.5101          2.2123         18.3851         99.9000         -1.5208          1.0147       -1.793939        2.212316
     2825.35023      2825.34949         -1.1260          2.2558         18.3640         99.9000         -3.4026          1.0147       -1.789932        2.255774
     2825.35255      2825.35181          5.1524          2.2933         18.3460         99.9000         -4.2253          1.0147       -1.599194        2.293313
     2825.35486      2825.35412          0.1942          2.2554         18.3641         99.9000         -2.0451          0.8330        0.754369        2.255395
     2825.35718      2825.35644         -6.7255          2.2027         18.3898         99.9000         -1.3261          1.0147       -3.840866        2.202688
     2825.35949      2825.35875         -5.8947          2.2994         18.3431         99.9000          3.8767          0.8330       -3.707433        2.299443
     2825.36181      2825.36107          1.6178          2.2142         18.3842         99.9000         -4.1394          0.8330       -0.990380        2.214171
     2825.36412      2825.36338          7.7073          2.2242         18.2227          0.3133         -2.0393          0.8330        2.171977        2.224165
     2825.36644      2825.36570         -3.6469          2.2313         18.3758         99.9000         -2.5476          1.0147       -5.731275        2.231304
     2825.36875      2825.36801          2.2787          2.2732         18.3556         99.9000         -1.8647          1.0148       -2.312271        2.273167
     2825.37107      2825.37033          4.0553          2.2019         18.3902         99.9000         -0.8174          1.1139        1.900049        2.201924
     2825.37338      2825.37264          4.4369          2.2432         18.3700         99.9000         -5.2653          1.1139       -1.092381        2.243187
     2825.37570      2825.37496          4.7677          2.1893         18.3964         99.9000         -4.2036          1.1139        1.432594        2.189309
     2825.37801      2825.37727         -1.5157          2.3140         18.3363         99.9000         -1.5663          1.1139       -4.718539        2.314025
     2825.38033      2825.37959          0.1647          2.1148         18.4340         99.9000         -0.8580          1.1139        0.015573        2.114778
     2825.38264      2825.38190         -4.8942          2.2458         18.3688         99.9000         -1.7254          1.1139       -4.177710        2.245801
     2825.38496      2825.38422         -0.5624          2.3491         18.3199         99.9000         -2.7473          1.0148        1.702987        2.349097
     2825.38727      2825.38653         12.3279          2.2689         17.7128          0.1998         -7.9921          1.1139        1.812437        2.268920
     2825.38958      2825.38884         -2.7258          2.3352         18.3264         99.9000          0.6795          1.1167       -0.941255        2.335225
     2825.39190      2825.39116         -0.4770          2.2023         18.3900         99.9000         -1.7179          1.2521        1.252108        2.202287
     2825.39421      2825.39347          5.1853          2.2891         18.3480         99.9000         -4.3390          1.3422        4.145482        2.289074
     2825.39653      2825.39579         -0.4295          2.3143         18.3362         99.9000         -6.4412          1.3422       -1.797467        2.314254
     2825.39884      2825.39810          1.1021          2.3215         18.3328         99.9000         -3.1170          1.2842       -3.810526        2.321519
     2825.40116      2825.40042          4.3495          2.2789         18.3529         99.9000         -0.5647          1.2842        1.113934        2.278896
     2825.40347      2825.40273          7.4546          2.2281         18.2589          0.3245         -1.3131          1.2521        3.449308        2.228071
     2825.40579      2825.40505          0.3610          2.2261         18.3784         99.9000         -1.3344          1.1167        3.029802        2.226067
     2825.40810      2825.40736          1.6746          2.2236         18.3796         99.9000         -3.0373          1.1167        1.394271        2.223572
     2825.41042      2825.40968          2.9127          2.2869         18.3491         99.9000         -4.7814          1.2521        2.187995        2.286893
     2825.41273      2825.41199          3.7029          2.2577         18.3630         99.9000         -3.4764          1.1167        4.969456        2.257667
     2825.41505      2825.41431         -3.0399          2.2718         18.3563         99.9000         -4.4494          1.1139       -2.037678        2.271828
     2825.41736      2825.41662          6.3080          2.3407         18.3238         99.9000         -2.3719          1.1139        2.485336        2.340681
     2825.41968      2825.41894          1.1022          2.2954         18.3450         99.9000         -3.0746          1.1139        4.382465        2.295421
     2825.42199      2825.42125          0.8368          2.3633         18.3134         99.9000         -0.2080          1.1167       -0.590374        2.363294
     2825.42431      2825.42357          2.6770          2.2806         18.3521         99.9000         -0.0073          1.1139        1.014812        2.280629
     2825.42662      2825.42588          0.7535          2.2508         18.3663         99.9000         -1.1468          1.1139        2.550686        2.250830
     2825.42894      2825.42820          1.1895          2.2717         18.3563         99.9000         -2.4448          1.1167        0.832969        2.271699
     2825.43125      2825.43051         -2.4085          2.3065         18.3398         99.9000          1.1788          1.1167       -2.620013        2.306532
     2825.43357      2825.43283          1.4669          2.2964         18.3446         99.9000         -2.2516          1.1167        2.694737        2.296421
     2825.43588      2825.43514          3.3087          2.3251         18.3311         99.9000         -1.1200          1.1167        2.034386        2.325135
     2825.43820      2825.43746          2.6111          2.2598         18.3620         99.9000         -3.2112          1.1167       -1.026003        2.259809
     2825.44051      2825.43977          4.3568          2.2574         18.3632         99.9000         -1.1701          1.1139       -2.408479        2.257400
     2825.44283      2825.44209          3.0198          2.2584         18.3627         99.9000         -1.9537          1.1139        1.830487        2.258420
     2825.44514      2825.44440          0.9352          2.2865         18.3493         99.9000         -5.3085          1.1139        1.116694        2.286459
     2825.44746      2825.44672         -2.8872          2.2838         18.3506         99.9000         -0.2170          1.1139        0.603399        2.283782
     2825.44977      2825.44903          6.4726          2.2569         18.3634         99.9000         -4.3595          1.1139        3.967799        2.256898
     2825.45208      2825.45134          2.7880          2.3544         18.3175         99.9000         -4.7009          1.1139        2.558900        2.354397
     2825.45440      2825.45366          3.0988          2.2480         18.3677         99.9000          0.4258          1.0148        3.235609        2.247962
     2825.45671      2825.45597         -5.4181          2.3423         18.3231         99.9000         -3.9397          1.1139        1.387049        2.342338
     2825.45903      2825.45829         10.0249          2.3362         17.9373          0.2530         -1.4821          1.1139        7.027373        2.336213
     2825.46134      2825.46060         -3.0031          2.3244         18.3314         99.9000         -0.4633          1.1167        0.235402        2.324374
     2825.46366      2825.46292         -2.1230          2.2749         18.3548         99.9000         -4.5635          1.1167       -3.923978        2.274911
     2825.46597      2825.46523          9.4714          2.2150         17.9990          0.2539         -2.7679          1.1612        5.359629        2.214995
     2825.46829      2825.46755          9.7874          2.2665         17.9633          0.2514         -5.5337          1.2521        5.754573        2.266537
     2825.47060      2825.46986          8.1206          2.2551         18.1660          0.3015          0.8382          1.2521        2.638573        2.255149
     2825.47292      2825.47218         -2.9844          2.2886         18.3483         99.9000          0.1768          1.2521       -2.323795        2.288566
     2825.47523      2825.47449         -1.1037          2.3071         18.3395         99.9000          0.4909          1.2521        1.857040        2.307131
     2825.47755      2825.47681         -1.0942          2.2849         18.3500         99.9000         -1.9705          1.2521       -1.316640        2.284938
     2825.47986      2825.47912          1.7438          2.2596         18.3621         99.9000          0.0487          1.2521        3.789119        2.259566
     2825.48218      2825.48144         -4.0454          2.2831         18.3509         99.9000         -1.4474          1.2521       -5.835220        2.283145
     2825.48449      2825.48375          4.8671          2.2544         18.3646         99.9000         -0.1007          1.2521        2.859221        2.254409
     2825.48681      2825.48607         -1.0216          2.3243         18.3315         99.9000         -2.4770          1.2842       -3.093768        2.324319
     2825.48912      2825.48838          4.9826          2.2316         18.3756         99.9000         -1.8049          1.2974        3.926081        2.231643
     2825.49144      2825.49070          2.6945          2.3776         18.3069         99.9000          1.4747          1.2842        2.599445        2.377570
     2825.49375      2825.49301          7.8511          2.2616         18.2027          0.3128          0.5701          1.2842        4.392974        2.261629
     2825.49607      2825.49533          5.1533          2.3409         18.3237         99.9000         -4.0370          1.2842        3.484536        2.340891
     2825.49838      2825.49764          0.8487          2.2613         18.3613         99.9000         -1.5655          1.2521       -2.605150        2.261270
     2825.50070      2825.49996         -0.1424          2.2970         18.3443         99.9000         -1.2530          1.2842        2.030320        2.296991
     2825.50301      2825.50227          8.5028          2.2420         18.1161          0.2863         -5.1914          1.2521        1.700453        2.241961
     2825.50533      2825.50459          1.7990          2.2514         18.3661         99.9000         -3.2537          1.2842       -0.258294        2.251374
     2825.50764      2825.50690          6.9314          2.1487         18.3379          0.3366          2.6640          1.2974       -0.404248        2.148733
     2825.50996      2825.50922          1.8152          2.2776         18.3535         99.9000         -1.6351          1.2974        1.627232        2.277551
     2825.51227      2825.51153         -0.8255          2.2420         18.3706         99.9000         -1.9028          1.2842        2.533511        2.241997
     2825.51458      2825.51384          2.7726          2.2115         18.3855         99.9000          0.3596          1.2842        2.025259        2.211548
     2825.51690      2825.51616         -0.4710          2.2077         18.3874         99.9000         -2.8996          1.2974        2.604483        2.207669
     2825.51921      2825.51847          5.1823          2.2873         18.3489         99.9000         -5.3958          1.2974        3.504943        2.287316
