# reference_flux:        -11.0263
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2825.25258      2825.25227          1.1124          1.7545         18.6368         99.9000         -0.6416          1.3773        4.482207        1.754533
     2825.25489      2825.25459         -1.0512          1.7556         18.6361         99.9000          1.2526          1.3773       -0.112878        1.755626
     2825.25721      2825.25690          1.7293          1.7577         18.6348         99.9000         -3.5587          1.6629        2.306457        1.757681
     2825.25952      2825.25922          5.6483          1.7583         18.5602          0.3380          0.1002          1.6629        3.155169        1.758333
     2825.26184      2825.26153          3.8150          1.7566         18.6355         99.9000         -2.4558          1.3773        3.168862        1.756565
     2825.26415      2825.26384          1.2957          1.7559         18.6360         99.9000          0.4851          1.3773       -0.446680        1.755854
     2825.26647      2825.26616         -6.1019          1.7540         18.6371         99.9000          1.5734          1.3773        0.432993        1.754047
     2825.26878      2825.26847          0.5690          1.7576         18.6349         99.9000          0.6260          1.3773        0.574348        1.757595
     2825.27110      2825.27079          6.1480          1.7544         18.4682          0.3098         -5.5483          1.3773        7.128314        1.754436
     2825.27341      2825.27310          7.8266          1.7596         18.2061          0.2441         -1.8628          1.3773        5.794578        1.759646
     2825.27573      2825.27542          4.3529          1.7547         18.6367         99.9000         -2.8838          1.3773        4.573611        1.754696
     2825.27804      2825.27773          2.5633          1.7573         18.6351         99.9000         -0.3028          1.3773       -0.259753        1.757349
     2825.28036      2825.28005         -3.3869          1.7523         18.6382         99.9000         -1.1354          1.3773       -0.269815        1.752278
     2825.28267      2825.28236          0.3218          1.7550         18.6365         99.9000         -0.2696          1.3773        0.986571        1.755018
     2825.28499      2825.28468          5.0783          1.7552         18.6364         99.9000         -4.3306          1.5477        6.600314        1.755247
     2825.28730      2825.28699          1.0557          1.7556         18.6361         99.9000         -3.1563          1.5477       -0.065626        1.755602
     2825.28962      2825.28931          1.5639          1.7553         18.6363         99.9000         -1.1694          1.6629        1.728366        1.755290
     2825.29193      2825.29162         -1.0720          1.7531         18.6377         99.9000         -1.1293          1.6629        3.753183        1.753081
     2825.29425      2825.29394          4.3441          1.7553         18.6363         99.9000         -2.3021          1.6629        4.964157        1.755306
     2825.29656      2825.29625         -2.2928          1.7537         18.6373         99.9000          1.7230          1.6629       -2.678019        1.753702
     2825.29888      2825.29857         -1.7812          1.7497         18.6398         99.9000         -3.5857          1.6629        0.097423        1.749730
     2825.30119      2825.30088          5.6931          1.7628         18.5516          0.3362          1.4468          1.6629        3.830427        1.762793
     2825.30350      2825.30320          4.8988          1.7529         18.6378         99.9000         -1.5071          1.6629        6.729833        1.752949
     2825.30582      2825.30551         -0.1861          1.7579         18.6347         99.9000         -1.1091          1.6629        0.232463        1.757924
     2825.30813      2825.30783         -1.1600          1.7535         18.6374         99.9000         -0.7500          1.6629        1.662946        1.753500
     2825.31045      2825.31014          8.1281          1.7547         18.1650          0.2344         -4.7292          1.6629        1.377313        1.754681
     2825.31276      2825.31246         -4.3897          1.7540         18.6371         99.9000          2.7314          1.6629       -2.223504        1.754010
     2825.31508      2825.31477          6.0729          1.7605         18.4815          0.3148          2.5166          1.6629        5.494450        1.760523
     2825.31739      2825.31709         -1.2114          1.7525         18.6380         99.9000         -1.1390          1.6752        2.535100        1.752506
     2825.31971      2825.31940         -5.9965          1.7477         18.6410         99.9000         -3.1258          1.6752       -3.724467        1.747697
     2825.32202      2825.32172         -2.9995          1.7495         18.6399         99.9000         -2.0100          1.7177        1.198812        1.749472
     2825.32434      2825.32403         -7.4838          1.7467         18.6416         99.9000          0.6023          1.7284       -3.723402        1.746706
     2825.32665      2825.32634          4.5736          1.7545         18.6368         99.9000         -3.3581          1.7177        3.939664        1.754515
     2825.32897      2825.32866          0.9238          1.7523         18.6381         99.9000         -0.7635          1.6752        7.600598        1.752345
     2825.33128      2825.33097          0.9445          1.7569         18.6353         99.9000          1.0380          1.7177        3.969398        1.756895
     2825.33360      2825.33329         -4.4105          1.7522         18.6383         99.9000          2.3451          1.7284       -4.361532        1.752168
     2825.33591      2825.33560          5.2854          1.7574         18.6323          0.3610         -1.3580          1.7284        0.875205        1.757437
     2825.33823      2825.33792         -5.4043          1.7527         18.6379         99.9000         -3.8537          1.7177       -3.196390        1.752683
     2825.34054      2825.34023          2.8651          1.7548         18.6366         99.9000          2.4229          1.7177       -0.845759        1.754839
     2825.34286      2825.34255          1.0373          1.7565         18.6356         99.9000         -2.4989          1.7284       -0.459992        1.756493
     2825.34517      2825.34486          0.4323          1.7474         18.6412         99.9000         -6.3031          1.7284       -0.860012        1.747447
     2825.34749      2825.34718         -7.8531          1.7476         18.6411         99.9000         -0.1014          1.7850       -8.079044        1.747624
     2825.34980      2825.34949          3.0735          1.7546         18.6367         99.9000          0.6902          1.7850        7.298262        1.754630
     2825.35212      2825.35181         -0.1674          1.7506         18.6393         99.9000         -1.0419          1.7890        0.735988        1.750560
     2825.35443      2825.35412          1.0719          1.7535         18.6374         99.9000         -1.3344          1.7850        1.717700        1.753521
     2825.35675      2825.35644          7.2581          1.7581         18.2879          0.2630         -1.9422          1.7284        4.781838        1.758126
     2825.35906      2825.35875          3.4650          1.7505         18.6393         99.9000          0.0970          1.7284        4.294477        1.750472
     2825.36138      2825.36107         -0.7236          1.7513         18.6388         99.9000          2.2080          1.7284       -0.268883        1.751283
     2825.36369      2825.36338         10.0212          1.7599         17.9377          0.1907         -3.5408          1.7284        8.283366        1.759855
     2825.36600      2825.36570          3.3238          1.7523         18.6382         99.9000         -4.2418          1.7284        1.899030        1.752312
     2825.36832      2825.36801          4.7177          1.7605         18.6331         99.9000          0.2560          1.7177        4.090483        1.760464
     2825.37063      2825.37033          7.9955          1.7559         18.1829          0.2384         -0.7901          1.7177        5.002531        1.755924
     2825.37295      2825.37264          6.5135          1.7538         18.4055          0.2923         -2.4235          1.7173        0.512616        1.753783
     2825.37526      2825.37496         -3.2285          1.7476         18.6411         99.9000         -1.8105          1.7173       -2.320113        1.747561
     2825.37758      2825.37727         -0.9857          1.7519         18.6384         99.9000         -0.2093          1.6752       -2.429381        1.751860
     2825.37989      2825.37959          3.1021          1.7549         18.6366         99.9000         -3.1761          1.6752        1.924170        1.754871
     2825.38221      2825.38190          8.2842          1.7610         18.1444          0.2308          3.6261          1.6752        5.733629        1.761033
     2825.38452      2825.38422          0.3527          1.7536         18.6374         99.9000          0.3660          1.6629        0.681730        1.753605
     2825.38684      2825.38653         -6.8390          1.7527         18.6379         99.9000          1.7487          1.6495       -4.792963        1.752722
     2825.38915      2825.38884          4.1787          1.7545         18.6368         99.9000          0.4527          1.6160        1.919701        1.754530
     2825.39147      2825.39116          0.6070          1.7501         18.6395         99.9000         -2.1233          1.6495        1.547676        1.750087
     2825.39378      2825.39347          3.2860          1.7541         18.6371         99.9000         -2.8078          1.6495        0.473489        1.754114
     2825.39610      2825.39579         -0.4880          1.7558         18.6360         99.9000          1.9684          1.6629        5.168804        1.755795
     2825.39841      2825.39810          6.3044          1.7541         18.4409          0.3021         -4.9267          1.6495        3.503280        1.754056
     2825.40073      2825.40042          0.8024          1.7543         18.6369         99.9000          0.3942          1.6160        1.784957        1.754345
     2825.40304      2825.40273         -0.6273          1.7517         18.6386         99.9000          0.4375          1.5477       -0.280579        1.751677
     2825.40536      2825.40505          3.0863          1.7548         18.6366         99.9000          0.4184          1.6160        5.493608        1.754795
     2825.40767      2825.40736          4.7552          1.7562         18.6357         99.9000         -3.3927          1.6495        7.760532        1.756239
     2825.40999      2825.40968          4.8535          1.7563         18.6357         99.9000         -1.0484          1.6495       -0.126657        1.756284
     2825.41230      2825.41199          1.4871          1.7535         18.6374         99.9000         -2.9526          1.6495        4.316094        1.753505
     2825.41461      2825.41431         -0.7321          1.7551         18.6364         99.9000          2.2199          1.6629       -0.222174        1.755137
     2825.41693      2825.41662          1.9372          1.7546         18.6367         99.9000         -2.3626          1.6629        2.351316        1.754640
     2825.41924      2825.41894         -3.2075          1.7463         18.6419         99.9000         -3.2165          1.6629        0.934165        1.746293
     2825.42156      2825.42125         -2.0252          1.7511         18.6389         99.9000          1.5354          1.6629        0.430491        1.751082
     2825.42387      2825.42357          0.6952          1.7521         18.6383         99.9000         -3.5722          1.6629        2.361930        1.752103
     2825.42619      2825.42588          3.8568          1.7553         18.6363         99.9000         -1.2267          1.6629        3.791910        1.755335
     2825.42850      2825.42820          1.8439          1.7576         18.6349         99.9000          4.7957          1.6629        1.419773        1.757645
