# reference_flux:         -4.6195
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2867.46216      2867.45594         -1.2601          2.2578         18.3630         99.9000         -2.1207          2.1976        1.312236        2.257811
     2867.46448      2867.45826          7.6758          2.2753         18.2272          0.3218         -2.1587          2.1976        3.313884        2.275311
     2867.46680      2867.46057         -4.6723          2.2444         18.3695         99.9000          2.5213          1.7989        0.241434        2.244384
     2867.46911      2867.46289          8.3663          2.2767         18.1337          0.2955          0.1030          1.7989        6.819665        2.276685
     2867.47143      2867.46520         -0.8277          2.2601         18.3619         99.9000         -1.3706          1.6980        1.332068        2.260105
     2867.47374      2867.46752          0.6116          2.2475         18.3679         99.9000         -0.8689          1.6980        1.798900        2.247533
     2867.47605      2867.46983          7.3273          2.2595         18.2776          0.3348         -0.8949          1.6980        5.223661        2.259544
     2867.47837      2867.47215          0.3216          2.2588         18.3625         99.9000          0.4274          1.6980       -0.178585        2.258789
     2867.48068      2867.47446         -3.9034          2.2604         18.3617         99.9000          1.5392          1.6980        5.868836        2.260438
     2867.48300      2867.47678          5.4527          2.2380         18.3726         99.9000         -3.0131          1.7799        3.907703        2.237952
     2867.48531      2867.47909          3.6038          2.2539         18.3649         99.9000         -1.3243          1.6980        0.287181        2.253885
     2867.48763      2867.48141          0.1617          2.2791         18.3528         99.9000         -2.0895          1.6980        1.605212        2.279077
     2867.48994      2867.48372          1.8372          2.2809         18.3520         99.9000          1.5262          1.6980        3.401775        2.280860
     2867.49226      2867.48604          5.9297          2.2608         18.3615         99.9000         -0.1160          1.6980        4.758791        2.260831
     2867.49457      2867.48835          3.2143          2.2731         18.3556         99.9000          0.1702          1.6980        5.470478        2.273129
     2867.49689      2867.49067          3.0297          2.2705         18.3569         99.9000          0.1348          1.6980        3.053640        2.270550
     2867.49920      2867.49298          7.1529          2.2559         18.3038          0.3424         -3.1528          1.6980        5.064324        2.255885
     2867.50152      2867.49530         -0.3867          2.2675         18.3583         99.9000          1.7208          1.7799        3.122068        2.267533
     2867.50383      2867.49761         -1.2915          2.2575         18.3631         99.9000          1.8603          1.7799        1.293578        2.257472
     2867.50615      2867.49993         -2.7892          2.2559         18.3639         99.9000         -4.8863          1.7799       -2.853901        2.255868
     2867.50846      2867.50224         -0.5002          2.2642         18.3599         99.9000          1.0196          1.7989       -0.999364        2.264165
     2867.51078      2867.50455         -4.1680          2.2477         18.3678         99.9000          0.4144          1.7799        0.100043        2.247718
     2867.51309      2867.50687         11.2931          2.2576         17.8080          0.2170          2.5158          1.7799        3.752874        2.257571
