# reference_flux:         90.7475
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2867.46203      2867.45594         96.2511          2.0939         15.4815          0.0236          0.4226          1.3543        0.110300        2.093896
     2867.46434      2867.45826         96.8603          2.0899         15.4746          0.0234         -2.4547          1.7119        3.884381        2.089895
     2867.46666      2867.46057         96.2567          2.0934         15.4814          0.0236         -0.5716          1.7119        3.306230        2.093419
     2867.46897      2867.46289         88.8329          2.0581         15.5686          0.0252         -2.0018          1.9425        0.387872        2.058080
     2867.47129      2867.46520         88.0585          2.1038         15.5781          0.0259          0.2159          1.9425        2.165939        2.103821
     2867.47360      2867.46752         97.0221          2.1076         15.4728          0.0236         -1.5075          1.9430       -0.098890        2.107569
     2867.47592      2867.46983         93.6026          2.1028         15.5118          0.0244         -4.5700          1.9430        4.079561        2.102809
     2867.47823      2867.47215         93.1676          2.1132         15.5168          0.0246         -2.9387          1.9529        0.676878        2.113249
     2867.48055      2867.47446         83.7280          2.0960         15.6328          0.0272          0.9812          1.9430       -0.964381        2.095988
     2867.48286      2867.47678         92.4425          2.1233         15.5253          0.0249         -2.2607          1.9430        2.653809        2.123342
     2867.48518      2867.47909         88.3561          2.1033         15.5744          0.0258          0.1591          1.9430       -0.325840        2.103277
     2867.48749      2867.48141         94.5098          2.0981         15.5013          0.0241         -1.6717          1.9425        2.744455        2.098074
     2867.48981      2867.48372         93.6823          2.1076         15.5109          0.0244         -2.9718          1.7119       -2.949715        2.107614
     2867.49212      2867.48604         99.0581          2.1220         15.4503          0.0233         -3.2014          1.9425        2.474225        2.122027
     2867.49444      2867.48835         92.0761          2.1090         15.5296          0.0249         -2.9750          1.9425        2.130610        2.108979
     2867.49675      2867.49067         92.9532          2.1002         15.5193          0.0245         -3.2772          1.9425        1.943030        2.100226
     2867.49907      2867.49298         93.9303          2.1125         15.5080          0.0244          0.7380          1.7119        3.055234        2.112487
     2867.50138      2867.49530         84.7804          2.1116         15.6193          0.0270          1.4382          1.3543       -3.587685        2.111619
     2867.50370      2867.49761         99.3677          2.1184         15.4469          0.0231         -0.5189          1.7119        9.078601        2.118445
     2867.50601      2867.49993        103.3216          2.1114         15.4045          0.0222         -3.6124          1.7119        1.221689        2.111422
     2867.50833      2867.50224        101.4236          2.1079         15.4247          0.0226         -5.3634          1.7119        4.020556        2.107896
     2867.51064      2867.50455         89.7179          2.1369         15.5578          0.0259          0.0351          1.7119       -3.567897        2.136917
     2867.51295      2867.50687         98.8874          2.1137         15.4521          0.0232         -3.4270          1.9425        3.584605        2.113707
     2867.51527      2867.50918        100.3631          2.1098         15.4361          0.0228         -4.8706          1.9430        0.619162        2.109766
     2867.51758      2867.51150         94.8564          2.1095         15.4973          0.0241         -2.3694          1.9430        3.317422        2.109525
     2867.51990      2867.51381         97.2624          2.1338         15.4701          0.0238         -2.1316          1.9430        1.121735        2.133813
     2867.52221      2867.51613        101.7787          2.1310         15.4209          0.0227         -2.0756          1.9430        2.940324        2.131003
     2867.52453      2867.51844         90.3929          2.1220         15.5497          0.0255         -0.1900          1.9502        0.099235        2.121998
     2867.52684      2867.52076         87.4370          2.1238         15.5858          0.0264          1.4418          1.9502        0.014558        2.123800
     2867.52916      2867.52307         89.3143          2.1013         15.5627          0.0255          0.8362          1.9529       -4.118253        2.101266
     2867.53147      2867.52539         97.7753          2.1002         15.4644          0.0233         -2.7986          1.9502        4.757431        2.100177
     2867.53379      2867.52770         90.9393          2.0999         15.5431          0.0251         -0.6989          1.9502        1.354318        2.099942
     2867.53610      2867.53002         84.5723          2.1107         15.6219          0.0271          0.1325          1.9502       -2.663649        2.110674
     2867.53842      2867.53233         91.4549          2.1005         15.5370          0.0249         -5.0363          1.9529       -1.206259        2.100470
     2867.54073      2867.53465         93.5534          2.1112         15.5124          0.0245         -0.9932          1.9502        2.155399        2.111193
     2867.54305      2867.53696         94.3128          2.1187         15.5036          0.0244         -1.7031          1.9502        4.232912        2.118709
     2867.54536      2867.53928         86.8295          2.1012         15.5933          0.0263         -2.2550          1.9502       -2.177015        2.101190
     2867.54768      2867.54159         92.4202          2.0864         15.5256          0.0245         -5.6862          1.9502        1.952877        2.086363
     2867.54999      2867.54391         96.7097          2.1045         15.4763          0.0236         -0.6139          1.9502        3.909526        2.104504
     2867.55231      2867.54622         94.0320          2.1049         15.5068          0.0243         -1.9513          1.9502        3.913665        2.104876
     2867.55462      2867.54854         96.8205          2.0912         15.4751          0.0235         -1.8863          1.9430        1.711864        2.091247
     2867.55694      2867.55085         90.3804          2.1094         15.5498          0.0253         -3.1498          1.9430       -2.352764        2.109366
     2867.55925      2867.55316         98.0468          2.0992         15.4614          0.0232         -3.3603          1.9502        3.890967        2.099177
     2867.56157      2867.55548         96.0056          2.0784         15.4843          0.0235         -1.9633          1.9430        3.168614        2.078398
     2867.56388      2867.55780         93.7135          2.0982         15.5105          0.0243         -3.0242          1.9430        2.904238        2.098160
     2867.56620      2867.56011         94.3179          2.1127         15.5035          0.0243         -1.1966          1.9425        0.261172        2.112734
     2867.56851      2867.56243         95.4605          2.1100         15.4904          0.0240         -3.9631          1.9430        3.239354        2.110032
     2867.57083      2867.56474         95.5342          2.0949         15.4896          0.0238         -1.2775          1.9502        0.037862        2.094907
     2867.57314      2867.56705         94.2463          2.0957         15.5043          0.0241          0.5301          1.9430        1.942488        2.095670
     2867.57545      2867.56937         95.6268          2.1128         15.4886          0.0240         -3.7085          1.9430       -1.804411        2.112759
     2867.57777      2867.57168         93.6314          2.0927         15.5114          0.0243          0.1103          1.9425       -0.657815        2.092658
     2867.58008      2867.57400         95.4594          2.1131         15.4905          0.0240          0.5509          1.9425       -1.047689        2.113082
     2867.58240      2867.57631         90.0938          2.1045         15.5533          0.0254         -0.4440          1.9425        0.646587        2.104498
     2867.58471      2867.57863         92.9941          2.1088         15.5189          0.0246         -1.3031          1.9425       -0.659076        2.108806
     2867.58703      2867.58094         99.4542          2.0953         15.4459          0.0229         -3.8655          1.9430        2.637523        2.095326
     2867.58934      2867.58326         94.9260          2.0807         15.4965          0.0238         -0.5777          1.9430        2.485378        2.080667
     2867.59166      2867.58557         99.2518          2.0939         15.4482          0.0229         -2.0335          1.9425        6.702287        2.093922
     2867.59397      2867.58789        100.8132          2.1089         15.4312          0.0227         -2.1056          1.9425        7.152815        2.108908
     2867.59629      2867.59020         95.3551          2.1095         15.4916          0.0240         -0.9241          1.9430        5.819993        2.109523
     2867.59860      2867.59252         89.7853          2.0985         15.5570          0.0254          0.3950          1.9430        3.225864        2.098544
     2867.60092      2867.59483         92.5385          2.0810         15.5242          0.0244         -0.7893          1.9502        2.258646        2.081020
     2867.60323      2867.59715         91.9894          2.0924         15.5307          0.0247         -0.8260          1.9502       -2.369818        2.092378
     2867.60555      2867.59946         88.8871          2.0948         15.5679          0.0256         -0.4897          1.9529       -0.557837        2.094814
     2867.60786      2867.60178         89.2091          2.0742         15.5640          0.0252          0.6193          1.9529        1.122640        2.074246
     2867.61018      2867.60409         91.3697          2.0833         15.5380          0.0248         -4.8778          1.9502       -1.325101        2.083280
     2867.61249      2867.60641         87.7861          2.0921         15.5814          0.0259          2.5409          1.9529       -2.416650        2.092085
     2867.61481      2867.60872         88.8054          2.0749         15.5689          0.0254         -0.3321          1.9502        3.480598        2.074873
     2867.61712      2867.61104         93.9980          2.0710         15.5072          0.0239          0.3552          1.9502       -0.128786        2.071029
     2867.61944      2867.61335         99.7417          2.0938         15.4428          0.0228          0.2965          1.9430        4.933937        2.093814
     2867.62175      2867.61566         95.3096          2.0711         15.4922          0.0236         -0.3558          1.9425        0.725359        2.071126
     2867.62407      2867.61798         94.0888          2.1070         15.5062          0.0243         -2.2819          1.9425       -1.287431        2.107031
     2867.62638      2867.62030         97.4047          2.0929         15.4686          0.0233         -3.3012          1.7119        3.404738        2.092947
     2867.62870      2867.62261         96.9517          2.0765         15.4736          0.0233         -2.5785          1.7119        3.469788        2.076472
     2867.63101      2867.62493         87.0921          2.0850         15.5901          0.0260         -1.7054          1.6366        1.950220        2.084985
