# reference_flux:        -56.6403
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2867.46214      2867.45594         -4.5757          2.5606         18.2263         99.9000         -2.2867         -0.8743       -2.194187        2.560590
     2867.46445      2867.45826          3.3748          2.5711         18.2219         99.9000         -5.9499         -0.7167       -1.018826        2.571112
     2867.46677      2867.46057          4.1014          2.5522         18.2299         99.9000         -3.2971         -0.7167        1.002610        2.552174
     2867.46908      2867.46289          0.7905          2.5703         18.2222         99.9000         -2.2266         -0.7167       -2.290066        2.570345
     2867.47140      2867.46520         -0.1748          2.5624         18.2256         99.9000         -0.4506         -0.5361       -3.116426        2.562419
     2867.47371      2867.46752          7.9617          2.5570         18.1875          0.3487         -1.7517         -0.5361       -0.536057        2.557029
     2867.47603      2867.46983          5.4620          2.5590         18.2270         99.9000          0.8764         -0.5361       -1.227978        2.558969
     2867.47834      2867.47215          5.7727          2.5633         18.2252         99.9000         -1.5056         -0.5361       -2.261693        2.563314
     2867.48066      2867.47446          4.8640          2.5626         18.2255         99.9000         -1.7146         -0.5361        3.764167        2.562551
     2867.48297      2867.47678         10.5179          2.5481         17.8852          0.2630         -4.5365         -0.5361        1.428055        2.548051
     2867.48529      2867.47909         -3.4805          2.5551         18.2287         99.9000         -2.6307         -0.5361       -2.258110        2.555088
     2867.48760      2867.48141          5.5314          2.5792         18.2185         99.9000         -4.3144         -0.5361       -0.047689        2.579152
     2867.48992      2867.48372         -0.0489          2.5751         18.2202         99.9000         -2.7062         -0.5361        2.469665        2.575062
     2867.49223      2867.48604          8.0461          2.5638         18.1760          0.3460         -2.9129         -0.7167        0.813676        2.563809
     2867.49455      2867.48835          1.9098          2.5700         18.2224         99.9000         -3.7624         -0.5361       -1.213581        2.570016
     2867.49686      2867.49067          0.9675          2.5668         18.2237         99.9000         -3.3141         -0.5361       -1.848580        2.566842
     2867.49918      2867.49298          4.5813          2.5583         18.2273         99.9000         -4.6441         -0.5361        1.175530        2.558259
     2867.50149      2867.49530          5.1171          2.5711         18.2219         99.9000          0.8703         -0.5065       -0.060490        2.571100
     2867.50381      2867.49761          2.1348          2.5641         18.2248         99.9000          1.4991         -0.5065        0.206210        2.564146
     2867.50612      2867.49993          0.9338          2.5612         18.2261         99.9000         -3.5835         -0.5361        1.786282        2.561170
     2867.50844      2867.50224          3.0234          2.5644         18.2247         99.9000         -2.3645         -0.5065        0.954489        2.564382
     2867.51075      2867.50455          2.8299          2.5551         18.2287         99.9000         -4.2622         -0.5065        2.199424        2.555120
     2867.51307      2867.50687         13.8442          2.5583         17.5868          0.2006         -5.4151         -0.5065        1.466992        2.558310
     2867.51538      2867.50918          3.3438          2.5662         18.2240         99.9000         -2.1922         -0.5065        1.085458        2.566245
     2867.51770      2867.51150          5.8308          2.5516         18.2302         99.9000         -2.6351         -0.5065        5.199485        2.551556
     2867.52001      2867.51381         -4.2703          2.5500         18.2309         99.9000          0.8698         -0.5123       -4.130675        2.549990
     2867.52233      2867.51613          2.5607          2.5633         18.2252         99.9000         -3.6611         -0.5123       -4.896564        2.563314
     2867.52464      2867.51844          5.3383          2.5590         18.2270         99.9000         -0.6988         -0.5123        1.874598        2.558963
     2867.52696      2867.52076         -1.1855          2.5482         18.2316         99.9000         -2.9196         -0.5065       -2.291990        2.548152
     2867.52927      2867.52307          0.4904          2.5654         18.2243         99.9000         -2.3999         -0.5065        0.193349        2.565446
     2867.53159      2867.52539         -2.8936          2.5532         18.2295         99.9000         -3.2401         -0.5123       -2.366491        2.553176
     2867.53390      2867.52770         -3.1431          2.5475         18.2319         99.9000          0.4463         -0.5361       -3.556645        2.547479
     2867.53621      2867.53002          7.2935          2.5612         18.2261         99.9000         -3.6331         -0.5361        2.835596        2.561160
     2867.53853      2867.53233          5.6019          2.5398         18.2352         99.9000         -0.7567         -0.5361        4.470362        2.539795
     2867.54084      2867.53465          3.6288          2.5625         18.2255         99.9000         -2.4772         -0.5361       -3.449724        2.562540
     2867.54316      2867.53696         11.1783          2.5576         17.8191          0.2484         -7.8013         -0.7167        0.640532        2.557642
     2867.54547      2867.53928         -3.5474          2.5566         18.2280         99.9000         -0.7826         -0.7167       -1.168240        2.556624
     2867.54779      2867.54159          2.4220          2.5481         18.2316         99.9000         -1.4007         -0.7167       -0.716718        2.548128
     2867.55010      2867.54391          0.3060          2.5494         18.2311         99.9000         -0.6832         -0.7167       -1.077672        2.549360
     2867.55242      2867.54622         -3.0165          2.5512         18.2303         99.9000         -1.4368         -0.7167       -2.621841        2.551246
     2867.55473      2867.54854          1.7123          2.5475         18.2319         99.9000         -2.7493         -0.7167       -0.874263        2.547471
     2867.55705      2867.55085          4.7278          2.5519         18.2300         99.9000         -1.2935         -0.7473        0.072290        2.551911
     2867.55936      2867.55316         -3.4233          2.5502         18.2308         99.9000         -2.9583         -0.7473       -3.104188        2.550181
     2867.56168      2867.55548         -1.7538          2.5565         18.2281         99.9000         -3.7587         -0.7473       -3.062170        2.556470
     2867.56399      2867.55780          0.7445          2.5608         18.2262         99.9000          2.0570         -0.7167        1.982636        2.560849
     2867.56631      2867.56011         -1.3832          2.5351         18.2372         99.9000         -3.1029         -0.7473       -4.179569        2.535143
     2867.56862      2867.56243          4.4726          2.5570         18.2279         99.9000         -4.2808         -0.8743       -0.506477        2.557025
     2867.57094      2867.56474          6.0621          2.5520         18.2300         99.9000         -4.1799         -0.8743        5.888460        2.552007
     2867.57325      2867.56705          4.0364          2.5551         18.2287         99.9000         -1.4405         -0.8743        4.089283        2.555147
     2867.57557      2867.56937          2.2347          2.5540         18.2291         99.9000         -2.9086         -0.8743       -3.408409        2.553989
     2867.57788      2867.57168          1.2284          2.5585         18.2272         99.9000         -0.6425         -0.8743       -1.419913        2.558528
     2867.58020      2867.57400         -2.0731          2.5527         18.2297         99.9000         -0.3811         -0.7473       -1.384874        2.552710
     2867.58251      2867.57631         -3.0737          2.5554         18.2286         99.9000         -2.4432         -0.7473       -3.910448        2.555384
     2867.58483      2867.57863         -6.5843          2.5418         18.2344         99.9000         -0.4385         -0.7167       -4.557261        2.541783
     2867.58714      2867.58094          4.2710          2.5450         18.2330         99.9000         -3.9491         -0.7167        0.452509        2.544979
     2867.58946      2867.58326          1.0920          2.5418         18.2343         99.9000         -2.6221         -0.7167       -3.301302        2.541824
     2867.59177      2867.58557          2.1523          2.5447         18.2331         99.9000         -2.5386         -0.7167        0.530749        2.544656
     2867.59409      2867.58789          4.5711          2.5416         18.2344         99.9000         -4.4833         -0.7167        1.294820        2.541644
     2867.59640      2867.59020         -4.6982          2.5468         18.2322         99.9000         -2.0089         -0.7167       -3.510836        2.546804
     2867.59871      2867.59252          2.1121          2.5393         18.2354         99.9000         -0.9766         -0.7167        0.477266        2.539319
     2867.60103      2867.59483          6.3443          2.5718         18.2216         99.9000         -2.3227         -0.7473        1.804994        2.571760
     2867.60334      2867.59715          3.5698          2.5472         18.2321         99.9000          0.4050         -0.7167        0.593106        2.547173
     2867.60566      2867.59946          1.6380          2.5430         18.2338         99.9000         -1.2776         -0.5438        0.084302        2.542974
     2867.60798      2867.60178         -2.8462          2.5491         18.2312         99.9000         -1.2365         -0.5438       -5.534983        2.549061
     2867.61029      2867.60409         -0.1623          2.5720         18.2215         99.9000          0.3236         -0.5438       -4.067549        2.572005
     2867.61260      2867.60641         -1.4323          2.5425         18.2341         99.9000         -5.4000         -0.5123       -1.437945        2.542461
     2867.61492      2867.60872          0.8780          2.5418         18.2343         99.9000         -3.6873         -0.5123       -1.399354        2.541824
     2867.61723      2867.61104          6.1337          2.5429         18.2339         99.9000         -2.0210         -0.5438        2.011040        2.542901
     2867.61955      2867.61335          1.6609          2.5371         18.2363         99.9000         -4.4026         -0.7167       -2.627015        2.537112
     2867.62186      2867.61566         11.3243          2.5552         17.8050          0.2450         -3.5822         -0.7167        3.517903        2.555210
     2867.62418      2867.61798          5.7411          2.5524         18.2298         99.9000         -2.9443         -0.5842        2.465182        2.552364
     2867.62649      2867.62030         -8.2447          2.5252         18.2414         99.9000         -0.4798         -0.7167       -3.408887        2.525242
     2867.62881      2867.62261         -6.6678          2.5366         18.2366         99.9000         -5.8592         -0.7473       -5.368026        2.536577
     2867.63112      2867.62493          2.6755          2.5417         18.2344         99.9000          2.3737         -0.8194        0.690564        2.541734
     2867.63344      2867.62724          5.2156          2.5378         18.2360         99.9000          0.2350         -0.8194        1.648787        2.537818
     2867.63575      2867.62955          1.1375          2.5457         18.2327         99.9000          1.4040         -0.8255        0.602621        2.545681
     2867.63807      2867.63187          3.4919          2.5439         18.2334         99.9000          0.9167         -0.8743       -3.244093        2.543918
     2867.64038      2867.63418          1.9574          2.5498         18.2309         99.9000          0.1519         -0.8743       -1.174806        2.549803
     2867.64270      2867.63650          1.6716          2.5419         18.2343         99.9000         -0.4181         -0.8743       -0.512299        2.541931
     2867.64501      2867.63881          8.2732          2.5267         18.1458          0.3316         -6.2175         -1.0231       -0.747285        2.526695
     2867.64733      2867.64113          7.1407          2.5500         18.2308         99.9000         -2.6072         -0.8743        3.765579        2.550001
     2867.64964      2867.64344          3.3955          2.5384         18.2358         99.9000         -0.8740         -0.8743        0.395465        2.538395
