# reference_flux:        -36.7405
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2853.35568      2853.34947          6.6184          2.1888         18.3881          0.3591         -0.9902          0.9461        5.589893        2.188814
     2853.35800      2853.35178          5.7312          2.1953         18.3935         99.9000         -3.9387          0.9604        2.848797        2.195253
     2853.36031      2853.35410          8.2004          2.2239         18.1554          0.2944         -0.2689          0.9461        4.349989        2.223891
     2853.36263      2853.35641          1.6281          2.2048         18.3888         99.9000         -2.1972          0.9461        2.523158        2.204777
     2853.36494      2853.35873         -1.5623          2.1818         18.4001         99.9000         -0.7779          0.9461       -3.008220        2.181831
     2853.36726      2853.36104          4.9512          2.1951         18.3936         99.9000         -1.1675          0.9461       -1.278009        2.195063
     2853.36957      2853.36336          9.4827          2.1849         17.9977          0.2502         -1.1409          0.9604        0.960407        2.184876
     2853.37189      2853.36567         -8.1811          2.1907         18.3957         99.9000          6.2142          0.9461       -4.021883        2.190734
     2853.37420      2853.36799          1.5019          2.1921         18.3950         99.9000         -0.1606          0.9604        2.566918        2.192110
     2853.37652      2853.37030          0.4379          2.2070         18.3877         99.9000          4.3793          0.9604        2.486309        2.207017
     2853.37883      2853.37262         -0.2522          2.2084         18.3870         99.9000          4.7578          0.9604       -0.750907        2.208438
     2853.38115      2853.37493         -3.9741          2.1955         18.3934         99.9000         -0.0126          0.9604       -3.825768        2.195492
     2853.38346      2853.37725         -1.0798          2.2125         18.3850         99.9000          0.1321          0.9461       -2.925482        2.212545
     2853.38578      2853.37956         -4.5885          2.2028         18.3898         99.9000          2.9093          0.9461       -1.687781        2.202803
     2853.38809      2853.38188          3.5251          2.2204         18.3811         99.9000          2.0368          0.9192        2.659124        2.220411
     2853.39041      2853.38419          1.2105          2.2039         18.3892         99.9000          0.5972          0.9461        3.027967        2.203926
     2853.39272      2853.38650         -3.2523          2.2100         18.3862         99.9000          4.3708          0.9604        1.662089        2.210032
     2853.39504      2853.38882          7.4374          2.2203         18.2614          0.3241         -0.7778          0.9604        0.644428        2.220254
