# reference_flux:        118.3328
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2853.35592      2853.34947        122.3205          2.5955         15.2213          0.0230          0.9511         -0.2084        3.025708        2.595490
     2853.35824      2853.35178        116.1649          2.5255         15.2773          0.0236         -1.9575         -0.2084       -1.910582        2.525488
     2853.36055      2853.35410        116.7182          2.5537         15.2722          0.0238         -2.0290         -0.2084        0.548637        2.553734
     2853.36287      2853.35641        122.2508          2.5230         15.2219          0.0224          2.9363         -0.2084        4.274503        2.523012
     2853.36518      2853.35873        110.0738          2.5509         15.3358          0.0252          4.6674         -0.2084       -4.679491        2.550888
     2853.36749      2853.36104        113.7752          2.5238         15.2999          0.0241         -3.7327         -0.2084       -2.223960        2.523843
     2853.36981      2853.36336        117.9746          2.5439         15.2605          0.0234          0.0927         -0.2084       -2.353299        2.543898
     2853.37212      2853.36567        118.5643          2.5781         15.2551          0.0236         -0.8207         -0.2084        0.815726        2.578067
     2853.37444      2853.36799        124.2907          2.5106         15.2039          0.0219         -1.0713         -0.2084        1.891495        2.510578
     2853.37675      2853.37030        118.9722          2.5879         15.2514          0.0236          2.9302         -0.2084        2.176866        2.587929
     2853.37907      2853.37262        107.3882          2.5691         15.3626          0.0260          0.8324         -0.2084       -4.316277        2.569064
     2853.38138      2853.37493        120.0702          2.5880         15.2414          0.0234          2.3976         -0.2084        0.156345        2.587992
     2853.38370      2853.37725        119.3867          2.5457         15.2476          0.0232          2.1179         -0.0626        1.748770        2.545723
     2853.38601      2853.37956        116.0808          2.5378         15.2781          0.0237          3.6589         -0.0626       -1.389231        2.537821
     2853.38833      2853.38188        125.4418          2.5222         15.1939          0.0218         -2.2176         -0.0626        1.615487        2.522176
     2853.39064      2853.38419        123.8808          2.5745         15.2075          0.0226         -1.1001         -0.0626        4.059963        2.574533
     2853.39296      2853.38650        111.4660          2.5955         15.3221          0.0253          7.0947         -0.0626       -3.309061        2.595508
     2853.39527      2853.38882        118.3776          2.5690         15.2568          0.0236         -0.3981         -0.0626       -2.595543        2.569018
     2853.39759      2853.39113        108.6221          2.5669         15.3502          0.0257          3.8812         -0.2029       -2.533021        2.566922
     2853.39990      2853.39345        116.3447          2.5828         15.2756          0.0241         -1.5040         -0.0626       -5.792966        2.582835
     2853.40222      2853.39577        114.6648          2.5665         15.2914          0.0243          0.0122         -0.0626       -2.556537        2.566475
     2853.40453      2853.39808        114.9595          2.5594         15.2886          0.0242         -0.6953         -0.2029        2.628908        2.559365
     2853.40685      2853.40039        119.1293          2.6152         15.2500          0.0238         -1.1361         -0.2084       -0.062630        2.615186
     2853.40916      2853.40271        122.2266          2.6044         15.2221          0.0231          8.0400         -0.2251        2.371077        2.604408
     2853.41148      2853.40502        130.6705          2.5747         15.1496          0.0214          1.8448         -0.2084        2.803259        2.574657
     2853.41379      2853.40734        123.3304          2.5636         15.2123          0.0226         -2.5526         -0.2084        1.150301        2.563617
     2853.41611      2853.40965        119.9312          2.5732         15.2427          0.0233          3.2598         -0.2029        4.878729        2.573245
     2853.41842      2853.41197        119.9930          2.5740         15.2421          0.0233         -2.7308         -0.2029        0.053817        2.574049
     2853.42074      2853.41428        119.6485          2.5940         15.2452          0.0235          2.1761         -0.2029       -2.168841        2.594008
     2853.42305      2853.41660        120.6697          2.5814         15.2360          0.0232          0.8580         -0.2029       -0.418405        2.581371
     2853.42537      2853.41891        116.1986          2.5641         15.2770          0.0240         -1.8595         -0.2084       -0.424059        2.564059
     2853.42768      2853.42123        123.6899          2.6261         15.2092          0.0231          2.5216         -0.2084        2.948239        2.626051
     2853.42999      2853.42354        125.1582          2.5844         15.1964          0.0224         -1.9833         -0.2084        5.431516        2.584418
     2853.43231      2853.42586        119.1345          2.6536         15.2499          0.0242          1.1128         -0.2084        0.836173        2.653579
     2853.43462      2853.42817        111.9182          2.5530         15.3177          0.0248         -2.7762         -0.2084       -7.682395        2.552955
     2853.43694      2853.43049        123.7793          2.6277         15.2084          0.0230          0.9027         -0.2084       -0.538225        2.627693
     2853.43926      2853.43280        128.7959          2.5794         15.1652          0.0217          2.4590         -0.2029        2.021407        2.579432
     2853.44157      2853.43512        129.3353          2.5379         15.1607          0.0213         -3.5810         -0.0935        0.664229        2.537879
     2853.44388      2853.43743        120.2729          2.6228         15.2396          0.0237          3.3644         -0.0626       -0.208449        2.622800
     2853.44620      2853.43975        121.7399          2.6119         15.2264          0.0233          1.8705         -0.0935        1.990181        2.611891
     2853.44851      2853.44206        122.8228          2.5238         15.2168          0.0223         -0.5947         -0.0935        1.161790        2.523842
     2853.45083      2853.44438        120.3184          2.5545         15.2392          0.0231         -3.3026         -0.0935       -2.677911        2.554456
     2853.45314      2853.44669        117.9458          2.6057         15.2608          0.0240          1.9557         -0.0935       -0.839311        2.605713
     2853.45546      2853.44900        123.4696          2.6051         15.2111          0.0229         -0.5897         -0.0935       -5.228631        2.605126
     2853.45777      2853.45132        124.2767          2.5765         15.2040          0.0225         -1.2476         -0.0935        4.095263        2.576541
     2853.46009      2853.45363        108.1551          2.5369         15.3549          0.0255          2.6287         -0.2029       -0.682324        2.536915
     2853.46240      2853.45595        119.3200          2.5119         15.2482          0.0229          0.5601         -0.2029       -0.984172        2.511869
     2853.46472      2853.45826        120.7396          2.5850         15.2354          0.0232         -4.1213         -0.2029       -3.012879        2.585042
     2853.46703      2853.46058        115.1776          2.6015         15.2866          0.0245         -1.0010         -0.0935       -3.813870        2.601485
     2853.46935      2853.46289        122.0954          2.5705         15.2233          0.0229         -0.2353         -0.0935       -3.773975        2.570488
     2853.47166      2853.46521        120.7526          2.5799         15.2353          0.0232         -4.9108         -0.0935       -1.173360        2.579922
     2853.47398      2853.46752        120.8320          2.5495         15.2345          0.0229         -2.1417         -0.2029       -2.509175        2.549537
     2853.47629      2853.46984        127.6440          2.6052         15.1750          0.0222         -0.7900         -0.2029        0.837449        2.605175
     2853.47861      2853.47215        120.6445          2.6036         15.2362          0.0234          0.2854         -0.0935        1.239278        2.603574
     2853.48092      2853.47447        119.9016          2.5750         15.2429          0.0233          1.7924         -0.0935        2.529174        2.575001
     2853.48324      2853.47678        124.1890          2.5485         15.2048          0.0223         -0.2874         -0.0935       -0.225089        2.548487
     2853.48555      2853.47910        122.6907          2.5377         15.2180          0.0225         -2.1810         -0.0935        2.294848        2.537694
     2853.48787      2853.48141        118.6661          2.5984         15.2542          0.0238          0.2069         -0.0935       -2.049871        2.598424
     2853.49018      2853.48373        109.8774          2.5492         15.3377          0.0252          1.5095         -0.0935       -6.137540        2.549212
     2853.49250      2853.48604        123.4351          2.5681         15.2114          0.0226         -1.3205         -0.0626       -1.905729        2.568095
     2853.49481      2853.48836        119.9373          2.6195         15.2426          0.0237         -1.0496          0.0386       -1.423179        2.619493
     2853.49713      2853.49067        120.8957          2.6378         15.2340          0.0237         -0.5937          0.0386       -2.899044        2.637823
     2853.49944      2853.49299        114.9677          2.6183         15.2886          0.0247         -2.8567         -0.0626       -5.050326        2.618285
     2853.50176      2853.49530        119.7784          2.6067         15.2441          0.0236          2.2576         -0.0935       -1.332146        2.606674
     2853.50407      2853.49762        121.1963          2.5669         15.2313          0.0230         -2.2898         -0.1070        0.148710        2.566879
     2853.50638      2853.49993        113.5291          2.5832         15.3022          0.0247          1.8929         -0.0935        1.471840        2.583158
     2853.50870      2853.50225        119.6460          2.5869         15.2453          0.0235          2.0715         -0.1070       -0.202893        2.586931
     2853.51101      2853.50456        121.9819          2.5936         15.2243          0.0231         -0.7046         -0.2029        0.729677        2.593565
     2853.51333      2853.50688        133.3179          2.5817         15.1278          0.0210          0.3374         -0.2029        3.146287        2.581729
     2853.51564      2853.50919        120.4703          2.5826         15.2378          0.0233          0.6201         -0.2084       -0.757172        2.582612
     2853.51796      2853.51150        126.0372          2.5576         15.1888          0.0220         -2.3759         -0.2084        6.072304        2.557628
     2853.52027      2853.51382        105.0524          2.5724         15.3865          0.0266          1.9776         -0.2029       -2.270076        2.572366
     2853.52259      2853.51613        123.0769          2.5391         15.2146          0.0224         -2.7574         -0.2029        3.369201        2.539118
     2853.52490      2853.51845        125.1057          2.5744         15.1968          0.0223         -1.5757         -0.1070       -3.019178        2.574354
     2853.52722      2853.52076        119.8496          2.5742         15.2434          0.0233         -0.8983         -0.1070       -3.982327        2.574238
     2853.52953      2853.52308        115.5743          2.5855         15.2828          0.0243         -1.1398         -0.0935       -3.940213        2.585491
     2853.53185      2853.52539        117.3494          2.5959         15.2663          0.0240         -0.2117         -0.0935       -1.564530        2.595940
     2853.53416      2853.52771        129.2521          2.5573         15.1614          0.0215         -0.5579         -0.0935        3.603307        2.557290
     2853.53648      2853.53002        125.2472          2.5954         15.1956          0.0225         -0.2821         -0.0935       -3.833321        2.595439
     2853.53879      2853.53234        121.6410          2.5442         15.2273          0.0227         -2.3736         -0.0935        1.371128        2.544247
     2853.54111      2853.53465        131.2736          2.5949         15.1446          0.0215         -1.3321         -0.0935        0.891811        2.594907
     2853.54342      2853.53697        117.1367          2.5956         15.2683          0.0241         -2.7253         -0.0935       -0.093478        2.595600
     2853.54574      2853.53928        119.3866          2.5825         15.2476          0.0235         -2.6172         -0.0935        0.222710        2.582545
     2853.54805      2853.54160        123.2657          2.5561         15.2129          0.0225          5.9502         -0.0935       -1.304580        2.556142
     2853.55037      2853.54391        120.1080          2.5268         15.2411          0.0228         -0.8136          0.0007        0.038615        2.526827
     2853.55268      2853.54623        117.3016          2.5557         15.2667          0.0237         -4.7567          0.0007        1.086417        2.555672
     2853.55500      2853.54854        128.4841          2.6048         15.1679          0.0220         -2.5985          0.0007        4.486004        2.604848
     2853.55731      2853.55086        125.4199          2.5731         15.1941          0.0223         -3.5732         -0.0935       -0.762210        2.573105
     2853.55963      2853.55317        123.0794          2.5687         15.2145          0.0227          0.8444         -0.1070       -0.516927        2.568670
     2853.56194      2853.55549        119.5011          2.5368         15.2466          0.0230         -2.3633         -0.1070        0.822622        2.536789
     2853.56425      2853.55780        122.9431          2.5177         15.2157          0.0222         -2.1200         -0.0935        0.183540        2.517713
     2853.56657      2853.56012        126.5024          2.5512         15.1848          0.0219         -0.4983         -0.0935        0.373002        2.551208
     2853.56888      2853.56243        121.2310          2.5736         15.2310          0.0230          0.3398         -0.0935       -1.119998        2.573599
     2853.57120      2853.56475        126.0201          2.5668         15.1889          0.0221         -1.3424         -0.0935        3.222699        2.566776
     2853.57351      2853.56706        128.2667          2.6144         15.1697          0.0221         -1.9148         -0.0935       -0.954076        2.614356
     2853.57583      2853.56938        117.9941          2.5750         15.2603          0.0237          5.0394         -0.0935        3.645846        2.575020
     2853.57814      2853.57169        127.1140          2.5814         15.1795          0.0220          0.6845         -0.0935        8.108623        2.581375
     2853.58046      2853.57400        118.9750          2.5900         15.2514          0.0236          0.5716          0.0007       -1.358237        2.589960
     2853.58277      2853.57632        114.6632          2.5693         15.2914          0.0243          0.4698          0.0007       -3.467252        2.569276
     2853.58509      2853.57863        123.3364          2.6091         15.2123          0.0230          2.1856          0.0007        2.001000        2.609076
     2853.58740      2853.58095        122.2325          2.5685         15.2220          0.0228          1.5906          0.0386        1.033646        2.568492
     2853.58972      2853.58326        120.5295          2.5892         15.2373          0.0233         -1.3096          0.0744        2.518506        2.589205
     2853.59203      2853.58558        119.7534          2.5462         15.2443          0.0231         -1.9565          0.1487       -2.525995        2.546197
     2853.59435      2853.58789        116.9375          2.5468         15.2701          0.0236         -0.4322          0.1835       -1.430859        2.546789
     2853.59666      2853.59021        118.0183          2.5546         15.2601          0.0235         -6.7809          0.1835       -3.420932        2.554636
     2853.59898      2853.59252        121.6183          2.5312         15.2275          0.0226          4.6252          0.1835        2.240461        2.531177
     2853.60129      2853.59484        123.2889          2.5270         15.2127          0.0223          2.2620          0.2170        0.996708        2.526973
     2853.60361      2853.59715        123.4949          2.5804         15.2109          0.0227          0.3110          0.2170        2.552133        2.580438
     2853.60592      2853.59947        127.5419          2.5941         15.1759          0.0221         -1.3016          0.2071        3.368855        2.594139
     2853.60824      2853.60178        123.5259          2.5853         15.2106          0.0227         -4.5547          0.1835       -2.662419        2.585334
     2853.61055      2853.60410        130.7759          2.5341         15.1487          0.0210         -1.2470          0.1835        5.173105        2.534100
     2853.61287      2853.60641        125.0172          2.5836         15.1976          0.0224         -4.1679          0.1487        1.971660        2.583589
     2853.61518      2853.60873        119.8653          2.5552         15.2433          0.0231          1.3115          0.1487        0.570335        2.555175
