# reference_flux:         26.5549
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2853.35554      2853.34947         31.3993          2.0565         16.6977          0.0711          1.5858          1.0296        6.512431        2.056463
     2853.35785      2853.35178         24.5698          2.0658         16.9640          0.0913          2.8457          1.0296        0.428271        2.065812
     2853.36017      2853.35410         27.5499          2.0600         16.8397          0.0812          0.8920          1.0296        0.455740        2.059989
     2853.36248      2853.35641         32.3272          2.0576         16.6661          0.0691          0.5693          1.0296        4.595965        2.057631
     2853.36480      2853.35873         29.0331          2.0520         16.7828          0.0767          0.7340          1.0296       -0.208201        2.051977
     2853.36711      2853.36104         29.4982          2.0550         16.7655          0.0756         -2.5420          1.0296        0.302682        2.054972
     2853.36943      2853.36336         24.4861          2.0540         16.9677          0.0911          0.2683          1.0296        0.278180        2.054031
     2853.37174      2853.36567         26.3981          2.0567         16.8861          0.0846          0.3981          1.0296       -0.297654        2.056683
     2853.37406      2853.36799         25.7494          2.0568         16.9131          0.0867         -1.6961          1.0296        2.565639        2.056816
     2853.37637      2853.37030         32.2150          2.0661         16.6699          0.0696          2.4164          1.0296        5.074859        2.066098
     2853.37869      2853.37262         27.5657          2.0585         16.8391          0.0811         -2.2275          1.0471       -1.335910        2.058524
     2853.38100      2853.37493         23.4750          2.0640         17.0135          0.0955          1.9490          1.1510       -2.813441        2.064001
     2853.38332      2853.37725         26.9826          2.0587         16.8623          0.0828         -2.0700          1.1510        0.822676        2.058675
     2853.38563      2853.37956         32.3490          2.0633         16.6653          0.0693         -0.1595          1.1510        1.151046        2.063331
     2853.38795      2853.38188         25.2382          2.0519         16.9349          0.0883          2.6158          1.1510       -3.614751        2.051929
     2853.39026      2853.38419         34.5161          2.0604         16.5949          0.0648         -1.8196          1.1510        5.483746        2.060439
     2853.39257      2853.38650         26.0393          2.0685         16.9009          0.0862          0.8262          1.1571        2.814285        2.068528
     2853.39489      2853.38882         25.4215          2.0504         16.9270          0.0876          3.5680          1.1571        0.679445        2.050388
     2853.39720      2853.39113         30.1058          2.0540         16.7434          0.0741         -2.7785          1.1571       -0.069941        2.054013
     2853.39952      2853.39345         35.6076          2.0635         16.5611          0.0629         -0.9772          1.1510        6.401141        2.063464
     2853.40183      2853.39577         30.5910          2.0607         16.7260          0.0731         -3.2869          1.1510        1.549731        2.060705
     2853.40415      2853.39808         27.2288          2.0514         16.8524          0.0818         -0.8629          1.1510        2.400238        2.051439
     2853.40646      2853.40039         26.5328          2.0543         16.8805          0.0841          1.1305          1.1510        3.801235        2.054290
     2853.40878      2853.40271         20.8359          2.0549         17.1430          0.1071          0.3114          1.1510       -1.157557        2.054880
     2853.41109      2853.40502         32.5605          2.0640         16.6583          0.0688          2.3819          1.0471        0.147775        2.064011
     2853.41341      2853.40734         24.8331          2.0600         16.9524          0.0901          0.2959          1.0471       -1.033456        2.060049
     2853.41572      2853.40965         28.8487          2.0640         16.7897          0.0777         -2.4757          1.0296        3.410369        2.064011
     2853.41804      2853.41197         22.8263          2.0568         17.0439          0.0978         -2.9040          1.0296        1.157138        2.056832
     2853.42035      2853.41428         32.8634          2.0612         16.6482          0.0681         -3.3694          1.0296        2.406499        2.061157
