# reference_flux:          3.6891
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2853.35578      2853.34947          3.4318          2.3138         18.3364         99.9000         -0.7592         -0.1048        4.128708        2.313795
     2853.35810      2853.35178          3.9878          2.3061         18.3400         99.9000         -0.1369         -0.1048        1.031497        2.306055
     2853.36041      2853.35410          2.3318          2.2516         18.3660         99.9000         -2.7031         -0.1048       -2.486491        2.251577
     2853.36273      2853.35641         -1.3009          2.3296         18.3290         99.9000          0.2416         -0.1048        1.380075        2.329643
     2853.36504      2853.35873         -1.6683          2.3536         18.3179         99.9000          4.3953         -0.1048        0.064473        2.353563
     2853.36736      2853.36104         -3.4115          2.3497         18.3197         99.9000         -3.4077         -0.1048       -1.970648        2.349660
     2853.36967      2853.36336         -2.4210          2.2089         18.3867         99.9000          0.4581         -0.1324       -0.104767        2.208935
     2853.37199      2853.36567          1.8001          2.3230         18.3321         99.9000         -2.2360         -0.1048        0.668258        2.323018
     2853.37430      2853.36799          1.9219          2.3381         18.3250         99.9000          1.4316         -0.1048        1.343252        2.338098
     2853.37662      2853.37030          5.3307          2.3016         18.3421         99.9000          1.9240         -0.1048        2.006751        2.301588
     2853.37893      2853.37262         -7.3367          2.3397         18.3243         99.9000          0.1076         -0.0473       -4.737406        2.339659
     2853.38125      2853.37493         -1.2649          2.3428         18.3229         99.9000          5.2644         -0.0473        1.769355        2.342783
     2853.38356      2853.37725         -5.6565          2.3365         18.3258         99.9000         -2.1653         -0.0473        1.089733        2.336463
     2853.38588      2853.37956          3.0419          2.3836         18.3041         99.9000          0.7155         -0.0473        1.145490        2.383593
     2853.38819      2853.38188          2.8105          2.3947         18.2990         99.9000          1.5688         -0.0473       -1.900913        2.394748
     2853.39051      2853.38419         -2.5265          2.2541         18.3648         99.9000          2.0579         -0.0473       -2.087792        2.254107
     2853.39282      2853.38650         -0.7424          2.2950         18.3452         99.9000         -0.2067         -0.0473       -3.148261        2.295003
     2853.39514      2853.38882          2.7673          2.2441         18.3696         99.9000          1.9170         -0.0473       -0.231633        2.244140
     2853.39745      2853.39113          7.4655          2.3103         18.2574          0.3360         -2.4657         -0.0473        1.234441        2.310312
     2853.39977      2853.39345         -2.2469          2.1249         18.4289         99.9000         -1.3848         -0.0473       -3.345081        2.124863
     2853.40208      2853.39577          6.7728          2.1927         18.3631          0.3515          0.3208         -0.0473       -0.047255        2.192727
     2853.40440      2853.39808         -3.6632          2.1872         18.3975         99.9000         -2.2810         -0.0473       -0.820454        2.187222
     2853.40671      2853.40039          6.6043          2.2679         18.3581         99.9000         -2.7567         -0.0473        0.722169        2.267939
     2853.40903      2853.40271          2.1348          2.2869         18.3491         99.9000          4.4400         -0.0473       -4.120841        2.286927
     2853.41134      2853.40502          2.0743          2.3289         18.3293         99.9000          0.1225         -0.0473       -0.830900        2.328930
