# reference_flux:         50.4833
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2853.35596      2853.34947         57.0279          2.3412         16.0498          0.0446          1.3177          0.3087        6.958438        2.341250
     2853.35828      2853.35178         52.8384          2.3514         16.1326          0.0483          0.6948          0.3087       -0.234216        2.351443
     2853.36059      2853.35410         53.1291          2.3562         16.1267          0.0482         -3.9241          0.5075        0.088309        2.356174
     2853.36291      2853.35641         48.8503          2.3547         16.2178          0.0523         -2.2881          0.3087        3.784280        2.354730
     2853.36522      2853.35873         47.9176          2.3491         16.2388          0.0532          0.1646          0.5075       -1.216637        2.349102
     2853.36754      2853.36104         52.7993          2.3009         16.1334          0.0473         -1.2252          0.5075       -2.184350        2.300879
     2853.36985      2853.36336         55.5859          2.3821         16.0776          0.0465         -2.8897          0.3087       -0.088732        2.382118
     2853.37217      2853.36567         47.1685          2.3655         16.2559          0.0544         -1.3476          0.5075       -1.446483        2.365459
     2853.37448      2853.36799         56.4587          2.3446         16.0607          0.0451          0.1657          0.3087        1.422773        2.344616
     2853.37680      2853.37030         53.7688          2.2955         16.1137          0.0464         -3.5413          0.3087        2.686284        2.295479
     2853.37911      2853.37262         47.8350          2.3544         16.2406          0.0534          1.4854          0.3087       -3.788747        2.354425
     2853.38143      2853.37493         50.8304          2.3866         16.1747          0.0510          2.6554          0.3087        0.178158        2.386580
     2853.38374      2853.37725         52.2628          2.3353         16.1445          0.0485          5.1609          0.3087        0.537090        2.335322
     2853.38606      2853.37956         47.7301          2.3141         16.2430          0.0526         -3.0769          0.3087        2.667991        2.314088
     2853.38837      2853.38188         52.1947          2.3789         16.1459          0.0495         -2.3624          0.2397        3.208484        2.378907
     2853.39069      2853.38419         51.0497          2.3436         16.1700          0.0498          1.8271          0.2397        0.804186        2.343574
     2853.39300      2853.38650         52.4021          2.3714         16.1416          0.0491         -1.5800          0.3087       -1.326217        2.371384
     2853.39532      2853.38882         54.4964          2.4011         16.0991          0.0478          1.9662          0.3087        4.026400        2.401104
     2853.39763      2853.39113         53.0960          2.3568         16.1273          0.0482         -1.2173          0.3087        1.285468        2.356792
     2853.39995      2853.39345         46.1038          2.3412         16.2807          0.0551          1.2628          0.5075       -3.110474        2.341162
     2853.40226      2853.39577         55.1508          2.3548         16.0861          0.0464          1.7266          0.3087        0.991386        2.354761
     2853.40458      2853.39808         45.0219          2.3792         16.3064          0.0574         -0.2830          0.3087       -0.422575        2.379173
     2853.40689      2853.40039         47.3405          2.3696         16.2519          0.0543          3.5377          0.3087       -1.330754        2.369614
     2853.40921      2853.40271         50.1025          2.3967         16.1904          0.0519          3.2050          0.3087        0.911982        2.396653
     2853.41152      2853.40502         50.1455          2.3802         16.1894          0.0515          3.9990          0.3087       -2.389244        2.380205
     2853.41384      2853.40734         44.2744          2.3658         16.3246          0.0580         -1.4990          0.3087       -0.021466        2.365827
     2853.41615      2853.40965         48.9915          2.3455         16.2147          0.0520          1.1892          0.3087       -0.988881        2.345542
     2853.41847      2853.41197         46.0466          2.3645         16.2820          0.0558          4.5924          0.5075       -1.314526        2.364480
     2853.42078      2853.41428         46.0030          2.3692         16.2830          0.0559          2.4385          0.5371        1.244540        2.369246
     2853.42310      2853.41660         54.6623          2.3997         16.0958          0.0477         -1.2941          0.5371        5.044583        2.399658
     2853.42541      2853.41891         56.6230          2.3805         16.0575          0.0456          2.2568          0.5371        2.967696        2.380503
     2853.42773      2853.42123         55.2678          2.3839         16.0838          0.0468          1.1954          0.5075       -0.309951        2.383929
     2853.43004      2853.42354         57.1633          2.3754         16.0472          0.0451         -1.7511          0.5075        6.183410        2.375429
     2853.43236      2853.42586         54.0414          2.4056         16.1082          0.0483         -4.3164          0.5075        3.380094        2.405595
     2853.43467      2853.42817         50.9038          2.3639         16.1731          0.0504          0.2631          0.3087        2.477205        2.363937
     2853.43699      2853.43049         54.5227          2.3734         16.0986          0.0473          1.4271          0.5075       -0.142420        2.373414
     2853.43930      2853.43280         49.6612          2.3858         16.2000          0.0522         -0.7201          0.5075        0.308656        2.385770
     2853.44161      2853.43512         50.0544          2.3784         16.1914          0.0516          1.3229          0.5075        1.100650        2.378356
     2853.44393      2853.43743         43.1568          2.3712         16.3524          0.0597          0.3976          0.5371       -1.344863        2.371183
     2853.44624      2853.43975         48.5866          2.3508         16.2237          0.0525         -0.6599          0.5371       -1.536215        2.350847
     2853.44856      2853.44206         50.6809          2.3456         16.1779          0.0502         -0.2986          0.5075        0.962444        2.345592
     2853.45087      2853.44438         44.0828          2.3336         16.3293          0.0575          4.0659          0.5075       -0.163412        2.333640
     2853.45319      2853.44669         49.4605          2.3877         16.2044          0.0524         -1.4749          0.5075        2.565146        2.387685
     2853.45550      2853.44900         48.9587          2.3615         16.2154          0.0524          2.0953          0.5371       -1.963122        2.361461
     2853.45782      2853.45132         54.6819          2.3791         16.0954          0.0472         -1.0139          0.5747        3.294166        2.379098
     2853.46013      2853.45363         57.8991          2.3714         16.0333          0.0445         -2.6020          0.5747        3.392213        2.371442
     2853.46245      2853.45595         50.1769          2.3429         16.1887          0.0507         -1.8011          0.5747        0.853241        2.342896
     2853.46476      2853.45826         50.2207          2.3815         16.1878          0.0515          1.9308          0.5751       -1.398880        2.381465
     2853.46708      2853.46058         53.4978          2.3568         16.1192          0.0478         -1.9854          0.6645        3.880809        2.356761
     2853.46939      2853.46289         49.2260          2.3710         16.2095          0.0523         -3.2425          0.7613        1.630478        2.371042
     2853.47171      2853.46521         49.2225          2.4005         16.2096          0.0530          2.1470          0.7613       -2.007957        2.400540
     2853.47402      2853.46752         55.9054          2.3867         16.0714          0.0464          1.0445          0.6645        3.624329        2.386713
     2853.47634      2853.46984         48.0329          2.3807         16.2362          0.0538          1.5732          0.6645       -3.246970        2.380677
     2853.47865      2853.47215         52.6888          2.3717         16.1357          0.0489          1.2716          0.7613        0.160334        2.371749
     2853.48097      2853.47447         51.9814          2.3515         16.1504          0.0491         -1.9358          0.6645        0.239714        2.351491
     2853.48328      2853.47678         49.9013          2.3521         16.1947          0.0512          1.1373          0.5751        0.507509        2.352058
     2853.48560      2853.47910         50.6618          2.3866         16.1783          0.0511         -3.3270          0.5751       -2.557040        2.386628
     2853.48791      2853.48141         56.5275          2.3794         16.0594          0.0457          0.2149          0.6645        0.761268        2.379402
     2853.49023      2853.48373         53.9415          2.4110         16.1102          0.0485         -1.0003          0.6645        0.575059        2.410976
     2853.49254      2853.48604         53.9100          2.3755         16.1108          0.0478          0.7627          0.7584       -1.173081        2.375470
     2853.49486      2853.48836         53.8746          2.3082         16.1115          0.0465         -0.7385          0.7584        1.066798        2.308164
     2853.49717      2853.49067         48.1558          2.5022         16.2334          0.0564         -1.4680          0.7584       -1.236967        2.502231
     2853.49949      2853.49299         48.6655          2.3826         16.2219          0.0532          1.0542          0.7584       -1.379753        2.382567
     2853.50180      2853.49530         48.6207          2.3939         16.2229          0.0535          0.8150          0.7584        2.375220        2.393946
     2853.50412      2853.49762         55.0684          2.4009         16.0877          0.0473          3.0400          0.6645       -0.668664        2.400897
     2853.50643      2853.49993         54.8689          2.3840         16.0917          0.0472         -2.6867          0.7584        2.561576        2.383950
     2853.50875      2853.50225         46.6825          2.3943         16.2671          0.0557          2.5383          0.7584       -1.962800        2.394293
     2853.51106      2853.50456         45.8198          2.3725         16.2874          0.0562          1.8401          0.7584       -2.950592        2.372503
     2853.51338      2853.50688         43.4509          2.3956         16.3450          0.0599          2.0941          0.7584       -0.591264        2.395597
     2853.51569      2853.50919         48.0249          2.4384         16.2363          0.0551          5.6669          0.6645        1.032017        2.438360
     2853.51801      2853.51150         56.2929          2.4018         16.0639          0.0463         -3.9298          0.5751        1.301772        2.401785
     2853.52032      2853.51382         62.3538          2.3891         15.9528          0.0416         -3.6380          0.5751        4.789074        2.389133
     2853.52264      2853.51613         54.0155          2.3659         16.1087          0.0476         -0.6987          0.5751        4.775770        2.365879
     2853.52495      2853.51845         48.1893          2.3916         16.2326          0.0539          0.6250          0.5751       -0.617045        2.391564
     2853.52726      2853.52076         53.9922          2.3782         16.1092          0.0478         -3.1102          0.6645        2.262177        2.378210
     2853.52958      2853.52308         49.9101          2.4595         16.1945          0.0535          2.7977          0.6645        3.431956        2.459533
     2853.53189      2853.52539         48.5245          2.3688         16.2251          0.0530         -0.0559          0.7584       -5.500270        2.368833
     2853.53421      2853.52771         54.4854          2.3831         16.0993          0.0475         -0.0937          0.7613        6.314566        2.383106
     2853.53653      2853.53002         58.3680          2.3570         16.0246          0.0438         -0.9655          0.7584        4.287042        2.357036
     2853.53884      2853.53234         55.3285          2.3423         16.0826          0.0460         -2.7451          0.7584        1.540747        2.342251
     2853.54115      2853.53465         50.1792          2.3720         16.1887          0.0513         -3.9269          0.7613        1.062732        2.372037
     2853.54347      2853.53697         51.3561          2.3645         16.1635          0.0500          1.1357          0.7709        5.199721        2.364477
     2853.54578      2853.53928         55.0687          2.3966         16.0877          0.0473         -1.4913          0.8532       -1.782187        2.396592
     2853.54810      2853.54160         48.8196          2.4124         16.2185          0.0537          1.4738          0.8532       -2.144694        2.412356
     2853.55041      2853.54391         42.8711          2.3854         16.3596          0.0604          1.7627          0.8532       -1.273495        2.385367
     2853.55273      2853.54623         50.9547          2.3978         16.1720          0.0511          3.0714          0.8532       -0.516734        2.397846
     2853.55504      2853.54854         49.1438          2.3903         16.2113          0.0528          4.7786          0.8532       -0.108350        2.390342
     2853.55736      2853.55086         50.6030          2.3905         16.1796          0.0513          0.2105          0.7709       -0.143875        2.390539
     2853.55967      2853.55317         49.6017          2.3881         16.2013          0.0523         -0.7703          0.7709        2.656130        2.388141
     2853.56199      2853.55549         59.9757          2.3622         15.9951          0.0428          1.9763          0.7613        4.476246        2.362234
     2853.56430      2853.55780         50.6968          2.3714         16.1775          0.0508          2.5246          0.7613        0.664518        2.371434
