# reference_flux:          3.0373
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2853.35519      2853.34949         10.9642          2.0871         17.8401          0.2067          1.4529         -1.8925       -1.341149        2.087136
     2853.35751      2853.35180         11.6719          2.0926         17.7721          0.1947          4.8363         -1.7753        3.915975        2.092624
     2853.35982      2853.35412         14.3636          2.0969         17.5468          0.1585         -3.2726         -1.7753       -2.125073        2.096946
     2853.36214      2853.35643         14.6884          2.1012         17.5226          0.1553          1.5696         -1.7753       -0.394956        2.101194
     2853.36445      2853.35874          7.5851          2.1022         18.2401          0.3009          4.9860         -1.7753        2.244371        2.102210
     2853.36677      2853.36106          3.1328          2.0978         18.4428         99.9000          1.6416         -1.7753       -0.414242        2.097825
     2853.36908      2853.36337          0.9252          2.0878         18.4480         99.9000          3.2428         -1.7753       -3.192204        2.087798
     2853.37140      2853.36569          9.4974          2.0835         17.9960          0.2382          1.8610         -1.4537        1.652443        2.083550
     2853.37371      2853.36800          5.1488          2.0907         18.4465         99.9000          1.8623         -1.4537        0.118306        2.090667
     2853.37603      2853.37032         10.8913          2.0847         17.8473          0.2078         -0.5653         -1.4537       -0.386041        2.084674
     2853.37834      2853.37263          5.3213          2.0785         18.4528         99.9000          1.3096         -1.4338       -0.525727        2.078509
     2853.38066      2853.37495          4.4404          2.0696         18.4575         99.9000         -0.2892         -1.4338       -1.453744        2.069566
     2853.38297      2853.37726         13.2778          2.0967         17.6322          0.1714         -0.9928         -1.3667        2.978843        2.096707
     2853.38529      2853.37958          6.2309          2.0863         18.4488         99.9000          2.5791         -1.3667        5.127801        2.086253
     2853.38760      2853.38189          7.2635          2.0876         18.2871          0.3121          2.4226         -1.3667        0.840434        2.087641
     2853.38992      2853.38421          0.3336          2.0855         18.4492         99.9000          3.7432         -1.3411       -0.823309        2.085478
     2853.39223      2853.38652          2.1009          2.0884         18.4476         99.9000         -0.8475         -1.3411        1.291963        2.088429
     2853.39455      2853.38884          6.5096          2.0800         18.4061          0.3469         -0.9867         -1.0904       -2.508808        2.080038
     2853.39686      2853.39115         -1.6374          2.0921         18.4458         99.9000          1.9882         -1.0904       -0.417723        2.092054
     2853.39918      2853.39347          3.2149          2.0903         18.4467         99.9000          5.7174         -1.2838       -2.519326        2.090254
     2853.40149      2853.39578          3.8265          2.0832         18.4504         99.9000          1.5696         -1.2838       -2.527393        2.083231
     2853.40381      2853.39810          1.9029          2.0864         18.4487         99.9000          0.9666         -1.0904        1.374835        2.086401
     2853.40612      2853.40041          0.9385          2.0876         18.4481         99.9000         -1.0564         -1.0904       -3.915407        2.087573
     2853.40844      2853.40273         -0.8148          2.0852         18.4493         99.9000          3.3286         -1.0904       -3.230600        2.085246
     2853.41075      2853.40504         -3.1607          2.0802         18.4519         99.9000          3.9898         -1.0904       -5.387000        2.080221
     2853.41307      2853.40736          2.2663          2.0836         18.4502         99.9000         -0.0820         -1.0904       -2.502926        2.083593
     2853.41538      2853.40967          6.2062          2.0896         18.4471         99.9000          2.2211         -1.0045        2.490102        2.089562
     2853.41770      2853.41199         -6.0170          2.0901         18.4468         99.9000          0.3412         -0.8233       -3.961302        2.090133
     2853.42001      2853.41430          1.9502          2.0922         18.4457         99.9000          3.0487         -1.0045       -1.775316        2.092217
     2853.42232      2853.41662          2.1271          2.0921         18.4457         99.9000          0.5910         -1.0045       -0.551589        2.092126
     2853.42464      2853.41893         -1.3552          2.0863         18.4487         99.9000          1.6794         -1.0045       -0.389354        2.086329
     2853.42695      2853.42124         -4.7263          2.0867         18.4486         99.9000          2.9901         -0.8233        2.122764        2.086669
     2853.42927      2853.42356         -1.2075          2.0933         18.4451         99.9000          1.8622         -0.8233       -3.612527        2.093252
     2853.43158      2853.42587         -6.4854          2.0910         18.4463         99.9000          1.4674         -1.0045       -4.654230        2.091029
     2853.43390      2853.42819         -8.3602          2.0868         18.4485         99.9000          2.5629         -0.8233       -6.361832        2.086786
     2853.43621      2853.43050          1.5820          2.0910         18.4463         99.9000         -1.6268         -0.8233        0.901187        2.090975
     2853.43853      2853.43282          1.9721          2.1026         18.4403         99.9000          0.0361         -0.8233        1.930605        2.102619
     2853.44084      2853.43513         -7.4400          2.0895         18.4471         99.9000         -0.6010         -0.8233       -2.727408        2.089513
     2853.44316      2853.43745         -3.9342          2.0897         18.4470         99.9000          3.6366         -1.0045       -1.982196        2.089671
     2853.44547      2853.43976         -6.4970          2.0938         18.4449         99.9000         -1.4264         -1.0045       -3.588405        2.093794
     2853.44779      2853.44208         -5.4232          2.0918         18.4459         99.9000         -0.3234         -1.0045       -3.629999        2.091847
     2853.45010      2853.44439         -5.4969          2.0854         18.4492         99.9000         -1.4365         -1.0045        0.179975        2.085433
     2853.45242      2853.44671         -2.5242          2.0927         18.4454         99.9000         -2.1617         -1.0045       -4.732003        2.092733
     2853.45473      2853.44902         -4.6378          2.0869         18.4484         99.9000          2.4219         -0.8233       -5.773765        2.086893
     2853.45705      2853.45134         -5.3945          2.0911         18.4462         99.9000          0.8552         -0.8233       -1.892513        2.091122
     2853.45936      2853.45365         -5.9114          2.0946         18.4444         99.9000          1.3100         -0.8233       -1.897168        2.094633
     2853.46168      2853.45597         -8.4307          2.0850         18.4495         99.9000          0.3654         -0.8233       -2.750351        2.084952
     2853.46399      2853.45828         -5.2948          2.0870         18.4484         99.9000          0.4925         -0.8233       -4.797117        2.086950
     2853.46631      2853.46060         -8.6684          2.0765         18.4539         99.9000         -2.5449         -0.6686       -5.432125        2.076459
     2853.46862      2853.46291         -9.2923          2.0873         18.4482         99.9000          0.6352         -0.6686       -1.917189        2.087279
     2853.47094      2853.46523         -6.0930          2.0921         18.4457         99.9000         -1.1004         -0.6686        1.270437        2.092117
     2853.47325      2853.46754         -4.3019          2.0787         18.4527         99.9000         -1.7191         -0.6686       -2.984152        2.078743
     2853.47557      2853.46986         -3.1257          2.0935         18.4450         99.9000         -0.9285         -0.5516        0.193115        2.093478
     2853.47788      2853.47217         -0.2317          2.0844         18.4497         99.9000         -0.3424         -0.5516       -3.184272        2.084430
     2853.48020      2853.47449          0.6299          2.0925         18.4455         99.9000         -1.1587         -0.5516       -1.433826        2.092482
