# reference_flux:          5.0155
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2853.34934      2853.34948          9.2997          1.9412         18.0188          0.2266         -0.1413          0.5023        8.340382        1.941185
     2853.35165      2853.35180          3.9437          1.9391         18.5282         99.9000          1.5729          0.5023        0.502314        1.939129
     2853.35397      2853.35411         -3.8327          1.9330         18.5316         99.9000          0.8132          0.5023        1.266704        1.933043
     2853.35628      2853.35642         -1.6476          1.9318         18.5323         99.9000         -2.7119          0.5023       -2.714124        1.931810
     2853.35860      2853.35874          1.3805          1.9312         18.5326         99.9000         -4.1156          0.5023       -3.485446        1.931172
     2853.36091      2853.36105          9.1684          1.9392         18.0343          0.2296         -0.7547          0.4017        5.984970        1.939194
     2853.36323      2853.36337          2.8306          1.9352         18.5304         99.9000         -2.0579          0.4017       -4.711100        1.935231
     2853.36554      2853.36568         -1.4308          1.9323         18.5320         99.9000          1.3415          0.4017       -2.421537        1.932282
     2853.36786      2853.36800          1.8762          1.9348         18.5306         99.9000          2.0298          0.4017        2.785114        1.934824
     2853.37017      2853.37031          1.2680          1.9348         18.5306         99.9000          0.3079          0.0343        0.023584        1.934756
     2853.37249      2853.37263          5.9783          1.9398         18.4986          0.3523         -0.2411          0.0343        0.698569        1.939849
     2853.37480      2853.37494          9.7859          1.9366         17.9635          0.2149         -4.5310          0.0343        2.823451        1.936598
     2853.37712      2853.37726         -2.5195          1.9294         18.5337         99.9000         -1.3125          0.0343        2.566146        1.929356
     2853.37943      2853.37957          1.6459          1.9323         18.5320         99.9000         -3.5421          0.4017        2.265193        1.932339
     2853.38175      2853.38189         14.1565          1.9374         17.5626          0.1486         -6.4426          0.4017        4.451463        1.937358
     2853.38406      2853.38420          4.1881          1.9352         18.5304         99.9000         -2.3046          0.4017        1.826343        1.935243
     2853.38638      2853.38652         -4.0827          1.9283         18.5343         99.9000         -2.8674          0.4017       -4.361862        1.928283
