# reference_flux:         -3.0012
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2882.33021      2882.32399         -5.4302          3.4275         17.9098         99.9000         -1.3575          0.8440       -4.312657        3.427505
     2882.33253      2882.32631          0.5308          3.2783         17.9581         99.9000         -2.9868          1.0526       -0.275390        3.278323
     2882.33484      2882.32862          0.9545          3.3849         17.9233         99.9000        -12.3196          1.0526        1.052614        3.384867
     2882.33716      2882.33094         -2.0550          3.4429         17.9049         99.9000         -6.6935          1.0526        0.821661        3.442915
     2882.33947      2882.33325          2.6595          3.2630         17.9632         99.9000         -1.5986          1.0526       -5.137426        3.262973
     2882.34179      2882.33557         -5.8752          3.3898         17.9217         99.9000         -6.6656          1.0526       -2.138790        3.389840
     2882.34410      2882.33788          1.9410          3.4464         17.9038         99.9000         -7.9928          1.0526        0.842729        3.446353
     2882.34642      2882.34020          8.2096          3.4254         17.9104         99.9000         -7.4823          0.8911        4.850650        3.425434
     2882.34873      2882.34251         12.0640          3.4438         17.7363          0.3099         -9.1428          0.8440        5.688540        3.443779
     2882.35105      2882.34483          0.7109          3.4710         17.8960         99.9000         -6.9466          0.8440        2.948806        3.471048
     2882.35336      2882.34714          5.7594          3.3814         17.9245         99.9000         -9.0281          0.8911       -0.515555        3.381388
     2882.35568      2882.34946          6.8565          3.4276         17.9097         99.9000         -5.6131          1.0526        9.863719        3.427573
     2882.35799      2882.35177         -3.9339          3.2993         17.9512         99.9000         -6.4682          0.8911        2.177434        3.299258
     2882.36031      2882.35408         -0.5326          3.4724         17.8956         99.9000         -2.2458          1.0526        3.377367        3.472444
     2882.36262      2882.35640          6.9010          3.5345         17.8764         99.9000         -3.2070          1.0526        4.122905        3.534503
     2882.36494      2882.35871          5.9908          3.4288         17.9093         99.9000         -3.8656          1.0526        0.843998        3.428808
     2882.36725      2882.36103          4.0404          3.5239         17.8796         99.9000         -9.1156          1.0526        5.969020        3.523942
     2882.36957      2882.36334         -4.8086          3.4812         17.8929         99.9000         -7.3760          1.0526       -4.764355        3.481224
     2882.37188      2882.36566          1.1647          3.4298         17.9090         99.9000         -4.1747          1.2396       -0.772551        3.429760
     2882.37420      2882.36797         -1.5911          3.4977         17.8877         99.9000         -4.9274          1.2396        7.296402        3.497743
     2882.37651      2882.37029          2.4858          3.4658         17.8977         99.9000         -7.5276          1.0526        0.316924        3.465804
     2882.37883      2882.37260          1.5819          3.5086         17.8844         99.9000         -7.8599          1.2396       -1.314606        3.508628
     2882.38114      2882.37492         -2.6922          3.4666         17.8974         99.9000         -7.1327          1.2396        0.504263        3.466621
     2882.38346      2882.37723         14.6359          3.4778         17.5265          0.2580        -12.7472          1.2396        2.304922        3.477835
     2882.38577      2882.37955          9.3156          3.5356         17.8760         99.9000         -7.4919          1.2396       -1.270248        3.535581
     2882.38809      2882.38186         11.5497          3.4114         17.7836          0.3207         -9.7631          1.3635        5.079628        3.411361
     2882.39040      2882.38418          7.9735          3.4548         17.9011         99.9000        -10.0681          1.3635        2.562303        3.454782
     2882.39272      2882.38649          2.8827          3.4484         17.9032         99.9000         -5.6253          1.3635        3.278959        3.448379
     2882.39503      2882.38881         -1.1298          3.4435         17.9047         99.9000         -7.9365          1.2396        1.363497        3.443533
     2882.39735      2882.39112        -10.5235          3.4157         17.9135         99.9000         -8.3034          1.2396        0.254161        3.415702
     2882.39966      2882.39344          4.9478          3.4189         17.9125         99.9000         -7.8801          1.3635        1.657539        3.418905
