# reference_flux:       -127.3640
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2882.32794      2882.32400          2.1812          3.0699         18.0294         99.9000         -0.7049          2.9447        4.343194        3.069876
     2882.33026      2882.32631          3.4420          3.0703         18.0293         99.9000          7.4358          2.9447        8.535111        3.070258
     2882.33257      2882.32863         -3.0719          3.0653         18.0310         99.9000          5.5182          2.9447        3.108971        3.065348
     2882.33489      2882.33094          2.1383          3.0654         18.0310         99.9000          4.6116          2.9447       -0.111170        3.065428
     2882.33720      2882.33326          3.7414          3.0600         18.0329         99.9000         -3.2047          2.9447        2.922897        3.059960
     2882.33952      2882.33557         -5.8593          3.0567         18.0341         99.9000          2.4084          2.9447        3.014939        3.056667
     2882.34183      2882.33789          3.0779          3.0613         18.0324         99.9000         -4.1681          2.9266        0.665405        3.061264
     2882.34415      2882.34020          5.6009          3.0511         18.0360         99.9000         -0.0315          2.9266        1.490499        3.051146
     2882.34646      2882.34252          1.1909          3.0512         18.0360         99.9000          2.4891          2.9266        2.395638        3.051229
     2882.34878      2882.34483         -4.4778          3.0460         18.0379         99.9000          7.7670          2.9447       -0.001235        3.046035
     2882.35109      2882.34715          1.1316          3.0438         18.0387         99.9000          6.1180          2.9447       -2.520217        3.043776
     2882.35341      2882.34946          4.0265          3.0424         18.0392         99.9000          7.3281          2.9447       11.701318        3.042404
     2882.35572      2882.35178         -2.1833          3.0495         18.0366         99.9000          5.2445          2.9447        1.928413        3.049549
     2882.35804      2882.35409         -3.9554          3.0365         18.0413         99.9000          2.3054          2.9266        0.237779        3.036518
     2882.36035      2882.35640         -6.8495          3.0333         18.0424         99.9000          6.4320          2.9229       -1.411268        3.033347
     2882.36267      2882.35872         -2.6396          3.0191         18.0475         99.9000          0.3559          2.9229       -2.436896        3.019066
     2882.36498      2882.36103         -0.2276          3.0276         18.0445         99.9000          4.8744          2.9229        1.821996        3.027564
     2882.36730      2882.36335         -3.0012          3.0225         18.0463         99.9000          4.3211          2.9229        6.474220        3.022525
     2882.36961      2882.36566         11.7716          3.0263         17.7629          0.2791          1.3061          2.9229        4.093844        3.026324
     2882.37193      2882.36798         -5.6231          3.0099         18.0508         99.9000          2.4916          2.9229        5.025021        3.009943
     2882.37424      2882.37029        -13.9821          3.0092         18.0511         99.9000          9.1847          2.4890       -0.923311        3.009228
     2882.37656      2882.37261         -0.3806          3.0056         18.0524         99.9000          0.1535          2.4571        5.938049        3.005573
     2882.37887      2882.37492         -0.8529          3.0012         18.0540         99.9000          4.8810          2.4890        5.988072        3.001176
     2882.38119      2882.37724          0.3640          3.0046         18.0527         99.9000          3.1917          2.9229        9.922129        3.004634
     2882.38350      2882.37955          5.4907          2.9940         18.0566         99.9000         -4.0767          2.9229        7.615268        2.994031
     2882.38582      2882.38187         -0.3723          2.9917         18.0574         99.9000          5.0391          2.5652        2.944694        2.991676
     2882.38813      2882.38418          0.7658          2.9894         18.0582         99.9000          4.7507          2.9229        8.505939        2.989429
     2882.39045      2882.38650         -7.7026          2.9874         18.0590         99.9000          2.7969          2.9229       -2.258406        2.987357
     2882.39276      2882.38881         -0.9173          2.9874         18.0590         99.9000          2.9322          2.5652        0.904376        2.987417
     2882.39508      2882.39113         -3.8177          2.9790         18.0620         99.9000          6.7050          2.4890        6.960718        2.979023
     2882.39739      2882.39344         -0.2274          2.9799         18.0617         99.9000          4.8581          2.4890        1.779641        2.979871
     2882.39971      2882.39576         -6.9767          2.9772         18.0627         99.9000          2.6094          2.4571       -2.832695        2.977193
     2882.40202      2882.39807          0.6079          2.9751         18.0634         99.9000          4.1312          2.4571        1.089173        2.975147
     2882.40434      2882.40039          3.4482          2.9749         18.0635         99.9000          0.1371          2.4571        7.931465        2.974887
     2882.40665      2882.40270          0.3273          2.9701         18.0653         99.9000          1.3830          2.4890        3.496920        2.970051
     2882.40897      2882.40502         -5.1079          2.9663         18.0667         99.9000          4.1160          2.4652        5.060443        2.966306
     2882.41128      2882.40733          2.3150          2.9668         18.0665         99.9000          5.0051          2.4652        5.411818        2.966825
     2882.41359      2882.40965         -2.0308          2.9634         18.0677         99.9000          1.4217          2.4571        0.263982        2.963404
     2882.41591      2882.41196          7.6199          2.9592         18.0693         99.9000          2.0769          2.4652        5.698807        2.959222
     2882.41822      2882.41428          6.9924          2.9623         18.0681         99.9000          0.5520          2.4652        5.641786        2.962265
     2882.42054      2882.41659          3.2915          2.9604         18.0688         99.9000          4.2426          2.4652        3.327376        2.960388
     2882.42285      2882.41890         12.9317          2.9600         17.6609          0.2485          2.8346          2.4890        9.824266        2.959960
     2882.42517      2882.42122         -3.0303          2.9512         18.0722         99.9000          5.9360          2.4890       -0.133316        2.951196
     2882.42748      2882.42353         -9.0053          2.9479         18.0734         99.9000          5.7689          2.4652       -0.856013        2.947937
     2882.42980      2882.42585          1.6519          2.9528         18.0716         99.9000          4.1877          2.4890        4.227787        2.952760
     2882.43211      2882.42816         -1.2186          2.9459         18.0742         99.9000          3.4527          2.5652        1.828098        2.945880
     2882.43443      2882.43048         -6.7375          2.9456         18.0743         99.9000          5.7605          2.5652       -3.837259        2.945632
     2882.43674      2882.43279         -8.2396          2.9353         18.0781         99.9000          6.2887          2.6385        3.633520        2.935331
     2882.43906      2882.43511         -0.7733          2.9415         18.0758         99.9000          3.5923          2.8343        9.004357        2.941483
     2882.44137      2882.43742          6.7937          2.9438         18.0749         99.9000          2.8004          2.6385        3.475221        2.943822
     2882.44369      2882.43974          1.4818          2.9419         18.0756         99.9000         -0.1076          2.5652        2.488985        2.941939
     2882.44600      2882.44205         -2.6672          2.9431         18.0752         99.9000          7.1481          2.5652        0.899323        2.943102
     2882.44832      2882.44437          0.2106          2.9374         18.0773         99.9000          4.6845          2.4890        0.749015        2.937352
     2882.45063      2882.44668          2.5032          2.9395         18.0765         99.9000          3.4232          2.4890        7.370266        2.939484
     2882.45295      2882.44900          2.4743          2.9415         18.0758         99.9000          8.9042          2.4890       -0.585552        2.941473
     2882.45526      2882.45131         -3.9058          2.9307         18.0798         99.9000          2.3547          2.4890       -1.048109        2.930680
     2882.45758      2882.45363          8.6818          2.9365         18.0776         99.9000         -0.5885          2.4652        2.926593        2.936456
     2882.45989      2882.45594          7.3048          2.9307         18.0798         99.9000         -2.7407          2.4571        2.152503        2.930687
     2882.46221      2882.45826          3.9854          2.9326         18.0790         99.9000          0.7531          2.4571        4.725190        2.932644
     2882.46452      2882.46057         -1.0407          2.9300         18.0800         99.9000          3.3811          2.4571        1.392929        2.930013
     2882.46684      2882.46289          6.6936          2.9326         18.0791         99.9000          0.8816          2.4478        7.707229        2.932583
     2882.46915      2882.46520         -0.3792          2.9288         18.0805         99.9000          2.6178          2.4571        0.458716        2.928836
     2882.47147      2882.46752          9.2641          2.9375         18.0230          0.3443          3.5879          2.4652        6.294125        2.937533
     2882.47378      2882.46983          7.6007          2.9307         18.0798         99.9000         -1.9710          2.4652        7.112585        2.930683
     2882.47610      2882.47215          3.6906          2.9267         18.0813         99.9000          1.4353          2.4890        2.257131        2.926675
     2882.47841      2882.47446         -3.9735          2.9294         18.0802         99.9000          4.5143          2.4890        2.457148        2.929429
     2882.48073      2882.47678         -5.7535          2.9209         18.0834         99.9000         -0.9382          2.4890        1.791328        2.920946
     2882.48304      2882.47909          3.7439          2.9355         18.0780         99.9000         -1.8975          2.5652       -1.259004        2.935465
     2882.48535      2882.48140         -8.7509          2.9218         18.0831         99.9000          1.4562          2.5652       -5.345019        2.921758
     2882.48767      2882.48372         -2.0050          2.9214         18.0832         99.9000          0.7399          2.5652        4.075347        2.921355
     2882.48998      2882.48603         -0.5474          2.9231         18.0826         99.9000          3.1425          2.5652        1.195555        2.923144
     2882.49230      2882.48835         -6.4420          2.9209         18.0834         99.9000          0.7849          2.6385        6.154568        2.920864
     2882.49461      2882.49066         -0.8606          2.9219         18.0830         99.9000         -2.9607          2.6385        8.340017        2.921915
     2882.49693      2882.49298          0.2409          2.9205         18.0835         99.9000         -3.2452          2.5652       -3.060428        2.920514
     2882.49924      2882.49529         -0.6701          2.9235         18.0824         99.9000          0.7140          2.4890        1.201720        2.923527
     2882.50156      2882.49761          0.7347          2.9229         18.0827         99.9000          1.1966          2.4890        6.761422        2.922902
     2882.50387      2882.49992          3.9615          2.9227         18.0827         99.9000          0.4742          2.4652        3.575038        2.922720
     2882.50619      2882.50224         -7.6583          2.9201         18.0837         99.9000          3.1073          2.4571       -1.769994        2.920116
     2882.50850      2882.50455          8.5555          2.9249         18.0819         99.9000         -3.3796          2.4478        2.565186        2.924859
     2882.51082      2882.50687         -0.6799          2.9242         18.0822         99.9000          0.1988          2.4478        4.832241        2.924162
     2882.51313      2882.50918          5.3345          2.9258         18.0816         99.9000         -1.9598          2.2584        1.318780        2.925782
     2882.51545      2882.51150         -5.5869          2.9226         18.0828         99.9000          1.4101          2.2571       -2.354866        2.922577
     2882.51776      2882.51381         -1.5205          2.9223         18.0829         99.9000         -0.5355          2.2571        1.414322        2.922339
     2882.52008      2882.51613          6.2643          2.9286         18.0805         99.9000          1.1081          2.2571        7.886966        2.928598
     2882.52239      2882.51844         -3.9080          2.9257         18.0816         99.9000         -0.0666          2.1525        0.806951        2.925658
     2882.52471      2882.52076         -0.6237          2.9178         18.0846         99.9000          0.6449          2.1525        4.581365        2.917818
     2882.52702      2882.52307          4.5034          2.9309         18.0797         99.9000         -1.6531          2.1525        2.854689        2.930865
     2882.52934      2882.52539          8.9105          2.9319         18.0653          0.3573         -3.9151          2.2571        6.559903        2.931900
     2882.53165      2882.52770          2.4939          2.9289         18.0804         99.9000         -3.3677          2.2571        2.465240        2.928903
     2882.53397      2882.53002         -6.0034          2.9265         18.0813         99.9000         -0.8944          2.1525        2.638525        2.926492
     2882.53628      2882.53233          3.1447          2.9416         18.0757         99.9000          0.2938          2.1525        2.258431        2.941622
     2882.53860      2882.53465          9.7378          2.9339         17.9689          0.3271         -3.5352          1.9359        3.377836        2.933852
     2882.54091      2882.53696          6.9117          2.9352         18.0781         99.9000         -3.9372          1.9359       -1.046665        2.935208
