# reference_flux:         63.6596
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2882.32590      2882.32400         70.8650          2.9444         15.8139          0.0451         -4.5276          2.0776        5.999367        2.944449
     2882.32821      2882.32632         71.2226          2.9405         15.8085          0.0448        -11.9488          2.0776        6.886064        2.940517
     2882.33052      2882.32863         59.7463          2.9371         15.9992          0.0534         -4.7053          2.0776        0.320069        2.937065
     2882.33284      2882.33095         68.2345          2.9364         15.8550          0.0467        -11.5176          2.0776        4.720515        2.936429
     2882.33515      2882.33326         72.0552          2.9374         15.7958          0.0443         -9.9462          2.0776        6.887615        2.937437
     2882.33747      2882.33558         70.2456          2.9350         15.8235          0.0454        -11.5674          2.0776        5.109637        2.935035
     2882.33978      2882.33789         57.5089          2.9306         16.0407          0.0553         -3.0946          2.0776       -0.416588        2.930593
     2882.34210      2882.34021         73.5242          2.9319         15.7739          0.0433         -9.4337          2.0776        4.388632        2.931941
     2882.34441      2882.34252         63.6310          2.9278         15.9308          0.0500         -5.7654          2.0776        5.401814        2.927797
     2882.34673      2882.34484         74.9337          2.9293         15.7533          0.0424         -9.9641          2.0776        5.584003        2.929324
     2882.34904      2882.34715         53.6232          2.9179         16.1166          0.0591         -9.8973          2.0776       -3.040516        2.917882
     2882.35136      2882.34947         63.6442          2.9199         15.9306          0.0498         -6.9884          2.0776        2.350309        2.919917
     2882.35367      2882.35178         56.1996          2.9153         16.0657          0.0563         -6.1738          2.0776        1.267982        2.915311
     2882.35599      2882.35410         65.7159          2.9145         15.8958          0.0482         -9.2259          2.0776        1.323467        2.914465
     2882.35830      2882.35641         63.2617          2.9129         15.9371          0.0500         -7.1939          2.2128        0.469622        2.912949
     2882.36062      2882.35873         69.0240          2.9096         15.8425          0.0458         -7.9146          2.2128        4.395271        2.909558
     2882.36293      2882.36104         66.5250          2.9076         15.8825          0.0475        -10.1217          2.2128        3.605227        2.907602
     2882.36525      2882.36336         72.6004          2.9070         15.7877          0.0435        -11.8180          2.0776        7.949025        2.906971
     2882.36756      2882.36567         56.4563          2.8981         16.0607          0.0557         -3.8074          2.0776       -1.206941        2.898078
     2882.36988      2882.36798         71.9398          2.8992         15.7976          0.0438         -8.9169          2.0776        3.958067        2.899189
     2882.37219      2882.37030         65.2853          2.8930         15.9030          0.0481         -9.4253          2.0776        1.912609        2.893008
     2882.37451      2882.37262         60.4522          2.8873         15.9865          0.0519         -7.3771          2.2128       -0.600511        2.887287
