# reference_flux:        845.0020
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2962.80007      2962.79386        847.7911          5.9496         13.1193          0.0076       -102.6433          7.4208       13.247831        5.949605
     2962.80238      2962.79618        855.9940          6.0884         13.1088          0.0077       -490.3611          7.4208        1.587362        6.088363
     2962.80470      2962.79849        889.8039          6.1864         13.0668          0.0075       -523.8134          8.3687       12.918757        6.186426
     2962.80701      2962.80081        874.7675          6.0638         13.0853          0.0075       -127.8645          8.3687       17.760924        6.063795
     2962.80933      2962.80312        900.7037          5.9788         13.0535          0.0072       -473.7994          8.3687       21.365401        5.978812
     2962.81164      2962.80544        866.0541          6.1648         13.0961          0.0077       -495.9286          8.3687       11.267657        6.164785
     2962.81396      2962.80775        863.0646          6.2203         13.0999          0.0078       -520.9324          8.3687        6.386277        6.220288
     2962.81627      2962.81007        861.7278          6.4977         13.1016          0.0082       -542.2621          8.3687       -7.212759        6.497708
     2962.81859      2962.81238        841.9704          6.2678         13.1268          0.0081       -499.7748          8.3687       -5.652442        6.267818
     2962.82090      2962.81470        849.4133          6.0945         13.1172          0.0078       -454.7135          8.3687        4.579910        6.094520
     2962.82321      2962.81701        864.8060          6.4969         13.0977          0.0082       -541.8704          8.3687        4.628847        6.496915
     2962.82553      2962.81933        840.4391          6.5386         13.1287          0.0084       -557.6057          8.3687       -6.680679        6.538634
     2962.82784      2962.82164        862.5312          6.2818         13.1006          0.0079       -515.6473          7.4208        9.274852        6.281809
     2962.83016      2962.82396        865.4240          6.4499         13.0969          0.0081       -538.7832          7.4208       14.422780        6.449854
     2962.83247      2962.82627        843.5115          6.6353         13.1248          0.0085       -574.6948          7.2485       -6.152096        6.635337
     2962.83479      2962.82859        872.9483          6.4342         13.0875          0.0080       -518.6935          7.2485       -2.890549        6.434206
     2962.83710      2962.83090        858.8270          6.7376         13.1052          0.0085       -462.1003          7.0794        4.297350        6.737585
