# reference_flux:        581.3387
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2962.80013      2962.79386        517.0087          5.9358         13.6563          0.0125        -15.2706        -11.7129      -12.648817        5.935790
     2962.80245      2962.79618        506.1370          5.9351         13.6793          0.0127        -27.5984        -11.7018      -13.450954        5.935102
     2962.80477      2962.79849        506.9322          5.9593         13.6776          0.0128        -17.0204        -11.7018        3.699187        5.959335
     2962.80708      2962.80081        505.2872          5.9476         13.6812          0.0128        -20.6777        -11.7018      -10.705392        5.947577
     2962.80939      2962.80312        494.9620          6.0036         13.7036          0.0132        -23.0841        -11.7018       -3.960253        6.003600
     2962.81171      2962.80544        471.9535          6.0382         13.7553          0.0139        -17.2729        -11.7018      -20.831533        6.038211
     2962.81402      2962.80775        485.3456          6.0263         13.7249          0.0135        -17.1991        -11.7018       -5.967973        6.026258
     2962.81634      2962.81007        475.3509          6.1000         13.7475          0.0139        -18.9544        -11.7018      -17.039682        6.100035
     2962.81865      2962.81238        632.7781          6.6026         13.4369          0.0113        -23.9803        -11.7018        6.005353        6.602627
     2962.82097      2962.81470        486.6243          6.0170         13.7220          0.0134        -14.8293        -11.7018       -6.920123        6.017037
     2962.82328      2962.81701        481.2515          6.1351         13.7341          0.0138        -12.2102        -11.7018       -6.236959        6.135076
     2962.82560      2962.81933        465.8408          6.1964         13.7694          0.0144        -22.3778        -11.4687       -8.419630        6.196359
     2962.82791      2962.82164        493.0970          6.0614         13.7077          0.0133        -41.9243        -11.7018      -11.135090        6.061396
     2962.83023      2962.82396        466.5851          6.1756         13.7677          0.0144        -28.8436        -11.4687      -11.468709        6.175574
     2962.83254      2962.82627        455.2042          6.1820         13.7945          0.0147        -15.4072        -11.4687       -5.020141        6.182029
     2962.83486      2962.82859        411.9343          6.4009         13.9029          0.0169        -13.3620        -11.4687       -5.613446        6.400868
     2962.83717      2962.83090        442.6612          6.3005         13.8248          0.0155        -31.9560        -11.4687       -6.880233        6.300482
     2962.83949      2962.83322        490.8750          6.1842         13.7126          0.0137        -21.9216        -11.4687      -12.050964        6.184175
