# reference_flux:         37.2280
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2962.79979      2962.79386         40.3070          3.2447         16.4266          0.0874         -2.0454         -0.1808        2.322506        3.244718
     2962.80210      2962.79618         35.0720          3.0573         16.5776          0.0946         -3.8062         -0.1808       -0.650005        3.057252
     2962.80442      2962.79849         39.5612          3.1019         16.4468          0.0851         -5.6066         -0.2129        2.088541        3.101864
     2962.80674      2962.80081         41.2369          3.1790         16.4018          0.0837         -3.9544         -0.2129        0.095819        3.178958
     2962.80905      2962.80312         40.9006          3.0526         16.4107          0.0810         -3.2763         -0.2129       -0.018514        3.052552
     2962.81136      2962.80544         32.9276          3.0893         16.6461          0.1019         -4.2611         -0.2129        0.489648        3.089325
     2962.81368      2962.80775         40.9816          3.0068         16.4085          0.0797         -3.5370         -0.4980        2.097896        3.006824
     2962.81599      2962.81007         36.9818          3.1199         16.5200          0.0916         -5.9213         -0.4980       -1.283853        3.119931
     2962.81831      2962.81238         44.5565          3.5079         16.3177          0.0855         -9.7229         -0.4027        0.157105        3.507911
     2962.82062      2962.81470         30.3273          3.4825         16.7354          0.1247         -9.0847         -0.4980       -0.744614        3.482480
     2962.82294      2962.81701         35.4029          3.6087         16.5674          0.1107         -8.6693         -0.4980        0.877101        3.608687
     2962.82525      2962.81933         38.1798          3.5656         16.4854          0.1014        -11.6982         -0.4980       -3.494596        3.565595
     2962.82757      2962.82164         46.2799          3.5688         16.2765          0.0837        -15.9817         -0.4980        7.052104        3.568758
     2962.82988      2962.82396         43.8284          3.4997         16.3356          0.0867        -14.6506         -0.5627        3.565751        3.499655
     2962.83220      2962.82627         39.9289          3.5673         16.4368          0.0970        -13.4940         -0.4980        0.495757        3.567346
     2962.83451      2962.82859         36.0884          3.5746         16.5466          0.1075        -38.5641         -0.5627       -0.562702        3.574562
     2962.83683      2962.83090         30.2453          3.7857         16.7384          0.1359        -45.2215         -0.5627       -4.695991        3.785688
     2962.83914      2962.83322         44.8436          3.6009         16.3107          0.0872        -30.7951         -0.5627        4.635808        3.600926
     2962.84146      2962.83553         40.9326          3.5403         16.4098          0.0939        -41.0356         -0.4980       -2.399182        3.540281
     2962.84377      2962.83785         34.5196          3.5796         16.5948          0.1126        -41.7505         -0.4980       -1.947775        3.579616
     2962.84609      2962.84016         37.0019          3.6700         16.5194          0.1077        -44.2178         -0.4980       -0.586782        3.670003
     2962.84840      2962.84247         38.5989          3.6566         16.4736          0.1029        -46.6513         -0.5627       -1.181530        3.656567
     2962.85072      2962.84479         38.9203          3.7565         16.4646          0.1048        -48.6271         -0.5627        1.411323        3.756476
     2962.85303      2962.84710         37.4006          3.6168         16.5078          0.1050        -45.4180         -0.5723       -0.679309        3.616817
     2962.85535      2962.84942         34.4587          3.5017         16.5968          0.1103        -42.1753         -0.5723       -0.573419        3.501669
     2962.85766      2962.85173         36.4462          3.4842         16.5359          0.1038        -42.6254         -0.5723       -1.563792        3.484203
     2962.85998      2962.85405         39.6495          3.5910         16.4444          0.0983        -46.7851         -0.5734        1.406705        3.590963
     2962.86229      2962.85636         35.5767          3.7433         16.5621          0.1142        -51.9783         -0.5734       -0.498030        3.743280
     2962.86461      2962.85868         49.2603          3.5242         16.2088          0.0777        -51.7714         -0.5734        3.466000        3.524151
     2962.86692      2962.86099         27.7054          3.4837         16.8336          0.1365        -50.3431         -0.5734       -0.572330        3.483743
     2962.86924      2962.86331         33.3681          3.5315         16.6317          0.1149        -53.9583         -0.5723       -0.212855        3.531520
     2962.87155      2962.86562         37.7128          3.5496         16.4988          0.1022        -49.1308         -0.5627        2.594786        3.549646
     2962.87387      2962.86794         37.2026          3.6110         16.5136          0.1054        -55.1713         -0.5627        2.107033        3.610954
     2962.87618      2962.87025         39.2795          3.4850         16.4546          0.0963        -52.0340         -0.5627        0.391729        3.484966
     2962.87850      2962.87257         44.6155          3.5997         16.3163          0.0876        -59.4356         -0.4980        0.473467        3.599701
     2962.88081      2962.87488         32.3810          3.5937         16.6643          0.1205        -57.2513         -0.4027       -1.362961        3.593739
     2962.88313      2962.87720         34.5462          3.5990         16.5940          0.1131        -60.4733         -0.4027       -3.024405        3.598966
     2962.88544      2962.87951         43.5699          3.4282         16.3420          0.0854        -60.4825         -0.4980        0.938973        3.428201
     2962.88776      2962.88183         32.9081          3.5255         16.6467          0.1163        -57.0180         -0.4980       -2.848530        3.525535
     2962.89007      2962.88414         42.0660          3.5871         16.3802          0.0926        -63.3826         -0.4980        1.662451        3.587095
     2962.89239      2962.88646         40.2653          3.5514         16.4277          0.0958        -64.0088         -0.4980       -0.923696        3.551417
     2962.89470      2962.88877         37.7188          3.5981         16.4986          0.1036        -68.0333         -0.4980        4.998804        3.598076
     2962.89702      2962.89109         39.2479          3.5078         16.4555          0.0970        -63.2032         -0.4980       -1.165888        3.507821
     2962.89933      2962.89340         51.5114          3.5577         16.1602          0.0750        -66.6499         -0.4980        7.840753        3.557699
     2962.90165      2962.89572         30.5540          3.5769         16.7273          0.1271        -67.9917         -0.4980       -3.668194        3.576905
     2962.90396      2962.89803         43.0803          3.6307         16.3543          0.0915        -71.6818         -0.4980        3.282718        3.630655
     2962.90628      2962.90035         35.0600          3.5608         16.5780          0.1103        -70.5691         -0.5627       -1.631378        3.560848
     2962.90859      2962.90266         35.4671          3.5996         16.5654          0.1102        -75.1176         -0.5627       -1.787218        3.599587
     2962.91090      2962.90497         38.2325          3.6314         16.4839          0.1031        -72.3600         -0.5723        0.604080        3.631385
     2962.91322      2962.90729         30.8594          3.5631         16.7165          0.1254        -67.7931         -0.5723       -4.914979        3.563066
     2962.91553      2962.90960         29.1510          3.6233         16.7784          0.1350        -69.0210         -0.5734       -3.270514        3.623341
     2962.91785      2962.91192         46.4607          3.6279         16.2723          0.0848        -75.9094         -0.5796        5.250078        3.627866
     2962.92016      2962.91423         36.6901          3.6778         16.5286          0.1088        -82.8229         -0.5796       -0.180801        3.677833
     2962.92248      2962.91655         41.2074          3.6649         16.4026          0.0966        -84.8332         -0.5796        0.517418        3.664920
     2962.92479      2962.91886         36.9655          3.6006         16.5205          0.1058        -78.3537         -0.5868       -2.311126        3.600648
     2962.92711      2962.92118         36.1395          3.6862         16.5450          0.1107        -82.7219         -0.6500       -1.200717        3.686154
     2962.92942      2962.92349         29.3642          3.5753         16.7705          0.1322        -80.5926         -0.5868       -1.165797        3.575274
     2962.93174      2962.92581         33.3489          3.5981         16.6323          0.1171        -82.8550         -0.5868       -4.976028        3.598145
     2962.93405      2962.92812         31.1261          3.6289         16.7072          0.1266        -85.7622         -0.5868       -3.669917        3.628936
     2962.93637      2962.93044         39.1016          3.5771         16.4595          0.0993        -83.5978         -0.6544       -1.323629        3.577051
     2962.93868      2962.93275         33.6972          3.5792         16.6210          0.1153        -83.8108         -0.6544       -4.485310        3.579239
     2962.94100      2962.93507         36.4082          3.5942         16.5370          0.1072        -83.1361         -0.6544       -0.402720        3.594238
     2962.94331      2962.93738         35.4623          3.5892         16.5656          0.1099        -87.3177         -0.5868       -3.855204        3.589235
     2962.94563      2962.93970         38.3840          3.5995         16.4796          0.1018        -88.0282         -0.6544       -1.984586        3.599482
     2962.94794      2962.94201         21.8808          3.5976         17.0898          0.1785        -84.8710         -0.5868       -6.122205        3.597566
     2962.95026      2962.94433         30.0976          3.6590         16.7437          0.1320        -90.4371         -0.6544       -6.213340        3.658974
     2962.95257      2962.94664         37.2669          3.6048         16.5117          0.1050        -88.8473         -0.6544       -1.460890        3.604761
     2962.95489      2962.94896         45.7536          3.6394         16.2889          0.0864        -92.7837         -0.6793        0.850342        3.639370
     2962.95720      2962.95127         34.9797          3.5606         16.5805          0.1105        -86.3436         -0.6793       -1.358738        3.560554
     2962.95952      2962.95359         34.3573          3.5857         16.6000          0.1133        -90.5896         -0.6793       -2.211624        3.585734
     2962.96183      2962.95590         46.6659          3.6040         16.2675          0.0839        -93.9018         -0.7949        0.999074        3.603951
     2962.96415      2962.95822         40.6385          3.5720         16.4177          0.0954        -89.3002         -0.6793        3.175104        3.571970
     2962.96646      2962.96053         41.0495          3.5431         16.4067          0.0937        -87.4966         -0.6793        2.874262        3.543143
     2962.96878      2962.96285         32.9335          3.5605         16.6459          0.1174        -88.8085         -0.6544       -5.865980        3.560515
     2962.97109      2962.96516         27.1288          3.5855         16.8564          0.1435        -87.6416         -0.6544       -2.792243        3.585487
     2962.97341      2962.96747         28.2794          3.5943         16.8113          0.1380        -90.1220         -0.6793       -0.579565        3.594251
     2962.97572      2962.96979         37.1373          3.6128         16.5155          0.1056        -92.8659         -0.6793       -0.654441        3.612759
     2962.97804      2962.97210         38.1999          3.5805         16.4848          0.1018        -88.0380         -0.6793       -3.313030        3.580467
     2962.98035      2962.97442         35.0114          3.5762         16.5795          0.1109        -85.7481         -0.7949       -0.158135        3.576195
     2962.98267      2962.97673         35.7922          3.5267         16.5555          0.1070        -83.6663         -0.9237       -3.331804        3.526709
     2962.98498      2962.97905         35.2420          3.5371         16.5724          0.1090        -85.5496         -0.9237        0.227023        3.537102
     2962.98730      2962.98136         43.1376          3.5220         16.3529          0.0886        -84.1704         -0.9237        2.205245        3.521989
     2962.98961      2962.98368         30.5930          3.5120         16.7259          0.1246        -80.0709         -0.9237       -4.151967        3.511994
     2962.99193      2962.98599         38.4315          3.5769         16.4783          0.1011        -88.9749         -0.9409        1.605900        3.576872
     2962.99424      2962.98831         32.7316          3.5713         16.6526          0.1185        -85.3841         -0.9409        0.863225        3.571335
     2962.99656      2962.99062         33.7999          3.5662         16.6177          0.1146        -88.4280         -0.9409        0.357182        3.566167
     2962.99887      2962.99294         42.7475          3.5702         16.3627          0.0907        -89.7541         -1.1102        0.583333        3.570191
     2963.00119      2962.99525         40.4571          3.5343         16.4225          0.0948        -88.2184         -1.1658        3.423618        3.534253
