# reference_flux:        257.5496
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2962.80022      2962.79386        199.0995         16.5907         14.6923          0.0905      -1316.9522        -17.2227      -22.131990       16.590724
     2962.80253      2962.79618        278.3825         16.5868         14.3284          0.0647      -1344.0563        -17.2227       -4.542831       16.586781
     2962.80485      2962.79849        264.7993         16.7459         14.3827          0.0687      -1344.5459        -17.2227      -16.461858       16.745911
     2962.80716      2962.80081        231.9146         16.8274         14.5267          0.0788      -1388.6160        -17.2227      -23.512135       16.827432
     2962.80948      2962.80312        279.3322         16.8768         14.3247          0.0656      -1402.0493        -16.8389      -10.594175       16.876819
     2962.81179      2962.80544        249.0440         16.7930         14.4493          0.0732      -1374.0215        -16.8389      -23.147495       16.792961
     2962.81411      2962.80775        310.7192         16.9140         14.2091          0.0591      -1376.7541        -16.8389      -11.668351       16.914018
     2962.81642      2962.81007        289.4913         16.7440         14.2859          0.0628      -1349.4909        -16.4619       -5.228970       16.744029
     2962.81874      2962.81238        267.4795         16.8002         14.3718          0.0682      -1371.9818        -16.8389      -12.859330       16.800161
     2962.82105      2962.81470        293.6619         17.0444         14.2704          0.0630      -1363.1320        -16.8389      -28.054618       17.044447
     2962.82337      2962.81701        282.3428         16.8010         14.3131          0.0646      -1377.2224        -16.8389      -13.780659       16.800986
     2962.82568      2962.81933        285.5857         17.0838         14.3007          0.0649      -1411.0859        -16.8389      -27.131919       17.083822
     2962.82800      2962.82164        283.3707         16.9997         14.3091          0.0651      -1404.0021        -16.8389      -17.756665       16.999662
     2962.83031      2962.82396        307.2441         16.9184         14.2213          0.0598      -1357.8404        -16.8389      -37.746860       16.918446
     2962.83263      2962.82627        270.8104         16.9648         14.3583          0.0680      -1362.3900        -16.9212       -5.091722       16.964758
     2962.83494      2962.82859        288.6962         17.3206         14.2889          0.0651      -1445.5081        -16.8389      -16.838933       17.320582
     2962.83726      2962.83090        268.2099         17.0174         14.3688          0.0689      -1388.2870        -16.8389       10.528465       17.017359
     2962.83957      2962.83322        273.2362         17.0780         14.3487          0.0679      -1374.4019        -16.9212        1.221013       17.078036
     2962.84189      2962.83553        286.5492         17.1420         14.2970          0.0650      -1371.9838        -16.9212      -25.437969       17.142016
     2962.84420      2962.83785        298.0359         17.2669         14.2543          0.0629      -1430.6807        -16.9212      -33.121129       17.266867
     2962.84652      2962.84016        263.0034         16.9238         14.3901          0.0699      -1339.1633        -16.9212      -13.715275       16.923795
     2962.84883      2962.84247        246.0468         17.0066         14.4625          0.0750      -1364.4634        -16.9212      -35.808140       17.006636
     2962.85115      2962.84479        292.6440         17.1643         14.2742          0.0637      -1367.3801        -16.9212      -19.796478       17.164305
     2962.85346      2962.84710        300.3888         17.1102         14.2458          0.0618      -1358.1295        -16.9212      -11.590575       17.110219
     2962.85578      2962.84942        235.1826         17.0378         14.5115          0.0787      -1332.5855        -16.8389      -22.568451       17.037838
     2962.85809      2962.85173        304.3701         16.8203         14.2315          0.0600      -1297.0187        -16.8389       -4.050213       16.820331
     2962.86041      2962.85405        259.3337         16.9950         14.4054          0.0712      -1342.8694        -16.8389       -7.764331       16.995039
