# reference_flux:        294.7735
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2988.43706      2988.43507        276.4498          4.8280         14.3360          0.0190         86.3866          6.0360        4.232792        4.827968
     2988.43937      2988.43738        289.1332          4.7897         14.2873          0.0180         80.0111          6.0360       13.426213        4.789689
     2988.44169      2988.43970        290.8061          4.8027         14.2810          0.0179         81.8759          6.0360        1.286743        4.802738
     2988.44400      2988.44201        293.6031          4.8612         14.2706          0.0180         80.5872          6.0360        9.559282        4.861156
     2988.44632      2988.44433        288.4798          4.7708         14.2897          0.0180         78.0904          6.0360        2.017455        4.770773
     2988.44863      2988.44664        280.1522          4.7984         14.3215          0.0186         84.2181          6.0360       -3.466288        4.798416
     2988.45094      2988.44895        295.2100          4.7545         14.2647          0.0175         80.1411          6.0360        4.721245        4.754492
     2988.45326      2988.45127        269.9387          4.7484         14.3618          0.0191         79.0644          5.9292       -6.913947        4.748383
     2988.45557      2988.45359        280.2315          4.7594         14.3212          0.0184         82.9050          5.9292        4.577996        4.759400
     2988.45789      2988.45590        288.0200          4.7955         14.2914          0.0181         78.4050          5.9292        8.651593        4.795504
     2988.46020      2988.45822        293.0383          4.9367         14.2727          0.0183         84.0413          5.6710        7.300613        4.936739
     2988.46252      2988.46053        284.0690          4.8404         14.3064          0.0185         89.8174          5.6710       11.085084        4.840374
     2988.46483      2988.46284        294.2701          4.8859         14.2681          0.0180         87.9323          5.6188       11.664170        4.885934
     2988.46715      2988.46516        291.2502          4.9746         14.2793          0.0185         88.3062          5.6188        7.517094        4.974624
     2988.46946      2988.46747        288.6900          4.9494         14.2889          0.0186         91.8370          5.6188        5.033206        4.949400
     2988.47178      2988.46979        291.8989          4.9514         14.2769          0.0184         83.4131          5.6188       11.407801        4.951375
     2988.47409      2988.47210        277.2885          4.9717         14.3327          0.0195         84.7662          5.6188        6.088578        4.971660
     2988.47641      2988.47442        290.2135          5.0298         14.2832          0.0188         87.5636          5.6710        7.900025        5.029762
     2988.47872      2988.47673        298.6769          5.0546         14.2520          0.0184         87.0777          5.6188       13.013210        5.054625
     2988.48104      2988.47905        293.5719          5.0671         14.2707          0.0187         86.1831          5.6188       10.285224        5.067064
     2988.48335      2988.48136        287.8838          5.0543         14.2920          0.0191         96.1210          5.6188        1.136583        5.054293
     2988.48567      2988.48368        288.7347          5.0482         14.2888          0.0190         81.6804          5.6188        5.671015        5.048190
     2988.48798      2988.48599        298.4444          5.0708         14.2528          0.0184         92.1341          5.6710        5.618845        5.070754
     2988.49030      2988.48831        284.4504          5.0706         14.3050          0.0194         92.7444          5.6710        1.711068        5.070635
     2988.49261      2988.49062        297.2385          5.0603         14.2572          0.0185         81.2710          5.6710        7.029653        5.060310
     2988.49493      2988.49294        279.1350          5.0232         14.3255          0.0195         95.0255          5.6710       -4.839491        5.023243
     2988.49724      2988.49525        288.4900          5.0625         14.2897          0.0191         91.9316          5.6710        6.338513        5.062457
     2988.49956      2988.49757        296.4328          5.0625         14.2602          0.0185         85.2264          5.6710        6.988455        5.062485
