# reference_flux:       -134.0950
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2988.43605      2988.43507          1.6999          4.7831         17.5479         99.9000         16.0530         -1.7046        0.287150        4.783088
     2988.43836      2988.43738         -0.1986          4.2532         17.6754         99.9000         17.7597         -1.7046        4.224501        4.253242
     2988.44068      2988.43970          0.5140          4.6808         17.5714         99.9000         15.8318         -1.6324       -7.081996        4.680823
     2988.44299      2988.44201          1.2890          4.5912         17.5924         99.9000         17.0675         -1.4786       -2.677479        4.591180
     2988.44531      2988.44433          2.0193          4.9952         17.5008         99.9000         25.8315         -1.4786        1.751047        4.995207
     2988.44762      2988.44664         -6.9720          4.4018         17.6381         99.9000         13.8311         -1.4786       -6.331676        4.401768
     2988.44993      2988.44895        -20.0179          4.2812         17.6683         99.9000         21.1258         -1.4786       -6.841895        4.281199
     2988.45225      2988.45127          3.6432          4.1735         17.6959         99.9000         14.2922         -1.4786       -2.565551        4.173550
     2988.45456      2988.45359          2.0194          4.1465         17.7030         99.9000         16.2939         -1.2851        0.139711        4.146506
     2988.45688      2988.45590          7.6121          4.8126         17.5412         99.9000         28.3985         -1.2851       -1.256295        4.812646
     2988.45919      2988.45822         -0.7291          4.2177         17.6845         99.9000         21.6590         -1.4786        0.486039        4.217679
     2988.46151      2988.46053         -5.5794          4.5178         17.6099         99.9000         21.3410         -1.2851       -1.208522        4.517787
     2988.46382      2988.46284          8.6979          4.3012         17.6632         99.9000          9.5860         -1.4786       -1.285075        4.301225
     2988.46614      2988.46516          7.1131          4.3546         17.6498         99.9000         12.0331         -1.4786        2.618311        4.354631
     2988.46845      2988.46747         -4.0462          4.2864         17.6670         99.9000         20.3015         -1.4786       -4.769141        4.286355
     2988.47077      2988.46979          7.7246          4.3645         17.6474         99.9000         20.4192         -1.4786        1.097478        4.364487
     2988.47308      2988.47210          6.2903          4.2207         17.6837         99.9000         13.7339         -1.4786        4.190246        4.220674
     2988.47540      2988.47442         -2.9632          4.2884         17.6665         99.9000         25.2083         -1.6324       -7.998422        4.288352
     2988.47771      2988.47673          4.5927          4.2493         17.6764         99.9000         17.2728         -1.6324        2.230848        4.249270
     2988.48003      2988.47905         -4.1920          4.4154         17.6348         99.9000         23.5789         -1.6324       -4.285009        4.415362
     2988.48234      2988.48136         -2.8392          4.2662         17.6721         99.9000         20.8173         -1.6324       -3.779346        4.266205
