# reference_flux:         27.2590
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     3014.36993      3014.36328         32.6835         11.3713         16.6077         99.9000       -155.5097          5.3052       11.850194       11.371287
     3014.37224      3014.36560         16.9738         11.2988         16.6146         99.9000       -363.5045          5.3052      -13.470933       11.298824
     3014.37456      3014.36791         22.3718         11.5599         16.5898         99.9000       -439.7489          5.3052       -1.116540       11.559863
     3014.37687      3014.37023         34.2884         11.0839         16.6021          0.3510       -524.3386          5.3052        0.556872       11.083852
     3014.37919      3014.37254          7.5470         11.2539         16.6189         99.9000       -354.2195          5.3052       -7.078970       11.253851
     3014.38150      3014.37486        -13.0194         13.0728         16.4563         99.9000       -239.4398          5.3052      -27.898051       13.072849
     3014.38382      3014.37717         26.2414         16.5817         16.1981         99.9000       -581.7435          5.3052       -8.308197       16.581703
     3014.38613      3014.37949         45.9212         13.2218         16.2850          0.3126       -383.6376          5.3052        5.619423       13.221779
     3014.38845      3014.38180         97.7956         17.5034         15.4642          0.1943       -653.1873          5.3052       65.145874       17.503359
     3014.39076      3014.38412         61.8072         17.5594         15.9624          0.3085       -852.9296          5.3052       26.124063       17.559354
     3014.39308      3014.38643         55.3535         17.3960         16.0821          0.3412      -1017.5197          3.3794       26.251808       17.395968
     3014.39539      3014.38875         76.1368         17.4290         15.7360          0.2485      -1137.3734          3.3794       54.536455       17.428989
     3014.39770      3014.39106         43.6706         17.3132         16.1513         99.9000      -1120.8626          5.3052       12.641423       17.313237
     3014.40002      3014.39338         46.3312         12.1108         16.2753          0.2838       -259.3113          5.3052      -19.687848       12.110799
     3014.40233      3014.39569         39.9991         11.9310         16.4349          0.3239       -855.4887          3.3794        9.841935       11.930987
     3014.40465      3014.39801         37.1504         11.8345         16.5151          0.3459       -763.9575          3.1654       15.517253       11.834486
     3014.40696      3014.40032         73.3753         12.0615         15.7761          0.1785       -947.9768          3.1654       36.319440       12.061520
     3014.40928      3014.40264         57.9926         13.8343         16.0316          0.2590       -706.3064          2.5286       41.236426       13.834317
     3014.41159      3014.40495         16.3348         11.2654         16.6178         99.9000      -1204.3351          1.4204        1.420363       11.265391
     3014.41391      3014.40726         42.8826         11.9067         16.3593          0.3015       -891.7867          1.4204        5.305169       11.906672
     3014.41622      3014.40958         24.7715         12.5438         16.5011         99.9000       -664.1788          1.4204       -3.379528       12.543768
     3014.41854      3014.41190         10.5754         12.7951         16.4796         99.9000      -1177.9619          1.4204      -17.529267       12.795064
     3014.42085      3014.41421         16.8849         12.7858         16.4804         99.9000       -759.0233          0.7894       22.313112       12.785814
     3014.42317      3014.41652        -17.6267         12.5297         16.5023         99.9000       -532.0886          0.7894      -43.148866       12.529679
     3014.42548      3014.41884        -14.8475         12.5794         16.4980         99.9000       -552.3744          1.4204      -44.162059       12.579388
     3014.42780      3014.42115         37.0785         12.3369         16.5172          0.3613       -142.0082          1.4204        9.778490       12.336889
     3014.43011      3014.42347         10.0098         12.5813         16.4979         99.9000       -218.6814          1.4204       13.468182       12.581330
     3014.43243      3014.42578         29.2516         12.6857         16.4889         99.9000       -367.0607          2.5286      -15.997827       12.685679
     3014.43474      3014.42810        -24.5961         12.6352         16.4932         99.9000       -354.8997          2.5286      -36.391482       12.635153
     3014.43706      3014.43041         32.6248         12.7867         16.4803         99.9000       -249.2503          2.5286        5.792598       12.786702
     3014.43937      3014.43273          1.2455         12.7648         16.4822         99.9000       -296.4697          3.1654       -4.751039       12.764776
     3014.44169      3014.43504         22.7110         12.6812         16.4893         99.9000       -591.5973          3.3794       14.255758       12.681188
     3014.44400      3014.43736         22.0891         12.7357         16.4846         99.9000       -652.4421          3.3794        9.959878       12.735739
     3014.44632      3014.43967         -0.3444         12.7816         16.4807         99.9000       -828.1547          3.3794       20.723802       12.781587
     3014.44863      3014.44199        110.7180         18.4159         15.3295          0.1806      -1859.7163          5.3052       85.326489       18.415936
     3014.45095      3014.44430         23.2827         12.4838         16.5063         99.9000       -405.4390          5.3052       27.448976       12.483842
     3014.45326      3014.44662         46.6520         18.0894         16.1036         99.9000      -2135.6113          5.6194       54.068520       18.089438
     3014.45558      3014.44893         12.3558         12.1166         16.5387         99.9000      -1103.1164          5.6194        3.165361       12.116575
     3014.45789      3014.45125          3.3704         11.9047         16.5579         99.9000       -769.1785          5.3052       15.504950       11.904710
     3014.46021      3014.45356         30.2182         11.8823         16.5599         99.9000       -879.4915          5.3052        7.411265       11.882252
     3014.46252      3014.45588         27.7096         11.8198         16.5657         99.9000       -624.7868          5.3052        7.497987       11.819831
     3014.46484      3014.45819          0.8836         11.6837         16.5782         99.9000       -549.4029          5.6194       -0.154062       11.683701
     3014.46715      3014.46051        -50.3839         11.5616         16.5896         99.9000       -588.0343          5.3052        0.521290       11.561646
     3014.46947      3014.46282         -7.7288         11.5131         16.5942         99.9000       -342.4959          4.9661      -10.565883       11.513068
     3014.47178      3014.46513         24.0525         10.8078         16.6629         99.9000       -463.2647          3.3794       17.049210       10.807759
     3014.47409      3014.46745          6.2839         16.9998         16.1711         99.9000      -1556.7245          3.1654      -13.147861       16.999753
