# reference_flux:        -45.8984
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     3041.11499      3041.10864          1.9413          6.4958         17.2156         99.9000        -64.3450          1.4697        2.183929        6.495826
     3041.11731      3041.11096        -19.3003          6.4584         17.2219         99.9000        -38.8049          1.4697      -21.853233        6.458375
     3041.11962      3041.11327          1.9451          6.4858         17.2173         99.9000        -32.3679          1.4697       14.006811        6.485764
     3041.12194      3041.11559          1.6203          6.4558         17.2223         99.9000        -28.0259          1.4697        7.391559        6.455762
     3041.12425      3041.11790          4.6706          6.4055         17.2308         99.9000        -25.2810          1.5645        8.265754        6.405488
     3041.12657      3041.12022         13.2337          6.3604         17.2385         99.9000         -3.6525          1.5645       19.805323        6.360445
     3041.12888      3041.12253         -2.4338          6.4692         17.2201         99.9000         15.4563          1.5645        5.203506        6.469213
     3041.13120      3041.12485         -0.3942          6.4619         17.2213         99.9000         31.7457          1.5645        1.106028        6.461882
     3041.13351      3041.12716         -1.0414          6.4290         17.2268         99.9000         34.9799          1.4697       11.127343        6.429009
     3041.13583      3041.12948         20.4778          6.4025         17.1618          0.3395         -6.1619          1.5645       -8.840691        6.402508
     3041.13814      3041.13179          3.6687          6.2848         17.2515         99.9000        -45.9772          1.5645      -14.318759        6.284759
     3041.14046      3041.13411         -1.1734          6.1823         17.2693         99.9000        -54.7617          1.5645      -20.351093        6.182328
     3041.14277      3041.13642         13.1541          6.1544         17.2742         99.9000        -60.9331          1.5645       -1.031879        6.154420
     3041.14509      3041.13873          5.7150          6.0814         17.2872         99.9000        -68.8492          1.7650      -15.013855        6.081402
     3041.14740      3041.14105         13.3097          5.9872         17.3041         99.9000        -60.5598          1.8059       -6.486805        5.987224
     3041.14972      3041.14336          7.6800          5.3087         17.4347         99.9000        -52.2820          1.8059       -8.816769        5.308678
     3041.15203      3041.14568          8.6569          5.7297         17.3519         99.9000        -89.8993          1.8059       -5.082668        5.729729
     3041.15435      3041.14799         21.1408          5.6302         17.1272          0.2892        -93.8054          1.8059        2.384374        5.630181
     3041.15666      3041.15031         -1.4241          5.0690         17.4849         99.9000        -60.5840          1.8059       -7.349350        5.068975
     3041.15898      3041.15262         10.6733          4.9447         17.5118         99.9000        -60.8995          1.7650        8.482416        4.944711
     3041.16129      3041.15494         -2.4455          4.8651         17.5295         99.9000        -38.6074          1.8059        0.658709        4.865100
     3041.16361      3041.15725         -2.2243          4.7730         17.5502         99.9000        -38.1394          1.7650        0.603176        4.772984
     3041.16592      3041.15957          0.3876          4.6520         17.5781         99.9000        -55.4315          1.7650        4.298849        4.651985
     3041.16824      3041.16188          4.2780          4.4983         17.6146         99.9000        -47.8716          1.7650        1.408070        4.498349
     3041.17055      3041.16420          7.6454          4.4043         17.6375         99.9000        -45.1423          1.7650        8.828417        4.404306
     3041.17286      3041.16651          2.3576          4.3681         17.6465         99.9000        -40.4926          1.7650        5.512085        4.368110
