# reference_flux:        -42.7586
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     3068.74042      3068.73363         -4.3591          2.7742         18.1393         99.9000         -1.2276          0.0110       -3.870525        2.774217
     3068.74273      3068.73594          3.0669          2.7660         18.1426         99.9000         -1.0119          0.0110        0.011045        2.766004
     3068.74505      3068.73826         -4.6309          2.7798         18.1372         99.9000          4.1615          0.2432       -2.985270        2.779816
     3068.74736      3068.74057         -4.1186          2.7709         18.1406         99.9000          2.2139          0.2432       -2.398744        2.770913
     3068.74968      3068.74289          1.4869          2.7337         18.1553         99.9000         -4.5631          0.2432       -0.653290        2.733719
     3068.75199      3068.74520          4.8083          2.7616         18.1443         99.9000         -0.6295          0.2432       -1.291004        2.761596
     3068.75430      3068.74752          4.4046          2.7591         18.1453         99.9000          2.7591          0.2432        3.685777        2.759119
     3068.75662      3068.74983         -0.5136          2.7477         18.1498         99.9000         -1.5393          0.0110       -0.390407        2.747687
     3068.75893      3068.75215          5.3180          2.7562         18.1464         99.9000         -1.5578          0.2432        2.056477        2.756194
     3068.76125      3068.75446          2.9085          2.7341         18.1552         99.9000          1.0873          0.2432       -0.220829        2.734088
     3068.76356      3068.75678          0.9273          2.7381         18.1536         99.9000          1.4141          0.3834        1.679258        2.738143
     3068.76588      3068.75909         -3.4142          2.7741         18.1394         99.9000          0.5488          0.2432        0.774542        2.774067
     3068.76819      3068.76141          2.6298          2.7606         18.1447         99.9000          3.1376          0.3834        1.922279        2.760601
     3068.77051      3068.76372          1.2838          2.7358         18.1545         99.9000         -2.0313          0.3834        1.391992        2.735799
     3068.77282      3068.76604         -3.5896          2.7395         18.1530         99.9000          1.6327          0.2432       -1.792960        2.739527
     3068.77514      3068.76835          5.3247          2.7641         18.1433         99.9000         -0.4610          0.0691       -0.223298        2.764080
     3068.77745      3068.77067         -8.0564          2.7533         18.1476         99.9000          1.9492          0.0110       -5.795189        2.753315
     3068.77977      3068.77298         -1.2538          2.7316         18.1562         99.9000          1.4928          0.0110        2.615423        2.731585
     3068.78208      3068.77530         -8.3721          2.7362         18.1543         99.9000          1.3333          0.0110       -5.145325        2.736166
     3068.78440      3068.77761         -3.2800          2.7371         18.1540         99.9000         -2.5200          0.0110       -1.365778        2.737116
